dataset,round_left,round_right,shared_swaps,spearman,sign_flip_rate,mean_absolute_gain_change
diamonds,0,1,6913,0.6233699880504687,0.2814986257775206,0.008230151159985134
diamonds,0,2,6660,0.3910543510410486,0.3512012012012012,0.012297754938964012
diamonds,0,3,6409,0.3223899497265758,0.35715400218442817,0.011608019464933672
diamonds,0,4,6160,0.2756763124280843,0.3538961038961039,0.014928756253639826
diamonds,1,2,6913,0.6601740308116307,0.2661651960075221,0.009715518033792675
diamonds,1,3,6660,0.5540250005091478,0.2863363363363363,0.009452139672371818
diamonds,1,4,6409,0.3924978555310592,0.29006085192697767,0.013583310652281029
diamonds,2,3,6913,0.8437135269239644,0.06625198900622016,0.004951897753471022
diamonds,2,4,6660,0.5582090001618368,0.05870870870870871,0.009172054884029422
diamonds,3,4,6913,0.7315582252868527,0.03934615940980761,0.006903663963224189
