dataset,task,model,seed,test_loss_baseline_fixed_ple,test_loss_mixed_measure_ple,test_loss_tail_reallocated_ple,test_score_baseline_fixed_ple,test_score_mixed_measure_ple,test_score_tail_reallocated_ple,mixed_measure_ple_loss_reduction,mixed_measure_ple_official_gain,tail_reallocated_ple_loss_reduction,tail_reallocated_ple_official_gain
adult,binclass,mlp,0,0.3016727061163693,0.2912562729506637,0.287218919083345,0.8614949941649775,0.8669000675634175,0.868497021067502,0.03452892142548525,0.5405073398439986,0.047912146972450324,0.7002026902524494
adult,binclass,mlp,1,0.3027265757517653,0.2869183854711905,0.2857144691068784,0.858055402002334,0.8690498126650698,0.8672071740065107,0.052219367398842115,1.0994410662735765,0.05619627745810053,0.9151772004176717
adult,binclass,mlp,2,0.3024800719681964,0.2886142196963864,0.2867304592385093,0.859222406486088,0.8634604754007739,0.8681284933357902,0.04584054804532006,0.4238068914685811,0.0520682656123641,0.8906086849702177
adult,binclass,resnet,0,0.2983541839084316,0.2857655093121258,0.288298384012439,0.8606350961243167,0.8669000675634175,0.8653645353479515,0.04219372569673572,0.6264971439100875,0.03370423623447102,0.47294392236348903
adult,binclass,resnet,1,0.3015893739952847,0.2875139781552638,0.2861312752870132,0.8584853510226644,0.8654259566365702,0.8649960076162397,0.04667072865850023,0.6940605613905748,0.051255448769601406,0.6510656593575304
adult,binclass,resnet,2,0.3025024139226743,0.2918497655666515,0.2839144694227971,0.8606350961243167,0.8675757017382225,0.8694183403967816,0.03521508545299027,0.6940605613905859,0.06144726006923261,0.8783244272464907
adult,binclass,tabm,0,0.2972895803339074,0.2849595105035308,0.2819993425516374,0.8616792580308335,0.8691112339536884,0.8707081874577729,0.04147494781528437,0.7431975922854939,0.05143213484003187,0.9028929426939447
adult,binclass,tabm,1,0.298110698667088,0.2858722653803709,0.2819549522315794,0.8621706283397825,0.8645046373072907,0.8681284933357902,0.04105331791659121,0.23340089675081277,0.05419378273823832,0.59578649960077
adult,binclass,tabm,2,0.299265845983638,0.2833679440009137,0.2837953697374485,0.8617406793194521,0.871199557766722,0.8691112339536884,0.053123008175124276,0.9458878447269892,0.051694760540884774,0.7370554634236304
black-friday,regression,mlp,0,0.4881902347328204,0.4817626570735949,0.4982076164505941,0.6987060904502869,0.694091260433197,0.7058382630348206,0.013166133203674685,0.6604822943672609,-0.020519422563329306,-1.02076862961611
black-friday,regression,mlp,1,0.4865303663672541,0.481754480059596,0.4986965609859821,0.6975173354148865,0.6940853595733643,0.7061845064163208,0.009816214234104111,0.4920273185011039,-0.02500603345597633,-1.2425742790003997
black-friday,regression,mlp,2,0.486466297701131,0.4828771383023135,0.4977001051618862,0.6974713802337646,0.6948935985565186,0.7054786682128906,0.007378022723832247,0.3695895989857138,-0.02309267366278451,-1.1480453830868662
black-friday,regression,resnet,0,0.4841107930869909,0.4812253953990402,0.4979494084701892,0.6957807540893555,0.6937041282653809,0.7056553363800049,0.0059602011133683295,0.2984597966772618,-0.028585636967427858,-1.4192088862206835
black-friday,regression,resnet,1,0.4817460551447423,0.4827318149877349,0.4995798999301243,0.6940792798995972,0.6947890520095825,0.7068096399307251,-0.0020462229684401257,-0.10226095642676791,-0.03701918177622396,-1.8341363011109415
black-friday,regression,resnet,2,0.4826497852015489,0.4816933880249842,0.4979822718702269,0.6947300434112549,0.69404137134552,0.7056785821914673,0.001981555168755177,0.09912800983146694,-0.03176731273645003,-1.5759414587071867
black-friday,regression,tabm,0,0.4761984139483126,0.4728504395055586,0.4923969292463867,0.6900712847709656,0.6876412034034729,0.7017099857330322,0.00703062913417719,0.3521493244425058,-0.03401631509808506,-1.6865940112157443
black-friday,regression,tabm,1,0.477538848056151,0.474204717777731,0.4920402015609716,0.691041886806488,0.6886252164840698,0.7014557719230652,0.00698190375922664,0.3497140142381776,-0.030366856149712653,-1.506983196735416
black-friday,regression,tabm,2,0.4761110075021609,0.4749232393944699,0.4911262151318339,0.6900079846382141,0.6891466975212097,0.7008039951324463,0.002494729357177506,0.12482277541411144,-0.031537199083986445,-1.5646210963620597
california,regression,mlp,0,0.2283722603410353,0.2317902374240986,0.2326051375927525,0.4778831005096435,0.4814459681510925,0.4822915494441986,-0.014966691129470475,-0.7455521313997747,-0.018534988642649124,-0.92249525665454
california,regression,mlp,1,0.2321388974241641,0.2318299122432852,0.2316595729103469,0.4818079471588135,0.4814871847629547,0.4813102781772613,0.001331035790672897,0.06657474160612693,0.002064817741170678,0.10329198272608359
california,regression,mlp,2,0.2266468496866841,0.226306931113126,0.2365336427827711,0.4760744273662567,0.4757172763347626,0.4863472580909729,0.0014997718875334673,0.07501999917743425,-0.04362201861510296,-2.157820318463152
california,regression,resnet,0,0.2400185313104331,0.232291746396644,0.246291558966466,0.4899168610572815,0.4819665253162384,0.4962776899337768,0.03219245143949119,1.622792839561717,-0.026135597204865628,-1.298348634657747
california,regression,resnet,1,0.2345813829159539,0.234392072917639,0.2334812893235773,0.4843360185623169,0.484140545129776,0.4831990301609039,0.0008070120312263987,0.04035905343590362,0.004689603150522526,0.2347519816486102
california,regression,resnet,2,0.2422642463380298,0.2297405792756924,0.228701057833005,0.4922034740447998,0.4793126285076141,0.4782270193099975,0.0516942439986096,2.6190074261874092,0.0559851018466016,2.8395684857620855
california,regression,tabm,0,0.2129403004768481,0.2161672503915616,0.2129514948100261,0.4614545404911041,0.4649378955364227,0.4614666700363159,-0.015154247023636354,-0.7548641826367942,-5.257028919813239e-05,-0.0026285460749574797
california,regression,tabm,1,0.2126263775915335,0.2155105810424502,0.218458660901872,0.4611142873764038,0.4642311632633209,0.4673956334590912,-0.013564654976427252,-0.6759443314261989,-0.02742972615346259,-1.3622102490960049
california,regression,tabm,2,0.2109596131692019,0.215322146193014,0.2173762837460394,0.4593034088611603,0.4640281796455383,0.4662362933158874,-0.020679470152010163,-1.0286818458615479,-0.030416582967901843,-1.5094345743954216
churn,binclass,mlp,0,0.3731294533992647,0.3773324157694148,0.3908294165494983,0.8505,0.848,0.8425,-0.011264086316050633,-0.2500000000000058,-0.047436520995553566,-0.8000000000000007
churn,binclass,mlp,1,0.367797888220942,0.370106342777506,0.3869335764555136,0.843,0.843,0.8465,-0.0062764214545387815,0.0,-0.052027727312769285,0.35000000000000586
churn,binclass,mlp,2,0.3679262929208902,0.3680758875267863,0.4120977586829843,0.849,0.85,0.843,-0.0004065885172504017,0.10000000000000009,-0.12005520293596325,-0.6000000000000005
churn,binclass,resnet,0,0.362048834568577,0.3633408730026875,0.3728925465868763,0.8545,0.8535,0.847,-0.0035686855218029735,-0.10000000000000009,-0.029950965126626764,-0.7500000000000062
churn,binclass,resnet,1,0.3559617852252874,0.3728209139688188,0.3633471789475282,0.85,0.8435,0.844,-0.047362187300137575,-0.649999999999995,-0.020747715144665436,-0.6000000000000005
churn,binclass,resnet,2,0.3681449367258464,0.3670523781157638,0.3720144132890631,0.8545,0.8515,0.849,0.0029677404225614368,-0.30000000000000027,-0.01051074231152128,-0.550000000000006
churn,binclass,tabm,0,0.3559842021585097,0.3747500726807235,0.3567500608548261,0.856,0.857,0.8535,-0.05271545874346956,0.10000000000000009,-0.002151383942525029,-0.24999999999999467
churn,binclass,tabm,1,0.3615146500626158,0.3588574907981556,0.3647692594092925,0.851,0.8525,0.849,0.007350073541971163,0.15000000000000568,-0.009002703890735812,-0.20000000000000018
churn,binclass,tabm,2,0.3532268777372597,0.3594227240085392,0.3583150974408339,0.8585,0.8625,0.8545,-0.01754069880233789,0.40000000000000036,-0.014404961865215048,-0.40000000000000036
diamond,regression,mlp,0,0.0217591976097519,0.0198108725778472,0.0188498383243183,0.1475099921226501,0.1407510936260223,0.1372947096824646,0.08954029770985261,4.581993666576811,0.13370710343334086,6.925146082098488
diamond,regression,mlp,1,0.0198820640013116,0.0190595324387325,0.0203713010607738,0.1410037726163864,0.1380562633275985,0.1427280604839325,0.04137053187862392,2.0903761893001915,-0.024606955265304674,-1.222866477648909
diamond,regression,mlp,2,0.0190632315027046,0.0194378916589667,0.019073168759902,0.1380696594715118,0.1394198387861251,0.1381056457757949,-0.019653549095752437,-0.9778971859432101,-0.0005212787347197915,-0.026063875597891008
diamond,regression,resnet,0,0.0195279980066894,0.022543862235242,0.0191706744505751,0.1397426128387451,0.1501461267471313,0.1384582072496414,-0.15443796274044597,-7.444768418915466,0.01829801272981989,0.9191223514518285
diamond,regression,resnet,1,0.020470587245846,0.0221714586005769,0.0190728450278413,0.1430754512548446,0.1489008367061615,0.1381044685840606,-0.08308854720697115,-4.071547844319406,0.06828051395000105,3.474378467574937
diamond,regression,resnet,2,0.0192304289133292,0.0196106444301776,0.0191038575458362,0.1386738270521164,0.1400380134582519,0.1382167041301727,-0.019771556763606975,-0.983737476014717,0.0065818275849931634,0.32963893162903507
diamond,regression,tabm,0,0.0176621254864771,0.0185222161985636,0.0177629655089287,0.1328989267349243,0.1360963433980941,0.1332777738571167,-0.048696897366346144,-2.4059010420357003,-0.005709393386928913,-0.28506409457169374
diamond,regression,tabm,1,0.0182703298146526,0.0185547725131219,0.0184977321525268,0.1351677924394607,0.1362158954143524,0.1360063701868057,-0.015568558496474389,-0.7754088129841414,-0.01244653710037707,-0.6203976052361607
diamond,regression,tabm,2,0.0183188962424802,0.0192442726241915,0.0188385821588019,0.1353473216295242,0.1387237310409546,0.1372537165880203,-0.0505148546867916,-2.4946259525344523,-0.028368844358460158,-1.4085206382689432
higgs-small,binclass,mlp,0,0.5452787467102678,0.5452124133393037,0.5476480094921903,0.715757266700663,0.7188679245283018,0.7132075471698113,0.00012165038774069955,0.3110657827638863,-0.004345048832760413,-0.2549719530851702
higgs-small,binclass,mlp,1,0.5456029323589893,0.5442674500895434,0.544804926926231,0.7200917899031106,0.7180520142784294,0.7170831208567058,0.0024477182768644,-0.20397756246812726,0.0014626120671823253,-0.3008669046404844
higgs-small,binclass,mlp,2,0.5468652567413473,0.5476889248282181,0.5452993764934294,0.7161142274349821,0.7149413564507904,0.7151453340132585,-0.0015061627644418183,-0.11728709841917206,0.002863374896494014,-0.09688934217235712
higgs-small,binclass,resnet,0,0.5403271671374538,0.5414928692635097,0.5425036801558231,0.7220295767465579,0.7207037225905151,0.7193268740438552,-0.002157400547212151,-0.1325854156042805,-0.004028139154838413,-0.2702702702702675
higgs-small,binclass,resnet,1,0.540301367155617,0.5449048138540605,0.5415875100227314,0.7215706272310046,0.7181540030596635,0.719020907700153,-0.008520146307750505,-0.34166241713411427,-0.0023804175693376266,-0.2549719530851591
higgs-small,binclass,resnet,2,0.5409136880079258,0.5404709644332885,0.5409375984705849,0.7200917899031106,0.7219275879653239,0.7211626721060683,0.0008184736020784232,0.18357980622132342,-4.420384099928289e-05,0.10708822029577014
higgs-small,binclass,tabm,0,0.5357960339418297,0.5351109582789556,0.5360774282603878,0.7236104028556859,0.7222845486996431,0.7232534421213667,0.001278612791950045,-0.1325854156042805,-0.0005251892524995157,-0.03569607343192338
higgs-small,binclass,tabm,1,0.5340349626376419,0.5335471221949193,0.5339126923954233,0.7246302906680265,0.7263640999490056,0.7234574196838348,0.0009134990718831778,0.1733809280979104,0.00022895550061884865,-0.11728709841917206
higgs-small,binclass,tabm,2,0.5368532136610635,0.5376405330204954,0.5365559758827959,0.7224375318714942,0.7194798572157063,0.7225395206527282,-0.001466544931458578,-0.29576746557878897,0.0005536667578845502,0.010198878123401922
house,regression,mlp,0,1001468625.6167352,1062247613.731809,1023815590.0015712,31645.990234375,32592.140625,31997.119140625,-0.06068985743576762,-2.989795495788461,-0.022314193189101664,-1.1095525962356876
house,regression,mlp,1,1034874598.454744,1090408786.7414598,1039485862.5541658,32169.466796875,33021.33984375,32241.05859375,-0.05366272239132984,-2.648079473166004,-0.004455867509268577,-0.22254579886899012
house,regression,mlp,2,1034434983.5670685,1104861095.9716268,1094003352.0691566,32162.634765625,33239.44921875,33075.71875,-0.06808171951194665,-3.348029354472803,-0.05758541566012885,-2.8389589069080006
house,regression,resnet,0,1071493304.2714492,1117891052.5036714,1068538837.237144,32733.671875,33434.87890625,32688.513671875,-0.04330194882904086,-2.142158184782012,0.002757335974501562,0.13795642388499993
house,regression,resnet,1,1084837236.123063,1086233356.81718,1079636489.9400468,32936.8671875,32958.0546875,32857.82421875,-0.0012869402410136813,-0.06432761160733876,0.004794033620750765,0.23998326343556411
house,regression,resnet,2,1090882838.6866488,1136147692.678471,1125909102.8297467,33028.515625,33706.7890625,33554.5703125,-0.04149378135448363,-2.05359951746242,-0.032108181466368284,-1.5927288209761925
house,regression,tabm,0,968902708.1235702,1028023403.401144,1004314766.0553064,31127.201171875,32062.802734375,31690.923828125,-0.061018195926059685,-3.0057362283678857,-0.03654862106879354,-1.8110290518485546
house,regression,tabm,1,967420149.9380056,1032664654.1973855,962234508.5118504,31103.376953125,32135.099609375,31019.904296875,-0.06744174623979146,-3.317076013337328,0.0053602784958402165,0.2683716831641761
house,regression,tabm,2,990574666.4833103,1013036134.3986518,1002239185.0797384,31473.39453125,31828.228515625,31658.162109375,-0.02267518913549758,-1.1274093235246188,-0.01177550667416,-0.5870595812013346
microsoft,regression,mlp,0,0.5761152987434606,0.5758370915906909,0.5751822429143505,0.75902259349823,0.7588393092155457,0.758407711982727,0.0004829018659572161,0.02414740802900139,0.0016195644016833452,0.08100964592753768
microsoft,regression,mlp,1,0.5747434281380727,0.5800884787023265,0.5782632308321505,0.7581183314323425,0.761635422706604,0.7604361772537231,-0.00929988983357243,-0.4639237871502852,-0.006124128648987765,-0.30573668057879816
microsoft,regression,mlp,2,0.5786068073546236,0.579098316277002,0.5797636837969088,0.7606620788574219,0.7609851360321045,0.7614220976829529,-0.00084946965042746,-0.0424705245156793,-0.001999417268480557,-0.09991543507369498
microsoft,regression,resnet,0,0.5757000400135985,0.5779772268510173,0.5777239437516336,0.7587490677833557,0.7602481245994568,0.7600815892219543,-0.00395550925680836,-0.19756951009910134,-0.0035155525401514036,-0.17562083370876777
microsoft,regression,resnet,1,0.5711397854353653,0.578759327746149,0.5757156166422387,0.7557379007339478,0.7607623338699341,0.7587592601776123,-0.013340941228556832,-0.6648380518043047,-0.008011753555892448,-0.39978932388203714
microsoft,regression,resnet,2,0.5730124913699641,0.5785231374727453,0.5792439496516939,0.7569758892059326,0.7606070637702942,0.761080801486969,-0.009616973775922879,-0.47969487749083695,-0.01087490827090268,-0.542277810901273
microsoft,regression,tabm,0,0.5720334256497608,0.5716825310637786,0.5723585054878972,0.7563289403915405,0.7560968995094299,0.756543755531311,0.0006134162275282574,0.030679889360107192,-0.0005682881865988926,-0.028402342988396178
microsoft,regression,tabm,1,0.5683656517806858,0.5727847646752091,0.5710088282695776,0.7539003491401672,0.7568254470825195,0.7556512355804443,-0.007775123075573438,-0.3879953027861581,-0.004650485969042519,-0.2322437497573794
microsoft,regression,tabm,2,0.5680753031289406,0.577071492679447,0.5758903294010467,0.7537077069282532,0.7596521973609924,0.7588743567466736,-0.015836262377462426,-0.7886997012364536,-0.013757025220179698,-0.6854978091543162
