dataset,task,mixed_loss_reduction,mixed_official_gain,tail_loss_reduction,tail_official_gain
adult,binclass,0.04359107228720817,0.666762210893411,0.05110047924837499,0.7493397211473548
black-friday,regression,0.005862573969541752,0.2937902417812038,-0.02910118127710846,-1.4443192491172676
california,regression,0.0025732724295543675,0.13541239651603063,-0.009272440126098387,-0.4528139032450049
churn,binclass,-0.01431292363233947,-0.06111111111111055,-0.034031991502841724,-0.4222222222222226
diamond,regression,-0.028980121863101345,-1.386835208541121,0.017246049872484927,0.8983747934922989
higgs-small,binclass,-0.000896700046705145,-0.061759873080627053,-0.0006904877142506126,-0.1348518329650402
house,regression,-0.04662801122943678,-2.2995790225009856,-0.016875126386303153,-0.8350625983948912
microsoft,regression,-0.006619761233870928,-0.3300404952993012,-0.005320221695394736,-0.2653860377907917
