dataset,task,model,representation,runs,test_error_mean,primary_gain_mean,primary_gain_std,wins,parameter_ratio_mean
adult,binclass,mlp,adaptive_atomic,3,0.07479016383547714,1.1790152614012395,0.13170624481133625,3,0.9993315523536088
adult,binclass,mlp,adaptive_atomic_ungated,3,0.0729550605425906,1.362525590689893,0.11073881123041458,3,0.9993315523536088
adult,binclass,mlp,all_eligible_singletons,3,0.076134164251438,1.0446152198051524,0.02245481359913576,3,1.0016293411380786
adult,binclass,mlp,baseline_ple,3,0.08658031644948953,0.0,0.0,0,1.0
adult,binclass,mlp,matched_random_0,3,0.08613791542681663,0.04424010226729003,0.050615888706297824,2,1.0005872126893645
adult,binclass,mlp,matched_random_1,2,0.0870115082045983,-0.016280707521010296,0.01848562080805083,1,0.9999547405239422
adult,binclass,mlp,matched_random_2,2,0.08688148732221918,-0.02410663374666777,0.05254363773264936,1,0.9999547405239422
adult,binclass,resnet,adaptive_atomic,3,0.07460061865817351,1.1591849815260402,0.011051160220789058,3,0.9991996513632833
adult,binclass,resnet,adaptive_atomic_ungated,3,0.07291353763787334,1.327893083556057,0.03558566721364625,3,0.9991996513632833
adult,binclass,resnet,all_eligible_singletons,3,0.07547024384661223,1.072222462682167,0.05181576590423831,3,1.0003243837277602
adult,binclass,resnet,baseline_ple,3,0.08619246847343391,0.0,0.0,0,1.0
adult,binclass,resnet,matched_random_0,3,0.08656580172870502,-0.03733332552711133,0.09655645960069527,1,0.9995073611611117
adult,binclass,resnet,matched_random_1,2,0.0869057319590732,-0.10242339729777394,0.06419862745453142,0,1.001452526668814
adult,binclass,resnet,matched_random_2,2,0.08616645349368462,0.025673282661076158,0.08924253230684354,1,1.001452526668814
adult,binclass,tabm,adaptive_atomic,3,0.07286049356462947,1.1349054954022126,0.031498436025812565,3,1.0013693870460074
adult,binclass,tabm,adaptive_atomic_ungated,3,0.0716369740434973,1.257257447515429,0.014149105566275515,3,1.0013693870460074
adult,binclass,tabm,all_eligible_singletons,3,0.07403058915547885,1.017895936317274,0.032936742586304184,3,1.0009222923947922
adult,binclass,tabm,baseline_ple,3,0.08420954851865159,0.0,0.0,0,1.0
adult,binclass,tabm,matched_random_0,3,0.08467582826084796,-0.04662797421963738,0.03533449819651612,0,1.0004777525701556
adult,binclass,tabm,matched_random_1,2,0.08452204191907131,-0.033491890540132685,0.015883948586731256,0,1.0003065791894046
adult,binclass,tabm,matched_random_2,2,0.08456556517186287,-0.0030005221117457292,0.0011772083267691524,0,1.0003065791894046
