panel,dataset,model,covers,fits,single_cover_risk,independent_cover_risk,resolvable_pack_risk,ratio,predicted_ratio,graph_pack64_risk,resolvable_beats_graph64
openml_taskbalanced,openml-credit-g-31,onehot_linear,4,64,1.334038944849486e-16,3.335097362123715e-17,1.9057699212135512e-17,0.5714285714285714,0.5714285714285714,1.953183261040481e-17,True
openml_taskbalanced,openml-credit-g-31,onehot_linear,8,128,1.334038944849486e-16,1.6675486810618574e-17,0.0,0.0,0.0,,
openml_taskbalanced,openml-credit-g-31,ordinal_forest,1,16,6.716942015489546e-05,6.716942015489546e-05,6.716942015489546e-05,1.0,1.0,,
openml_taskbalanced,openml-credit-g-31,ordinal_forest,2,32,6.716942015489546e-05,3.358471007744773e-05,2.878689435209805e-05,0.8571428571428571,0.8571428571428571,,
openml_taskbalanced,openml-credit-g-31,ordinal_forest,4,64,6.716942015489546e-05,1.6792355038723865e-05,9.595631450699352e-06,0.5714285714285714,0.5714285714285714,8.938248525190305e-06,False
openml_taskbalanced,openml-credit-g-31,ordinal_forest,8,128,6.716942015489546e-05,8.396177519361933e-06,0.0,0.0,0.0,,
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,1,16,0.0010440109633124094,0.0010440109633124094,0.0010440109633124094,1.0,1.0,,
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,2,32,0.0010440109633124094,0.0005220054816562047,0.0004474332699910326,0.8571428571428571,0.8571428571428571,,
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,4,64,0.0010440109633124094,0.00026100274082810235,0.0001491444233303442,0.5714285714285714,0.5714285714285714,0.0001431013241769,False
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,8,128,0.0010440109633124094,0.00013050137041405117,0.0,0.0,0.0,,
