panel,dataset,model,covers,fits,single_cover_risk,independent_cover_risk,resolvable_pack_risk,ratio,predicted_ratio,graph_pack64_risk,resolvable_beats_graph64
confirmation,compustat_kor_direction,onehot_linear,1,16,3.112906926585474e-14,3.112906926585474e-14,3.112906926585474e-14,1.0,1.0,,
confirmation,compustat_kor_direction,onehot_linear,2,32,3.112906926585474e-14,1.556453463292737e-14,1.3341029685366317e-14,0.8571428571428572,0.8571428571428571,,
confirmation,compustat_kor_direction,onehot_linear,4,64,3.112906926585474e-14,7.782267316463685e-15,4.447009895122106e-15,0.5714285714285715,0.5714285714285714,3.948576332168172e-15,False
confirmation,compustat_kor_direction,onehot_linear,8,128,3.112906926585474e-14,3.891133658231842e-15,0.0,0.0,0.0,,
confirmation,compustat_kor_direction,ordinal_forest,1,16,9.938687937702369e-05,9.938687937702369e-05,9.938687937702369e-05,1.0,1.0,,
confirmation,compustat_kor_direction,ordinal_forest,2,32,9.938687937702369e-05,4.9693439688511843e-05,4.259437687586729e-05,0.8571428571428571,0.8571428571428571,,
confirmation,compustat_kor_direction,ordinal_forest,4,64,9.938687937702369e-05,2.4846719844255922e-05,1.4198125625289099e-05,0.5714285714285715,0.5714285714285714,1.306187933973614e-05,False
confirmation,compustat_kor_direction,ordinal_forest,8,128,9.938687937702369e-05,1.2423359922127961e-05,0.0,0.0,0.0,,
confirmation,compustat_kor_direction,native_histgb,1,16,1.5990327162731667e-05,1.5990327162731667e-05,1.5990327162731667e-05,1.0,1.0,,
confirmation,compustat_kor_direction,native_histgb,2,32,1.5990327162731667e-05,7.995163581365834e-06,6.852997355456429e-06,0.8571428571428572,0.8571428571428571,,
confirmation,compustat_kor_direction,native_histgb,4,64,1.5990327162731667e-05,3.997581790682917e-06,2.2843324518188098e-06,0.5714285714285715,0.5714285714285714,2.2005979170512435e-06,False
confirmation,compustat_kor_direction,native_histgb,8,128,1.5990327162731667e-05,1.9987908953414584e-06,0.0,0.0,0.0,,
confirmation,compustat_kor_direction,catboost_native,1,16,2.5249677979115674e-05,2.5249677979115674e-05,2.5249677979115674e-05,1.0,1.0,,
confirmation,compustat_kor_direction,catboost_native,2,32,2.5249677979115674e-05,1.2624838989557837e-05,1.0821290562478146e-05,0.8571428571428572,0.8571428571428571,,
confirmation,compustat_kor_direction,catboost_native,4,64,2.5249677979115674e-05,6.3124194947789185e-06,3.607096854159382e-06,0.5714285714285714,0.5714285714285714,3.4082954334323564e-06,False
confirmation,compustat_kor_direction,catboost_native,8,128,2.5249677979115674e-05,3.1562097473894592e-06,0.0,0.0,0.0,,
confirmation,compustat_kor_direction,onehot_adam_mlp,1,16,0.00012513742066482295,0.00012513742066482295,0.00012513742066482295,1.0,1.0,,
confirmation,compustat_kor_direction,onehot_adam_mlp,2,32,0.00012513742066482295,6.256871033241148e-05,5.363032314206698e-05,0.8571428571428571,0.8571428571428571,,
confirmation,compustat_kor_direction,onehot_adam_mlp,4,64,0.00012513742066482295,3.128435516620574e-05,1.7876774380688994e-05,0.5714285714285714,0.5714285714285714,1.7810301383681006e-05,False
confirmation,compustat_kor_direction,onehot_adam_mlp,8,128,0.00012513742066482295,1.564217758310287e-05,0.0,0.0,0.0,,
confirmation,kdd17_stock_direction,onehot_linear,1,16,1.9909239007120475e-14,1.9909239007120475e-14,1.9909239007120475e-14,1.0,1.0,,
confirmation,kdd17_stock_direction,onehot_linear,2,32,1.9909239007120475e-14,9.954619503560237e-15,8.532531003051632e-15,0.8571428571428572,0.8571428571428571,,
confirmation,kdd17_stock_direction,onehot_linear,4,64,1.9909239007120475e-14,4.977309751780119e-15,2.8441770010172106e-15,0.5714285714285714,0.5714285714285714,2.7860665291740857e-15,False
confirmation,kdd17_stock_direction,onehot_linear,8,128,1.9909239007120475e-14,2.4886548758900594e-15,0.0,0.0,0.0,,
confirmation,kdd17_stock_direction,ordinal_forest,1,16,0.00013436789957568105,0.00013436789957568105,0.00013436789957568105,1.0,1.0,,
confirmation,kdd17_stock_direction,ordinal_forest,2,32,0.00013436789957568105,6.718394978784052e-05,5.7586242675291883e-05,0.8571428571428572,0.8571428571428571,,
confirmation,kdd17_stock_direction,ordinal_forest,4,64,0.00013436789957568105,3.359197489392026e-05,1.9195414225097292e-05,0.5714285714285714,0.5714285714285714,1.760462942207516e-05,False
confirmation,kdd17_stock_direction,ordinal_forest,8,128,0.00013436789957568105,1.679598744696013e-05,0.0,0.0,0.0,,
confirmation,kdd17_stock_direction,native_histgb,1,16,4.670227077603848e-15,4.670227077603848e-15,4.670227077603848e-15,1.0,1.0,,
confirmation,kdd17_stock_direction,native_histgb,2,32,4.670227077603848e-15,2.335113538801924e-15,2.0015258904016493e-15,0.8571428571428571,0.8571428571428571,,
confirmation,kdd17_stock_direction,native_histgb,4,64,4.670227077603848e-15,1.167556769400962e-15,6.671752968005498e-16,0.5714285714285714,0.5714285714285714,6.262933852611032e-16,False
confirmation,kdd17_stock_direction,native_histgb,8,128,4.670227077603848e-15,5.83778384700481e-16,0.0,0.0,0.0,,
confirmation,kdd17_stock_direction,catboost_native,1,16,2.6144752037998423e-05,2.6144752037998423e-05,2.6144752037998423e-05,1.0,1.0,,
confirmation,kdd17_stock_direction,catboost_native,2,32,2.6144752037998423e-05,1.3072376018999211e-05,1.1204893730570753e-05,0.8571428571428572,0.8571428571428571,,
confirmation,kdd17_stock_direction,catboost_native,4,64,2.6144752037998423e-05,6.536188009499606e-06,3.7349645768569175e-06,0.5714285714285714,0.5714285714285714,3.562362985925409e-06,False
confirmation,kdd17_stock_direction,catboost_native,8,128,2.6144752037998423e-05,3.268094004749803e-06,0.0,0.0,0.0,,
confirmation,kdd17_stock_direction,onehot_adam_mlp,1,16,0.000701761459409443,0.000701761459409443,0.000701761459409443,1.0,1.0,,
confirmation,kdd17_stock_direction,onehot_adam_mlp,2,32,0.000701761459409443,0.0003508807297047215,0.00030075491117547554,0.8571428571428571,0.8571428571428571,,
confirmation,kdd17_stock_direction,onehot_adam_mlp,4,64,0.000701761459409443,0.00017544036485236074,0.00010025163705849186,0.5714285714285714,0.5714285714285714,9.979633155492706e-05,False
confirmation,kdd17_stock_direction,onehot_adam_mlp,8,128,0.000701761459409443,8.772018242618037e-05,0.0,0.0,0.0,,
menu_repeat,compustat_kor_direction,onehot_linear,1,16,3.6510245564683184e-14,3.6510245564683184e-14,3.651024556468319e-14,1.0000000000000002,1.0,,
menu_repeat,compustat_kor_direction,onehot_linear,2,32,3.6510245564683184e-14,1.8255122782341592e-14,1.5647248099149934e-14,0.8571428571428571,0.8571428571428571,,
menu_repeat,compustat_kor_direction,onehot_linear,4,64,3.6510245564683184e-14,9.127561391170796e-15,5.215749366383312e-15,0.5714285714285715,0.5714285714285714,5.114959230865373e-15,False
menu_repeat,compustat_kor_direction,onehot_linear,8,128,3.6510245564683184e-14,4.563780695585398e-15,0.0,0.0,0.0,,
menu_repeat,compustat_kor_direction,ordinal_forest,1,16,9.946437699293062e-05,9.946437699293062e-05,9.946437699293062e-05,1.0,1.0,,
menu_repeat,compustat_kor_direction,ordinal_forest,2,32,9.946437699293062e-05,4.973218849646531e-05,4.2627590139827404e-05,0.8571428571428571,0.8571428571428571,,
menu_repeat,compustat_kor_direction,ordinal_forest,4,64,9.946437699293062e-05,2.4866094248232654e-05,1.4209196713275803e-05,0.5714285714285715,0.5714285714285714,1.2851068828121507e-05,False
menu_repeat,compustat_kor_direction,ordinal_forest,8,128,9.946437699293062e-05,1.2433047124116327e-05,0.0,0.0,0.0,,
menu_repeat,compustat_kor_direction,native_histgb,1,16,1.4104841210822152e-05,1.4104841210822152e-05,1.4104841210822152e-05,1.0,1.0,,
menu_repeat,compustat_kor_direction,native_histgb,2,32,1.4104841210822152e-05,7.052420605411076e-06,6.044931947495208e-06,0.8571428571428572,0.8571428571428571,,
menu_repeat,compustat_kor_direction,native_histgb,4,64,1.4104841210822152e-05,3.526210302705538e-06,2.014977315831736e-06,0.5714285714285715,0.5714285714285714,1.9208594380737284e-06,False
menu_repeat,compustat_kor_direction,native_histgb,8,128,1.4104841210822152e-05,1.763105151352769e-06,0.0,0.0,0.0,,
menu_repeat,compustat_kor_direction,catboost_native,1,16,2.7411542344834033e-05,2.7411542344834033e-05,2.7411542344834033e-05,1.0,1.0,,
menu_repeat,compustat_kor_direction,catboost_native,2,32,2.7411542344834033e-05,1.3705771172417017e-05,1.1747803862071729e-05,0.8571428571428572,0.8571428571428571,,
menu_repeat,compustat_kor_direction,catboost_native,4,64,2.7411542344834033e-05,6.852885586208508e-06,3.9159346206905765e-06,0.5714285714285715,0.5714285714285714,3.806884587303368e-06,False
menu_repeat,compustat_kor_direction,catboost_native,8,128,2.7411542344834033e-05,3.426442793104254e-06,0.0,0.0,0.0,,
menu_repeat,compustat_kor_direction,onehot_adam_mlp,1,16,7.266348663002773e-05,7.266348663002773e-05,7.266348663002773e-05,1.0,1.0,,
menu_repeat,compustat_kor_direction,onehot_adam_mlp,2,32,7.266348663002773e-05,3.6331743315013865e-05,3.114149427001189e-05,0.8571428571428572,0.8571428571428571,,
menu_repeat,compustat_kor_direction,onehot_adam_mlp,4,64,7.266348663002773e-05,1.8165871657506932e-05,1.0380498090003962e-05,0.5714285714285715,0.5714285714285714,1.038538642307034e-05,True
menu_repeat,compustat_kor_direction,onehot_adam_mlp,8,128,7.266348663002773e-05,9.082935828753466e-06,0.0,0.0,0.0,,
subsample_repeat,compustat_kor_direction,onehot_linear,1,16,2.6182239427734178e-14,2.6182239427734178e-14,2.6182239427734178e-14,1.0,1.0,,
subsample_repeat,compustat_kor_direction,onehot_linear,2,32,2.6182239427734178e-14,1.3091119713867089e-14,1.1220959754743218e-14,0.8571428571428571,0.8571428571428571,,
subsample_repeat,compustat_kor_direction,onehot_linear,4,64,2.6182239427734178e-14,6.5455598569335445e-15,3.7403199182477396e-15,0.5714285714285714,0.5714285714285714,3.603176293684608e-15,False
subsample_repeat,compustat_kor_direction,onehot_linear,8,128,2.6182239427734178e-14,3.2727799284667722e-15,0.0,0.0,0.0,,
subsample_repeat,compustat_kor_direction,ordinal_forest,1,16,9.946818591301058e-05,9.946818591301058e-05,9.946818591301058e-05,1.0,1.0,,
subsample_repeat,compustat_kor_direction,ordinal_forest,2,32,9.946818591301058e-05,4.973409295650529e-05,4.262922253414739e-05,0.8571428571428571,0.8571428571428571,,
subsample_repeat,compustat_kor_direction,ordinal_forest,4,64,9.946818591301058e-05,2.4867046478252644e-05,1.4209740844715797e-05,0.5714285714285714,0.5714285714285714,1.2992031467924348e-05,False
subsample_repeat,compustat_kor_direction,ordinal_forest,8,128,9.946818591301058e-05,1.2433523239126322e-05,0.0,0.0,0.0,,
subsample_repeat,compustat_kor_direction,native_histgb,1,16,9.649986524387893e-06,9.649986524387893e-06,9.649986524387893e-06,1.0,1.0,,
subsample_repeat,compustat_kor_direction,native_histgb,2,32,9.649986524387893e-06,4.824993262193947e-06,4.1357085104519546e-06,0.8571428571428572,0.8571428571428571,,
subsample_repeat,compustat_kor_direction,native_histgb,4,64,9.649986524387893e-06,2.4124966310969734e-06,1.3785695034839847e-06,0.5714285714285714,0.5714285714285714,1.2640286780838145e-06,False
subsample_repeat,compustat_kor_direction,native_histgb,8,128,9.649986524387893e-06,1.2062483155484867e-06,0.0,0.0,0.0,,
subsample_repeat,compustat_kor_direction,catboost_native,1,16,2.6276533858537595e-05,2.6276533858537595e-05,2.627653385853759e-05,0.9999999999999999,1.0,,
subsample_repeat,compustat_kor_direction,catboost_native,2,32,2.6276533858537595e-05,1.3138266929268797e-05,1.1261371653658969e-05,0.8571428571428571,0.8571428571428571,,
subsample_repeat,compustat_kor_direction,catboost_native,4,64,2.6276533858537595e-05,6.569133464634399e-06,3.7537905512196565e-06,0.5714285714285714,0.5714285714285714,3.537780782167868e-06,False
subsample_repeat,compustat_kor_direction,catboost_native,8,128,2.6276533858537595e-05,3.2845667323171993e-06,0.0,0.0,0.0,,
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,1,16,8.921388371509181e-05,8.921388371509181e-05,8.92138837150918e-05,0.9999999999999999,1.0,,
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,2,32,8.921388371509181e-05,4.460694185754591e-05,3.8234521592182206e-05,0.8571428571428571,0.8571428571428571,,
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,4,64,8.921388371509181e-05,2.2303470928772954e-05,1.2744840530727402e-05,0.5714285714285714,0.5714285714285714,1.2328229835688778e-05,False
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,8,128,8.921388371509181e-05,1.1151735464386477e-05,0.0,0.0,0.0,,
openml_taskbalanced,openml-credit-g-31,onehot_linear,1,16,1.334038944849486e-16,1.334038944849486e-16,1.334038944849486e-16,1.0,1.0,,
openml_taskbalanced,openml-credit-g-31,onehot_linear,2,32,1.334038944849486e-16,6.67019472424743e-17,5.717309763640653e-17,0.857142857142857,0.8571428571428571,,
