panel,dataset,model,method,alpha,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,support_floor
confirmation,compustat_kor_direction,onehot_linear,disjoint_pair32,1e-06,128,-3.477157711068157e-11,3.477157711068157e-11,2.325318710415358e-09,6.369600957789601e-09,5e-07
confirmation,compustat_kor_direction,ordinal_forest,disjoint_pair32,1e-06,128,4.1543224627618594e-05,4.1543224627618594e-05,0.00024778647501623636,0.0008219458077644015,5e-07
confirmation,compustat_kor_direction,native_histgb,disjoint_pair32,1e-06,128,1.3347971534253904e-05,1.3347971534253904e-05,0.00013828123916135055,0.00045150548844852256,5e-07
confirmation,compustat_kor_direction,catboost_native,disjoint_pair32,1e-06,128,8.278315789554355e-06,8.278315789554355e-06,9.871760476432615e-05,0.00040998775040745894,5e-07
confirmation,compustat_kor_direction,onehot_adam_mlp,disjoint_pair32,1e-06,128,6.815531746164419e-05,6.815531746164419e-05,0.0004023525901001191,0.0017242184405037442,5e-07
confirmation,compustat_kor_direction,onehot_linear,independent_pair32,1e-06,128,3.2171831279743934e-11,3.2171831279743934e-11,2.539501778517817e-09,6.369600957789601e-09,5e-07
confirmation,compustat_kor_direction,ordinal_forest,independent_pair32,1e-06,128,5.274309152840601e-05,5.274309152840601e-05,0.0002648644116773729,0.0007666771125529603,5e-07
confirmation,compustat_kor_direction,native_histgb,independent_pair32,1e-06,128,1.1982910881348113e-05,1.1982910881348113e-05,0.00016578360099174725,0.0004747031739693597,5e-07
confirmation,compustat_kor_direction,catboost_native,independent_pair32,1e-06,128,9.475840067190073e-06,9.475840067190073e-06,0.00011276727423178864,0.00040998775040745894,5e-07
confirmation,compustat_kor_direction,onehot_adam_mlp,independent_pair32,1e-06,128,5.7666662172423176e-05,5.7666662172423176e-05,0.0004488623338708321,0.0016766911964075648,5e-07
confirmation,compustat_kor_direction,onehot_linear,mutually_disjoint_pack64,1e-06,128,-8.744657298623282e-11,8.744657298623282e-11,1.3204850151530924e-09,5.435519367935626e-09,5e-07
confirmation,compustat_kor_direction,ordinal_forest,mutually_disjoint_pack64,1e-06,128,1.3781800406451983e-05,1.3781800406451983e-05,0.0001341872387786933,0.00047716126325136887,5e-07
confirmation,compustat_kor_direction,native_histgb,mutually_disjoint_pack64,1e-06,128,6.563128924981813e-07,6.563128924981813e-07,8.457494069574751e-05,0.0002798642586511191,5e-07
confirmation,compustat_kor_direction,catboost_native,mutually_disjoint_pack64,1e-06,128,5.197211547643956e-06,5.197211547643956e-06,5.593578502091534e-05,0.0001996029267634647,5e-07
confirmation,compustat_kor_direction,onehot_adam_mlp,mutually_disjoint_pack64,1e-06,128,1.4022894990797221e-05,1.4022894990797221e-05,0.00021656682197539968,0.0006150428717771605,5e-07
confirmation,compustat_kor_direction,onehot_linear,two_disjoint_pairs64,1e-06,128,-2.47055923895817e-11,2.47055923895817e-11,1.6357606249474436e-09,4.90638407679711e-09,5e-07
confirmation,compustat_kor_direction,ordinal_forest,two_disjoint_pairs64,1e-06,128,2.396310674909199e-05,2.396310674909199e-05,0.00017619531656915048,0.0005900228958808373,5e-07
confirmation,compustat_kor_direction,native_histgb,two_disjoint_pairs64,1e-06,128,3.1492923865285424e-06,3.1492923865285424e-06,0.00010301237580419543,0.00038975947064046057,5e-07
confirmation,compustat_kor_direction,catboost_native,two_disjoint_pairs64,1e-06,128,6.630404505289598e-06,6.630404505289598e-06,7.317047937548534e-05,0.0002984059821307117,5e-07
confirmation,compustat_kor_direction,onehot_adam_mlp,two_disjoint_pairs64,1e-06,128,2.936886411664412e-05,2.936886411664412e-05,0.0002656496138389019,0.001156715077157977,5e-07
confirmation,compustat_kor_direction,onehot_linear,disjoint_pair32,0.0001,128,-3.4772517981326856e-11,3.4772517981326856e-11,2.3250390030503734e-09,6.369026417374357e-09,5e-05
confirmation,compustat_kor_direction,ordinal_forest,disjoint_pair32,0.0001,128,4.1532912463999156e-05,4.1532912463999156e-05,0.00024775250861301396,0.00082181735303688,5e-05
confirmation,compustat_kor_direction,native_histgb,disjoint_pair32,0.0001,128,1.3345844591485293e-05,1.3345844591485293e-05,0.00013826336391186274,0.00045144376818506693,5e-05
confirmation,compustat_kor_direction,catboost_native,disjoint_pair32,0.0001,128,8.276450025806537e-06,8.276450025806537e-06,9.870708903051143e-05,0.000409947348302131,5e-05
confirmation,compustat_kor_direction,onehot_adam_mlp,disjoint_pair32,0.0001,128,6.814011689780172e-05,6.814011689780172e-05,0.00040226358435172004,0.0017238310754552622,5e-05
confirmation,compustat_kor_direction,onehot_linear,independent_pair32,0.0001,128,3.2168671047251574e-11,3.2168671047251574e-11,2.5391948580599516e-09,6.369026417374357e-09,5e-05
confirmation,compustat_kor_direction,ordinal_forest,independent_pair32,0.0001,128,5.2730364154645855e-05,5.2730364154645855e-05,0.00026482848629778247,0.0007665640107505922,5e-05
confirmation,compustat_kor_direction,native_histgb,independent_pair32,0.0001,128,1.1980746426648549e-05,1.1980746426648549e-05,0.00016576197601563854,0.0004746351351424538,5e-05
confirmation,compustat_kor_direction,catboost_native,independent_pair32,0.0001,128,9.473449142056523e-06,9.473449142056523e-06,0.00011275537525449667,0.000409947348302131,5e-05
confirmation,compustat_kor_direction,onehot_adam_mlp,independent_pair32,0.0001,128,5.7655850871860263e-05,5.7655850871860263e-05,0.00044876456939159273,0.0016763301104567585,5e-05
confirmation,compustat_kor_direction,onehot_linear,mutually_disjoint_pack64,0.0001,128,-8.743244800032968e-11,8.743244800032968e-11,1.3203311231981236e-09,5.434971694917579e-09,5e-05
confirmation,compustat_kor_direction,ordinal_forest,mutually_disjoint_pack64,0.0001,128,1.3778159098079969e-05,1.3778159098079969e-05,0.0001341689266718008,0.0004770955861328474,5e-05
confirmation,compustat_kor_direction,native_histgb,mutually_disjoint_pack64,0.0001,128,6.560886682564684e-07,6.560886682564684e-07,8.456402986461001e-05,0.00027982725605923964,5e-05
confirmation,compustat_kor_direction,catboost_native,mutually_disjoint_pack64,0.0001,128,5.196330000097949e-06,5.196330000097949e-06,5.5929909268337747e-05,0.0001995773753605823,5e-05
confirmation,compustat_kor_direction,onehot_adam_mlp,mutually_disjoint_pack64,0.0001,128,1.4020151131346591e-05,1.4020151131346591e-05,0.00021651968835047995,0.0006149028789920186,5e-05
confirmation,compustat_kor_direction,onehot_linear,two_disjoint_pairs64,0.0001,128,-2.4707099864282323e-11,2.4707099864282323e-11,1.6355693754410128e-09,4.9058246354150015e-09,5e-05
confirmation,compustat_kor_direction,ordinal_forest,two_disjoint_pairs64,0.0001,128,2.3957445053567256e-05,2.3957445053567256e-05,0.00017617125967207177,0.0005899497078933891,5e-05
confirmation,compustat_kor_direction,native_histgb,two_disjoint_pairs64,0.0001,128,3.1485239627116694e-06,3.1485239627116694e-06,0.0001029990352753835,0.0003897050013212944,5e-05
confirmation,compustat_kor_direction,catboost_native,two_disjoint_pairs64,0.0001,128,6.629230087612666e-06,6.629230087612666e-06,7.316302337394054e-05,0.00029838118841252204,5e-05
confirmation,compustat_kor_direction,onehot_adam_mlp,two_disjoint_pairs64,0.0001,128,2.936291332379464e-05,2.936291332379464e-05,0.0002655917221177601,0.0011564580099828747,5e-05
confirmation,compustat_kor_direction,onehot_linear,disjoint_pair32,0.01,128,-3.486499771613444e-11,3.486499771613444e-11,2.297219062793142e-09,6.311144495896315e-09,0.005
confirmation,compustat_kor_direction,ordinal_forest,disjoint_pair32,0.01,128,4.0513277173394205e-05,4.0513277173394205e-05,0.00024437970303706273,0.0008090725085440065,0.005
confirmation,compustat_kor_direction,native_histgb,disjoint_pair32,0.01,128,1.3134008971319496e-05,1.3134008971319496e-05,0.00013648087913488272,0.00044529010073923736,0.005
confirmation,compustat_kor_direction,catboost_native,disjoint_pair32,0.01,128,8.090994706458029e-06,8.090994706458029e-06,9.765726940484018e-05,0.0004059076053350985,0.005
confirmation,compustat_kor_direction,onehot_adam_mlp,disjoint_pair32,0.01,128,6.66298107986767e-05,6.66298107986767e-05,0.0003934328800326635,0.0016853412920463384,0.005
confirmation,compustat_kor_direction,onehot_linear,independent_pair32,0.01,128,3.183925182965314e-11,3.183925182965314e-11,2.508670970289587e-09,6.311144495896315e-09,0.005
confirmation,compustat_kor_direction,ordinal_forest,independent_pair32,0.01,128,5.147120133339384e-05,5.147120133339384e-05,0.0002612599577780296,0.0007553487044152929,0.005
confirmation,compustat_kor_direction,native_histgb,independent_pair32,0.01,128,1.1765353921123155e-05,1.1765353921123155e-05,0.00016360563149296514,0.0004678539916116442,0.005
confirmation,compustat_kor_direction,catboost_native,independent_pair32,0.01,128,9.235908122860021e-06,9.235908122860021e-06,0.00011156723077679336,0.0004059076053350985,0.005
confirmation,compustat_kor_direction,onehot_adam_mlp,independent_pair32,0.01,128,5.658085280586648e-05,5.658085280586648e-05,0.000439062804936667,0.0016404436365446973,0.005
confirmation,compustat_kor_direction,onehot_linear,mutually_disjoint_pack64,0.01,128,-8.603475982853215e-11,8.603475982853215e-11,1.3050285458415934e-09,5.380202838800585e-09,0.005
confirmation,compustat_kor_direction,ordinal_forest,mutually_disjoint_pack64,0.01,128,1.3418201171390594e-05,1.3418201171390594e-05,0.00013235035866691533,0.00047057547595363847,0.005
confirmation,compustat_kor_direction,native_histgb,mutually_disjoint_pack64,0.01,128,6.338356424968146e-07,6.338356424968146e-07,8.347596411217932e-05,0.00027613700099715643,0.005
confirmation,compustat_kor_direction,catboost_native,mutually_disjoint_pack64,0.01,128,5.108571259771237e-06,5.108571259771237e-06,5.5343183206357943e-05,0.00019702849273905976,0.005
