component,optimized_coefficient,graph_coefficient,graph_lower_99,optimized_to_graph,below_graph_lower_99
feature:category:class,0.014990248300285126,0.0149657249450683,0.014832375118510729,1.0016386346339279,False
feature:category:seed,0.014674907359058086,0.0146508998870849,0.014528619058758789,1.0016386346339277,False
feature:class:seed,0.014928539987490151,0.0149041175842285,0.014771629523997545,1.0016386346339279,False
category:class:seed,0.014975556754607345,0.014951057434082,0.01481751240793899,1.0016386346339288,False
feature:category:class:seed,0.0073973479971847405,0.0073852462768554,0.007309474120104605,1.0016386346339277,False
