dataset,model,task,split,design_count,joint_schema_seed_risk,joint_main_effect_risk,joint_main_effect_fraction,mean_member_loss,full_quotient_loss,iid_joint_expected_residual,seed_only_expected_residual,orthogonal_cover_expected_residual,orthogonal_cover_expected_loss,iid_joint_expected_loss,seed_only_expected_loss,identity_four_seed_loss,canonical_four_seed_loss,cover_vs_iid_residual_reduction,cover_vs_seed_residual_reduction,joint_risk_fraction_of_member_loss,ambiguity_identity_error,anova_component_sum_error
compustat_kor_direction,onehot_linear,binclass,validation,3456,9.608343665695508e-13,1.977836048151077e-13,0.2058456813126396,0.500809311720851,0.5008093117198901,2.402085916423877e-13,9.608343665695508e-13,2.1791235440172674e-13,0.500809311720108,0.5008093117201303,0.5008093117208509,0.5008093228912438,,0.09282031541092695,0.7732050788527317,1.9185633016047354e-12,6.366124352213665e-17,2.0194839173657902e-28
compustat_kor_direction,onehot_linear,binclass,test,3456,1.024562496692097e-12,2.1836049627898628e-13,0.21312559944755455,0.5014801861443727,0.5014801861433482,2.5614062417302423e-13,1.024562496692097e-12,2.276746617158531e-13,0.5014801861435759,0.5014801861436043,0.5014801861443727,0.5014801258685099,,0.1111341184127912,0.7777835296031979,2.043076725661764e-12,4.868956800245715e-17,2.0194839173657902e-28
compustat_kor_direction,ordinal_forest,binclass,validation,3456,0.0022534933716052137,0.0004442058655782724,0.19711878063428898,0.5186234721973664,0.5163699788257612,0.0005633733429013034,0.0005293356628423777,0.0005036364856694693,0.5168736153114306,0.5169333521686625,0.5168993144886036,0.515807866767165,,0.10603422754118375,0.048549869160357195,0.004345143427576353,2.7321894746634712e-17,0.0
compustat_kor_direction,ordinal_forest,binclass,test,3456,0.0023805228904884364,0.00043080959330840326,0.18097267412539336,0.5103233343602465,0.507942811469758,0.0005951307226221091,0.0005776560664172566,0.0005438710341154899,0.5084866825038734,0.50853794219238,0.5085204675361752,0.5075980780534515,,0.0861318136640169,0.05848641478191097,0.004664734552012435,7.589415207398531e-17,4.336808689942018e-19
compustat_kor_direction,native_histgb,binclass,validation,3456,0.000885444516897524,0.0003567585791602767,0.4029146630331054,0.4991339131983662,0.4982484686814686,0.000221361129224381,0.0001562671500604181,0.00016210652567908774,0.4984105752071477,0.498469829810693,0.498404735831529,0.49743350736737285,,0.26768296562686167,-0.03736790244406407,0.0017739618436738637,6.928051882182373e-17,2.168404344971009e-19
compustat_kor_direction,native_histgb,binclass,test,3456,0.0009397900669507576,0.0003945127207142958,0.41978813629551504,0.49719699151747787,0.49625720145052704,0.0002349475167376894,0.00017279575986207295,0.0001673850599146104,0.49642458651044163,0.49649214896726473,0.4964299972103891,0.496329003583149,,0.2875640388168482,0.03131268933787157,0.0018901764954016647,7.209944447028604e-17,0.0
compustat_kor_direction,catboost_native,binclass,validation,3456,0.0008760134851757166,0.00022102133309774287,0.25230357390378405,0.49632954919006156,0.49545353570488593,0.00021900337129392915,0.00017875624114381314,0.0001909244672467389,0.49564446017213265,0.49567253907617986,0.49563229194602976,0.49586133021206746,,0.1282122000282131,-0.06807161543040152,0.0017649835408857777,8.586881206085195e-17,0.0
compustat_kor_direction,catboost_native,binclass,test,3456,0.0009736810316345087,0.0002707112371294053,0.2780286647619755,0.4972170111859384,0.49624333015430383,0.00024342025790862718,0.0002044856279326543,0.00020551272463730145,0.49644884287894114,0.49648675041221246,0.49644781578223646,0.4961270002246033,,0.15572875321475954,-0.005022830773150577,0.001958261704104071,7.914675859144182e-17,2.168404344971009e-19
compustat_kor_direction,onehot_adam_mlp,binclass,validation,3456,0.002020545029436568,0.0005122305483785295,0.2535110779101843,0.4949920895812305,0.4929715445517939,0.000505136257359142,0.0004230400871261706,0.0004220624351839898,0.49339360698697793,0.4934766808091531,0.4933945846389201,0.49544397396365564,,0.16445824461198466,0.002311014894172958,0.00408197438295625,1.9081958235744878e-17,0.0
compustat_kor_direction,onehot_adam_mlp,binclass,test,3456,0.0018818473867012958,0.0005036153947833407,0.2676175540813285,0.49723758607597074,0.4953557386892694,0.00047046184667532396,0.00041172856169659905,0.00038429433695519273,0.4957400330262246,0.4958262005359447,0.495767467250966,0.49729425585175646,,0.18315514919873477,0.06663182322926253,0.0037846040593033058,3.382710778154774e-17,2.168404344971009e-19
