dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
openml-adult-1590,onehot_linear,binclass,validation,3456,27648,2.416825110256797e-13,0.23680446033710026,0.655368122132717,0.20556291555888118,0.2055629155586395,1.510515693910498e-14,1.3057265157375684e-14,6.042062775641993e-14,9.254610846940037e-15,3.155443620884047e-29,4.733165431326071e-30,0.20556291555864875,0.38732110601371905,0.2912290027508275,0.8468302765034298,False,1.4714140398726432e-17
openml-adult-1590,onehot_linear,binclass,test,3456,27648,1.8797194846847812e-13,0.24010225115970824,0.6798900174031425,0.204736306635309,0.20473630663512105,1.1748246779279883e-14,1.0231852341833826e-14,4.699298711711954e-14,6.685744128104664e-15,3.155443620884047e-29,2.3665827156630354e-30,0.20473630663512773,0.43091558649447503,0.34657538979824665,0.8577288966236188,False,1.1190399439118336e-17
openml-adult-1590,ordinal_forest,binclass,validation,3456,27648,0.0016343041952312887,0.7011962892264535,0.8520436375244687,0.1900978487698896,0.18846354457465833,0.00010214401220195554,3.397785473052025e-05,0.0002934100020347778,2.6867300433880192e-05,5.421010862427522e-20,1.3552527156068805e-20,0.18849041187509222,0.736966466710167,0.2092702542003948,0.9084308638166478,True,9.974659986866641e-18
openml-adult-1590,ordinal_forest,binclass,test,3456,27648,0.0016510726628373733,0.7090325424607647,0.8564802508351821,0.18789691893099703,0.18624584626815963,0.00010319204142733583,3.345176973143525e-05,0.00030013558861007814,2.632905938036753e-05,8.131516293641283e-20,1.3552527156068805e-20,0.18627217532754,0.7448537792625459,0.2129247692499323,0.9122761165968458,True,2.6237692574149207e-17
openml-adult-1590,native_histgb,binclass,validation,3456,27648,0.0009148218913721337,0.570833738072274,0.9999981072592068,0.17714279994606047,0.17622797805468837,5.7176368210758354e-05,3.271750952302167e-05,3.330581957911301e-05,1.9239119026465615e-10,5.421010862427522e-20,4.3518747508239054e-21,0.17622797824707956,0.9999966351274786,0.9999941196260635,0.999994223496293,True,3.63207727782644e-17
openml-adult-1590,native_histgb,binclass,test,3456,27648,0.0008783005931101652,0.5613762033136411,0.9999950041764132,0.17560877242989878,0.17473047183678864,5.4893787069385325e-05,3.2103506514187934e-05,3.256665934446422e-05,4.875372022050965e-10,0.0,2.8473624635606595e-21,0.17473047232432584,0.9999911185358447,0.9999848135840865,0.9999850295605377,True,2.233456475320139e-17
openml-adult-1590,catboost_native,binclass,validation,3456,27648,0.00023663831206148031,0.3257672461105461,0.7768215261112793,0.18703488552412756,0.18679824721206606,1.478989450384252e-05,1.1828759030594619e-05,1.1063989879334509e-05,5.868064149942631e-06,5.421010862427522e-20,1.1011428314305904e-20,0.18680411527621602,0.6032382686422769,0.5039154881112115,0.4696249532094121,False,1.8675382421062814e-17
openml-adult-1590,catboost_native,binclass,test,3456,27648,0.00022760253906219474,0.3336024253827568,0.7819475829722506,0.18478361166561724,0.18455600912655507,1.4225158691387171e-05,1.126089045164316e-05,1.0594245382014098e-05,5.514364862684908e-06,4.0657581468206416e-20,1.0164395367051604e-20,0.18456152349141774,0.6123512586173354,0.5103082756763462,0.47949432320619334,False,1.7536970139953034e-17
openml-adult-1590,onehot_adam_mlp,binclass,validation,3456,27648,0.003329073011946817,0.1761968950513874,0.5099200645628159,0.20070668209362807,0.19737760908168123,0.00020806706324667606,0.000187810983885421,0.00019812409998879593,0.00014456681961595898,8.673617379884035e-19,1.3552527156068805e-19,0.1975221759012972,0.30519123324883823,0.23025364850782237,0.2703218860091512,True,3.122502256758253e-17
openml-adult-1590,onehot_adam_mlp,binclass,test,3456,27648,0.0032042293713392257,0.1766572339449826,0.5089782177985455,0.19858709689431303,0.19538286752297376,0.0002002643357087016,0.0001805702767664512,0.00019246505095229415,0.00013940756648414434,7.589415207398531e-19,1.0842021724855044e-19,0.1955222750894579,0.30388221152406114,0.22795950152718936,0.27567334539765886,True,4.206704429243757e-17
openml-bank-marketing-1461,onehot_linear,binclass,validation,3456,27648,5.2873185082333293e-14,0.32305568946697255,0.7890807236936164,0.14437274962435928,0.14437274962430643,3.304574067645831e-15,2.6729064313932366e-15,1.3218296270583317e-14,1.2391082148421312e-15,6.310887241768095e-30,0.0,0.14437274962430768,0.6250323976775414,0.5364191577045765,0.9062580994193853,False,2.6569110175841946e-17
openml-bank-marketing-1461,onehot_linear,binclass,test,3456,27648,5.473666257616255e-14,0.3218751085530991,0.7859089051458699,0.14139439914833254,0.1413943991482778,3.4210414110101595e-15,2.767673557869052e-15,1.3684165644040632e-14,1.3020702243990807e-15,6.310887241768095e-30,3.944304526105059e-31,0.14139439914827912,0.6193936091482133,0.5295434244052976,0.9048484022870533,False,2.6674621423341784e-18
openml-bank-marketing-1461,ordinal_forest,binclass,validation,3456,27648,0.001237696564799323,0.5896690844483412,0.7991872131729426,0.1285622008732847,0.1273245043084854,7.735603529995768e-05,3.541806103900338e-05,0.0001934545566559822,2.7616144047069806e-05,5.421010862427522e-20,0.0,0.12735212045253247,0.6429994900852305,0.22028074838263678,0.857247383962223,True,2.190088388420719e-17
openml-bank-marketing-1461,ordinal_forest,binclass,test,3456,27648,0.001294305904619713,0.6051626989944204,0.8043313025148191,0.1286018385088169,0.1273075326041972,8.089411903873207e-05,3.555182221284946e-05,0.00020631326866237237,2.8139461167146466e-05,0.0,3.3881317890172014e-21,0.12733567206536434,0.6521445378041226,0.20849454639272902,0.8636080880808682,True,4.9873299934333204e-18
openml-bank-marketing-1461,native_histgb,binclass,validation,3456,27648,0.0012864336116766065,0.6039468183936341,0.9999999999999997,0.12526619009698348,0.12397975648530686,8.040210072978791e-05,4.245801040249064e-05,5.380698350591168e-05,4.191737754112468e-21,0.0,3.540068352335125e-21,0.12397975648530686,1.0,0.9999999999999999,0.9999999999999999,True,9.107298248878237e-18
openml-bank-marketing-1461,native_histgb,binclass,test,3456,27648,0.0012580660196457847,0.591896822360342,1.0000000000000009,0.12570465378467646,0.12444658776503068,7.862912622786155e-05,4.2785061691493485e-05,4.9314903315973694e-05,1.4235778342037606e-21,0.0,6.637177336874111e-22,0.12444658776503068,1.0,1.0,1.0,True,2.3852447794681098e-18
openml-bank-marketing-1461,catboost_native,binclass,validation,3456,27648,0.0003820127445349655,0.3310635509361514,0.7986796706872302,0.12969738043483248,0.1293153676902975,2.3875796533435345e-05,1.9158883748544737e-05,2.1940129912413922e-05,8.545214614606045e-06,1.3552527156068805e-20,5.082197683525802e-21,0.1293239129049121,0.642097192332853,0.55398160316855,0.6105212389936175,False,1.0842021724855044e-17
openml-bank-marketing-1461,catboost_native,binclass,test,3456,27648,0.0003716469409648453,0.32699532784490565,0.7975379556022775,0.12663890418753998,0.12626725724657514,2.3227933810302833e-05,1.875322176451571e-05,2.0950858920880452e-05,8.360488829100253e-06,2.710505431213761e-20,5.082197683525802e-21,0.12627561773540424,0.6400674766262711,0.5541838658933942,0.6009476813970687,False,8.239936510889834e-18
openml-bank-marketing-1461,onehot_adam_mlp,binclass,validation,3456,27648,0.0038744861338696995,0.17454982523692886,0.49713046622932094,0.13201225529208807,0.12813776915821842,0.00024215538336685622,0.00021760951384165077,0.00021798974884031447,0.00017476950062001877,8.673617379884035e-19,1.0842021724855044e-19,0.12831253865883843,0.2782753858697017,0.19686645342540332,0.19826734261690504,True,5.160802341031001e-17
openml-bank-marketing-1461,onehot_adam_mlp,binclass,test,3456,27648,0.003814259963820225,0.17528960615745118,0.4960109722111421,0.13126359711232657,0.12744933714850637,0.00023839124773876406,0.00021386859153930097,0.0002183522128753109,0.00017256391779454222,8.673617379884035e-19,1.0842021724855044e-19,0.12762190106630092,0.27613148791585385,0.19313108786789068,0.2096992491068359,True,2.0383000842727483e-17
openml-titanic-40945,onehot_linear,binclass,validation,3456,27648,3.87954021643191e-22,0.27499999999999997,0.825,0.039310955725559545,0.03931095572555955,2.4247126352699436e-23,2.1553001202399498e-23,9.698850541079775e-23,7.543550420839825e-24,4.70197740328915e-38,0.0,0.03931095572555955,0.6888888888888889,0.6499999999999999,0.9222222222222223,False,6.939281857928871e-18
openml-titanic-40945,onehot_linear,binclass,test,3456,27648,0.0,0.0,0.0,0.04350852010055236,0.043508520100552346,0.0,0.0,0.0,0.0,0.0,0.0,0.043508520100552346,0.0,0.0,0.0,False,1.3877787807814457e-17
openml-titanic-40945,ordinal_forest,binclass,validation,3456,27648,0.00872708534668808,0.9031342749027699,0.9530622166335972,0.07841700094738342,0.06968991560069533,0.000545442834168005,5.9067675245947396e-05,0.001992662702818449,4.5514449046994635e-05,4.87890977618477e-19,6.776263578034403e-21,0.06973543004974232,0.9165550517930621,0.22945250752665503,0.9771589797999338,True,1.0408340855860843e-17
openml-titanic-40945,ordinal_forest,binclass,test,3456,27648,0.008565277255455663,0.9041532924586462,0.9526716929879573,0.08065922061912993,0.07209394336367425,0.000535329828465979,5.715224446537055e-05,0.001957432661360546,4.5042230176608425e-05,4.336808689942018e-19,2.710505431213761e-20,0.07213898559385086,0.9158607875341456,0.2118904410849477,0.9769891291456734,True,1.734723475976807e-17
openml-titanic-40945,native_histgb,binclass,validation,3456,27648,0.002446269341469699,0.9467770320703526,0.9999999999999887,0.047792900963200075,0.04534663162173038,0.00015289183384185618,1.084980955902604e-05,0.0006115673353674247,3.099293554003485e-18,4.0657581468206416e-20,1.8822391037563682e-20,0.04534663162173038,0.9999999999999797,0.9999999999997143,0.9999999999999949,True,5.204170427930421e-18
openml-titanic-40945,native_histgb,binclass,test,3456,27648,0.002685737685407151,0.9436968434980119,0.9999999999999747,0.048961852421555124,0.04627611473614796,0.00016785860533794693,1.2601292435395296e-05,0.0006714344213517876,7.523399577071899e-18,2.710505431213761e-20,2.537765548200313e-20,0.04627611473614797,0.9999999999999551,0.9999999999994029,0.9999999999999888,True,1.1275702593849246e-17
openml-titanic-40945,catboost_native,binclass,validation,3456,27648,0.0001547913382465031,0.6837353084331026,0.902425317107394,0.03638224694466688,0.03622745560642037,9.674458640406443e-06,3.6600385777596685e-06,4.239617697630388e-06,1.6781906382138498e-06,3.3881317890172014e-21,1.0587911840678754e-21,0.03622913379705858,0.8265338970798116,0.5414828006427517,0.6041646304213171,False,5.44811591673966e-18
