triplet,cells,wins,mean_relative_test_gain_pct,median_relative_test_gain_pct
triplet1,24,19,3.5188363456025447,1.0764698628932714
triplet2,24,18,2.544600481890526,1.1329141587851206
triplet3,24,19,1.1537397813298387,0.8489860530072106
