batch,control,dataset,model,strength2_residual,control_residual,strength2_lower
0,sobol16,compustat_kor_direction,onehot_adam_mlp,0.00011716751380228378,0.00013115679566538802,True
0,sobol16,credit_card_default,onehot_adam_mlp,7.048944334094666e-05,5.703986497048415e-05,False
0,sobol16,credit_card_fraud,native_histgb,8.470257660572782e-08,5.0306976188995465e-08,False
0,sobol16,credit_card_fraud,catboost_native,8.175942473422183e-08,1.7080794901537879e-07,True
0,sobol16,credit_card_fraud,onehot_adam_mlp,1.946881175620496e-06,1.4992738459968139e-06,False
0,sobol16,heloc_credit_risk,ordinal_forest,3.3881317890172014e-21,2.8967707491282602e-05,True
0,sobol16,heloc_credit_risk,onehot_adam_mlp,9.602593828254518e-05,6.469731019750585e-05,False
0,sobol16,kdd17_stock_direction,ordinal_forest,0.00013276389721734327,0.00013996078273281116,True
0,sobol16,kdd17_stock_direction,onehot_adam_mlp,0.0007806028381460947,0.0009122376073185572,True
0,sobol16,kdd17_stock_return,ordinal_forest,0.00015532984621958025,0.0002342446346177468,True
0,sobol16,kdd17_stock_return,onehot_adam_mlp,0.0004826308630860923,0.0012437440038655066,True
0,sobol16,polish_bankruptcy_1year,ordinal_forest,0.0,5.996038923566127e-06,True
0,sobol16,polish_bankruptcy_1year,catboost_native,-4.235164736271502e-22,4.875509278861265e-06,True
0,sobol16,polish_bankruptcy_1year,onehot_adam_mlp,0.00015464200790749446,0.00011360151245006105,False
0,sobol16,polish_bankruptcy_2year,ordinal_forest,0.0,5.886109026816801e-06,True
0,sobol16,polish_bankruptcy_2year,catboost_native,0.0,9.361105014565395e-06,True
0,sobol16,polish_bankruptcy_2year,onehot_adam_mlp,1.3849325852650032e-05,2.1330676768357342e-05,True
0,sobol16,polish_bankruptcy_3year,ordinal_forest,4.235164736271502e-22,7.031506774557741e-06,True
0,sobol16,polish_bankruptcy_3year,catboost_native,0.0,1.0850258907906558e-05,True
0,sobol16,polish_bankruptcy_3year,onehot_adam_mlp,1.3119202818296277e-05,1.9932975911880304e-05,True
0,sobol16,polish_bankruptcy_4year,ordinal_forest,8.470329472543003e-22,8.048476475329935e-06,True
0,sobol16,polish_bankruptcy_4year,catboost_native,8.470329472543003e-22,1.4452063409445934e-05,True
0,sobol16,polish_bankruptcy_4year,onehot_adam_mlp,0.00022197162867486508,0.00018972154580443128,False
0,sobol16,polish_bankruptcy_5year,catboost_native,0.0,1.5158049492952305e-05,True
0,sobol16,polish_bankruptcy_5year,onehot_adam_mlp,0.00025466675776904924,0.0002629702202080861,True
0,lhs16,compustat_kor_direction,onehot_adam_mlp,0.00011716751380228378,0.00012982895445718637,True
0,lhs16,credit_card_default,onehot_adam_mlp,7.048944334094666e-05,8.311243680325927e-05,True
0,lhs16,credit_card_fraud,native_histgb,8.470257660572782e-08,1.169510179373857e-06,True
0,lhs16,credit_card_fraud,catboost_native,8.175942473422183e-08,3.941117992436128e-07,True
0,lhs16,credit_card_fraud,onehot_adam_mlp,1.946881175620496e-06,1.7833083718258644e-06,False
0,lhs16,heloc_credit_risk,ordinal_forest,3.3881317890172014e-21,4.6557544411020627e-05,True
0,lhs16,heloc_credit_risk,onehot_adam_mlp,9.602593828254518e-05,0.00012117758864006922,True
0,lhs16,kdd17_stock_direction,ordinal_forest,0.00013276389721734327,0.0001453791433412587,True
0,lhs16,kdd17_stock_direction,onehot_adam_mlp,0.0007806028381460947,0.0008302752943005274,True
0,lhs16,kdd17_stock_return,ordinal_forest,0.00015532984621958025,0.00017887512279984085,True
0,lhs16,kdd17_stock_return,onehot_adam_mlp,0.0004826308630860923,0.0007963143534851598,True
0,lhs16,polish_bankruptcy_1year,ordinal_forest,0.0,8.947710665490068e-06,True
0,lhs16,polish_bankruptcy_1year,catboost_native,-4.235164736271502e-22,7.4049716136647105e-06,True
0,lhs16,polish_bankruptcy_1year,onehot_adam_mlp,0.00015464200790749446,0.0006401760121708904,True
