task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,relative_val_log_loss_gain_pct,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,relative_test_log_loss_gain_pct,heterobag_val_loss,heterobag_val_rmse,ttt_val_loss,ttt_val_rmse,relative_val_rmse_gain_pct,heterobag_test_loss,heterobag_test_rmse,ttt_test_loss,ttt_test_rmse,relative_test_rmse_gain_pct,primary_metric,relative_test_gain_pct,relative_val_gain_pct,test_win,parameter_relative_mismatch
classification,openml-credit-g-31,mlp,qple,20260931,20261032,20261133,62451,62451,62451,62451,0.4525017335685723,0.8314285714285715,0.79,0.453784347911957,0.8300595238095237,0.795,0.2826484318567818,0.5186520155041465,0.7701785714285714,0.71,0.5193187668769429,0.7685714285714285,0.71,0.1283896164211533,,,,,,,,,,,log_loss,0.1283896164211533,0.2826484318567818,True,0.0
classification,openml-credit-g-31,resnet,qple,20260931,20261032,20261133,179191,179191,179191,179191,0.4660471983592008,0.8261904761904761,0.78,0.4685485533880482,0.8214880952380952,0.785,0.5338518304581895,0.5228257855864757,0.7693452380952381,0.72,0.5238682429921464,0.7713095238095239,0.715,0.1989922885412026,,,,,,,,,,,log_loss,0.1989922885412026,0.5338518304581895,True,0.0
classification,openml-credit-g-31,ft_transformer,qple,20260931,20261032,20261133,11251,11251,11251,11251,0.4583166579099823,0.8514880952380952,0.8,0.4599210322314475,0.8457738095238095,0.8,0.3488369109107915,0.5012522594077102,0.8113690476190476,0.77,0.5026058865407873,0.8073809523809523,0.75,0.2693217825985856,,,,,,,,,,,log_loss,0.2693217825985856,0.3488369109107915,True,0.0
classification,openml-spambase-44,mlp,qple,20260931,20261032,20261133,182581,182581,182581,182581,0.1502373905104577,0.9860838828491651,0.9402173913043478,0.1557882904309627,0.9850541594883068,0.9434782608695652,3.563104714192158,0.1608540285327748,0.984431312143922,0.9435396308360476,0.1665760479719173,0.9837080482241772,0.9446254071661238,3.435079357932154,,,,,,,,,,,log_loss,3.435079357932154,3.563104714192158,True,0.0
classification,openml-spambase-44,resnet,qple,20260931,20261032,20261133,298787,298787,298787,298787,0.1441123870090638,0.986408146695974,0.941304347826087,0.1486253869613557,0.9850219806332798,0.941304347826087,3.036493323623964,0.1499971380738136,0.9860012638605016,0.9522258414766558,0.1494756584846537,0.9852977477610908,0.9533116178067318,-0.3488725819618807,,,,,,,,,,,log_loss,-0.3488725819618807,3.036493323623964,False,0.0
classification,openml-spambase-44,ft_transformer,qple,20260931,20261032,20261133,34801,34801,34801,34801,0.1692770415734009,0.978645616744886,0.9445652173913044,0.1654812183491815,0.9781183785817542,0.9478260869565216,-2.293809087270493,0.1827775077016147,0.9769641675800034,0.9489685124864278,0.1813335450162186,0.977605971740869,0.9511400651465798,-0.7963020219269903,,,,,,,,,,,log_loss,-0.7963020219269903,-2.293809087270493,False,0.0
classification,openml-banknote-1462,mlp,qple,20260931,20261032,20261133,26049,26049,26049,26049,0.0220816098500485,0.9997857066323798,0.9927272727272728,0.0255459557522568,0.9997857066323798,0.9927272727272728,13.561230340353614,0.0238127812228235,0.9998392799742848,0.9890909090909092,0.0277523202628505,0.9997321332904746,0.9927272727272728,14.19535016429035,,,,,,,,,,,log_loss,14.19535016429035,13.561230340353614,True,0.0
classification,openml-banknote-1462,resnet,qple,20260931,20261032,20261133,142145,142145,142145,142145,0.0016957586933452,1.0,1.0,0.0024699878754042,1.0,1.0,31.34546488137197,0.0017656108437821,1.0,1.0,0.0025815321199521,1.0,1.0,31.606086550845884,,,,,,,,,,,log_loss,31.606086550845884,31.34546488137197,True,0.0
classification,openml-banknote-1462,ft_transformer,qple,20260931,20261032,20261133,7713,7713,7713,7713,0.0523199543131318,1.0,1.0,0.0521182667443516,1.0,1.0,-0.3869805758690069,0.052529089087938,1.0,1.0,0.0525223796587745,1.0,1.0,-0.0127744196037963,,,,,,,,,,,log_loss,-0.0127744196037963,-0.3869805758690069,False,0.0
classification,openml-qsar-biodeg-1494,mlp,qple,20260931,20261032,20261133,117415,117415,117415,117415,0.2852139346755745,0.9419014084507042,0.8625592417061612,0.2966940618638761,0.93817907444668,0.8672985781990521,3.8693484851640574,0.4369575040445609,0.8847585513078472,0.8104265402843602,0.42907392353611,0.8869718309859155,0.8056872037914692,-1.8373478498717208,,,,,,,,,,,log_loss,-1.8373478498717208,3.8693484851640574,False,0.0
