dataset,model,budget,selected_factors,heldout_validation_oracle_factors,development_expected_residual_fraction,test_action_residual,test_iid_schema_residual,test_seed_ensemble_residual,action_vs_iid_residual_reduction,action_vs_seed_residual_reduction,action_expected_proper_loss,iid_expected_proper_loss,seed_ensemble_proper_loss,action_relative_loss_vs_iid,action_relative_loss_vs_seed,material_cell
australian_credit_approval,onehot_linear,2,iid,iid,0.5,1.2800596596015634e-36,1.2800596596015634e-36,2.5601193192031267e-36,0.0,0.5,0.2269347942733283,0.2269347942733283,0.2269347942733283,0.0,0.0,False
australian_credit_approval,onehot_linear,4,iid,iid,0.25,6.400298298007817e-37,6.400298298007817e-37,2.5601193192031267e-36,0.0,0.75,0.2269347942733283,0.2269347942733283,0.2269347942733283,0.0,0.0,False
bank_marketing_subscription,onehot_linear,2,iid,iid,0.3333333333333333,1.345171647527767e-14,1.345171647527767e-14,2.690343295055534e-14,0.0,0.5,0.17005069372297463,0.17005069372297463,0.17005069372298803,0.0,-7.883497990421018e-14,False
bank_marketing_subscription,onehot_linear,4,iid,iid,0.16666666666666666,6.725858237638835e-15,6.725858237638835e-15,2.690343295055534e-14,0.0,0.75,0.17005069372296788,0.17005069372296788,0.17005069372298803,0.0,-1.1849729898645256e-13,False
german_credit_risk,onehot_linear,2,iid,iid,0.3333333333333333,1.9361499733591063e-15,1.9361499733591063e-15,3.872299946718213e-15,0.0,0.5,0.3295720952626577,0.3295720952626577,0.3295720952626596,0.0,-5.895190524384643e-15,False
german_credit_risk,onehot_linear,4,iid,iid,0.16666666666666666,9.680749866795532e-16,9.680749866795532e-16,3.872299946718213e-15,0.0,0.75,0.3295720952626567,0.3295720952626567,0.3295720952626596,0.0,-8.927002794068174e-15,False
lendingclub_loan_default,onehot_linear,2,iid,iid,0.3333333333333333,3.557428788791267e-16,3.557428788791267e-16,7.114857577582534e-16,0.0,0.5,0.2578794545294426,0.2578794545294426,0.257879454529443,0.0,-1.5068205387972835e-15,False
lendingclub_loan_default,onehot_linear,4,iid,iid,0.16666666666666666,1.7787143943956334e-16,1.7787143943956334e-16,7.114857577582534e-16,0.0,0.75,0.25787945452944244,0.25787945452944244,0.257879454529443,0.0,-2.152600769710405e-15,False
australian_credit_approval,ordinal_forest,2,iid,iid,0.5,0.0008349791559020116,0.0008349791559020116,0.0011703072185653186,0.0,0.2865299447391141,0.20861819573967302,0.20861819573967302,0.20887874907923548,0.0,-0.0012439693964646735,True
australian_credit_approval,ordinal_forest,4,iid,iid,0.25,0.0004174895779510058,0.0004174895779510058,0.0009465717444188508,0.0,0.5589456579360246,0.20820070616172204,0.20820070616172204,0.20860237760432793,0.0,-0.0019177147484450692,True
bank_marketing_subscription,ordinal_forest,2,iid,iid,0.5,0.0006912587839405238,0.0006912587839405238,0.0011130111198982447,0.0,0.3789291305519742,0.1616786771741694,0.1616786771741694,0.1620729723542894,0.0,-0.0024283755351221163,True
bank_marketing_subscription,ordinal_forest,4,iid,iid,0.25,0.0003456293919702619,0.0003456293919702619,0.0009751341772500504,0.0,0.6455570935427963,0.16133304778219917,0.16133304778219917,0.16192101797241298,0.0,-0.003621176461912884,True
german_credit_risk,ordinal_forest,2,iid,iid,0.5,0.002336721973988382,0.002336721973988382,0.003894201676121283,0.0,0.3999483929358758,0.333762010867111,0.333762010867111,0.3352143086278228,0.0,-0.004321045034699476,True
german_credit_risk,ordinal_forest,4,iid,iid,0.25,0.001168360986994191,0.001168360986994191,0.003509150429267646,0.0,0.6670530344753485,0.3325936498801168,0.3325936498801168,0.33479904431677887,0.0,-0.006561745764464791,True
