panel,dataset,method,mean_budget,stop_at_4,stop_at_16,stop_at_64,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss
menu_repeat,polish_bankruptcy_3year,conservative_adaptive_postfailure,18.0625,0.0,0.95703125,0.04296875,1.0,0.0,0.046729408563632356,0.046729408563632356
subsample_repeat,compustat_kor_direction,fixed_nested_b4,4.0,1.0,0.0,0.0,0.66796875,0.0002538631923092356,0.49638538299423574,0.49650723828929566
subsample_repeat,compustat_kor_direction,fixed_nested_b16,16.0,0.0,1.0,0.0,0.96875,2.389300633498688e-05,0.4960430478893144,0.49615049034970476
subsample_repeat,compustat_kor_direction,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.4960074806056862,0.4960219796478975
subsample_repeat,compustat_kor_direction,adaptive_nested,29.1953125,0.501953125,0.09765625,0.400390625,0.88671875,8.661214796432744e-05,0.4961364120088384,0.4961210476634395
subsample_repeat,compustat_kor_direction,conservative_adaptive_postfailure,31.1875,0.0,0.68359375,0.31640625,0.9765625,1.791975475124016e-05,0.4960341560684074,0.4960824065886411
subsample_repeat,credit_card_default,fixed_nested_b4,4.0,1.0,0.0,0.0,0.701171875,4.479339404783419e-05,0.26994532658900267,0.2701451977208084
subsample_repeat,credit_card_default,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.26946579645702107,0.2694658031394677
subsample_repeat,credit_card_default,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.26946579645702107,0.26946579645702107
subsample_repeat,credit_card_default,adaptive_nested,37.421875,0.40234375,0.05078125,0.546875,0.916015625,1.2588993098410915e-05,0.269600566363395,0.2697116782635758
subsample_repeat,credit_card_default,conservative_adaptive_postfailure,30.34375,0.0,0.701171875,0.298828125,1.0,0.0,0.26946579645702107,0.2694658011987635
subsample_repeat,credit_card_fraud,fixed_nested_b4,4.0,1.0,0.0,0.0,1.0,0.0,0.0023832154631287213,0.0023865511218084472
subsample_repeat,credit_card_fraud,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.0023832154631287213,0.0023834675770384164
subsample_repeat,credit_card_fraud,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.0023832154631287213,0.0023832154631287213
subsample_repeat,credit_card_fraud,adaptive_nested,4.0,1.0,0.0,0.0,1.0,0.0,0.0023832154631287213,0.0023865511218084472
subsample_repeat,credit_card_fraud,conservative_adaptive_postfailure,16.0,0.0,1.0,0.0,1.0,0.0,0.0023832154631287213,0.0023834675770384164
subsample_repeat,heloc_credit_risk,fixed_nested_b4,4.0,1.0,0.0,0.0,1.0,0.0,0.3578612955517038,0.35819651049339085
subsample_repeat,heloc_credit_risk,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.3578612955517038,0.35787029483371735
subsample_repeat,heloc_credit_risk,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.3578612955517038,0.3578612955517038
subsample_repeat,heloc_credit_risk,adaptive_nested,4.0,1.0,0.0,0.0,1.0,0.0,0.3578612955517038,0.35819651049339085
subsample_repeat,heloc_credit_risk,conservative_adaptive_postfailure,16.0,0.0,1.0,0.0,1.0,0.0,0.3578612955517038,0.35787029483371735
subsample_repeat,kdd17_stock_return,fixed_nested_b4,4.0,1.0,0.0,0.0,1.0,0.0,0.5928629701290992,0.5937677120999004
subsample_repeat,kdd17_stock_return,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.5928629701290992,0.59304259764502
subsample_repeat,kdd17_stock_return,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.5928629701290992,0.5928629701290992
subsample_repeat,kdd17_stock_return,adaptive_nested,5.03125,0.9140625,0.0859375,0.0,1.0,0.0,0.5928629701290992,0.5936841161987385
subsample_repeat,kdd17_stock_return,conservative_adaptive_postfailure,16.0,0.0,1.0,0.0,1.0,0.0,0.5928629701290992,0.59304259764502
subsample_repeat,polish_bankruptcy_3year,fixed_nested_b4,4.0,1.0,0.0,0.0,1.0,0.0,0.04718666220626248,0.04718666220626248
subsample_repeat,polish_bankruptcy_3year,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.04718666220626248,0.04718666220626248
subsample_repeat,polish_bankruptcy_3year,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.04718666220626248,0.04718666220626248
subsample_repeat,polish_bankruptcy_3year,adaptive_nested,7.609375,0.77734375,0.203125,0.01953125,1.0,0.0,0.04718666220626248,0.04718666220626248
subsample_repeat,polish_bankruptcy_3year,conservative_adaptive_postfailure,16.0,0.0,1.0,0.0,1.0,0.0,0.04718666220626248,0.04718666220626248
