panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,mean_pack_sampling_attempts
multiclass,openml-vehicle-54,multiclass,onehot_linear,mutually_disjoint_pack64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,onehot_linear,two_disjoint_pairs64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,onehot_linear,independent_four64,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,ordinal_forest,mutually_disjoint_pack64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,ordinal_forest,two_disjoint_pairs64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,ordinal_forest,independent_four64,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0,1.0
multiclass,openml-vehicle-54,multiclass,onehot_adam_mlp,mutually_disjoint_pack64,64,5.551115123125783e-17,7.852380549353044e-17,1.0487722342303142e-39,0.0,1.0
multiclass,openml-vehicle-54,multiclass,onehot_adam_mlp,two_disjoint_pairs64,64,0.00017055941850691037,0.00457732965448021,0.00016465639468037316,0.014023587633786083,1.0
multiclass,openml-vehicle-54,multiclass,onehot_adam_mlp,independent_four64,64,-9.556824903417249e-05,0.00572793625178246,0.0002506001020171766,0.01834664091759386,1.0
multiclass,openml-segment-36,multiclass,onehot_linear,mutually_disjoint_pack64,64,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,onehot_linear,two_disjoint_pairs64,64,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,onehot_linear,independent_four64,64,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,ordinal_forest,mutually_disjoint_pack64,64,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,ordinal_forest,two_disjoint_pairs64,64,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,ordinal_forest,independent_four64,64,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0,1.0
multiclass,openml-segment-36,multiclass,onehot_adam_mlp,mutually_disjoint_pack64,64,0.0,0.0,2.480162739592752e-46,0.0,1.0
multiclass,openml-segment-36,multiclass,onehot_adam_mlp,two_disjoint_pairs64,64,1.0619838367378898e-05,0.0009661245262738543,3.4140154043493166e-05,0.0030816982964541745,1.0
multiclass,openml-segment-36,multiclass,onehot_adam_mlp,independent_four64,64,3.940399411983542e-06,0.0012613493549021172,5.4016455571030125e-05,0.0045920553176883455,1.0
