source_group,material_cells,strength3_residual,iid64_residual,four_strength2_residual,sixteen_strength1_residual,sixteen_seed_blocks_residual,beats_all
segment,2,0.0,4.2468383242818733e-05,2.3211248599685835e-05,3.029296756956156e-05,2.493699599912378e-05,True
vehicle,2,0.0,0.00026986078647132754,0.00012603314938158377,0.00020319342594403374,0.00018572336604223444,True
