panel,dataset,method,loss_std,loss_q90,loss_q95,loss_cvar95
confirmation,compustat_kor_direction,four_seed_blocks,0.00044527426190174064,0.49581379294829614,0.4959692543476298,0.49618430609351627
confirmation,compustat_kor_direction,four_strength1,0.00039386249845427973,0.4956844721032805,0.49584221534010076,0.4960754503883998
confirmation,compustat_kor_direction,iid16,0.0004537009599104229,0.4958270430775373,0.496018657054171,0.4962965114468434
confirmation,compustat_kor_direction,strength2,0.0003651546500835859,0.4956206824147031,0.4957546387654533,0.4959874268067014
confirmation,credit_card_default,four_seed_blocks,5.27630204379849e-05,0.2722672913177272,0.2723752248631328,0.2723834179058692
confirmation,credit_card_default,four_strength1,8.852562200825513e-05,0.2723334910371685,0.27236853803139,0.27241999310660875
confirmation,credit_card_default,iid16,0.00012457983262146753,0.272396083004439,0.27244628577951435,0.2725033587559747
confirmation,credit_card_default,strength2,7.517591669825688e-06,0.2721877387117012,0.27218792469166675,0.2721879575116607
confirmation,credit_card_fraud,four_seed_blocks,8.010454293204849e-12,0.0025672747440516,0.002567274746959735,0.002567274748628982
confirmation,credit_card_fraud,four_strength1,5.853510828282247e-13,0.0025672747351492,0.0025672747353313,0.0025672747355268
confirmation,credit_card_fraud,iid16,3.933112382080205e-12,0.0025672747396113904,0.002567274741162585,0.0025672747423794483
confirmation,credit_card_fraud,strength2,2.47198095326695e-17,0.0025672747343917,0.0025672747343917,0.0025672747343917007
confirmation,heloc_credit_risk,four_seed_blocks,0.00023404194761663535,0.3582277376590821,0.35830886247669524,0.35850152240839983
confirmation,heloc_credit_risk,four_strength1,0.0002664681286915736,0.3583194217596621,0.3584294782049762,0.35855903793004484
confirmation,heloc_credit_risk,iid16,0.00027337822095047185,0.3583172948230893,0.35840095747134526,0.3585089968651426
confirmation,heloc_credit_risk,strength2,5.710384842348719e-05,0.3579476204057161,0.3579476408852083,0.35794764088520825
confirmation,kdd17_stock_direction,four_seed_blocks,0.0009881114458232198,0.5005179525564191,0.501036129139585,0.501075384567257
confirmation,kdd17_stock_direction,four_strength1,0.0009543992847713913,0.5006330272184326,0.5009050220912613,0.5010625642796932
confirmation,kdd17_stock_direction,iid16,0.0009521291282666337,0.5006525163832733,0.5008426119161531,0.5010465292158208
confirmation,kdd17_stock_direction,strength2,0.000912243675390844,0.5004563269296576,0.5005353246218258,0.5006666669901666
confirmation,kdd17_stock_return,four_seed_blocks,0.001425973870783241,0.5557166780754546,0.5561773298264397,0.556591579628317
confirmation,kdd17_stock_return,four_strength1,0.0016594041015339346,0.5561016081743283,0.5564110345008741,0.5567216127459016
confirmation,kdd17_stock_return,iid16,0.0017659876159715764,0.556372858773182,0.556750817619773,0.5571864473650823
confirmation,kdd17_stock_return,strength2,4.884981308350689e-15,0.5524112405488422,0.5524112405488422,0.5524112405488423
confirmation,polish_bankruptcy_1year,four_seed_blocks,0.00019200659938613251,0.0398682934112903,0.0399624492576268,0.04003297273048858
confirmation,polish_bankruptcy_1year,four_strength1,0.0001443847952042219,0.0397959908598676,0.039843582659277475,0.039886927451042976
confirmation,polish_bankruptcy_1year,iid16,0.00016072368360181856,0.03984273918598052,0.03989839075322221,0.03997102109318561
confirmation,polish_bankruptcy_1year,strength2,6.938893903907228e-16,0.0396066105511599,0.0396066105511599,0.039606610551159896
confirmation,polish_bankruptcy_2year,four_seed_blocks,6.72800289989499e-05,0.0390635614782604,0.039213464229414,0.039233319028893376
confirmation,polish_bankruptcy_2year,four_strength1,8.257283745649602e-16,0.0389871909524671,0.0389871909524671,0.038987190952467096
confirmation,polish_bankruptcy_2year,iid16,1.967077819511207e-05,0.0390161476489531,0.03903745870930228,0.03904793116175971
confirmation,polish_bankruptcy_2year,strength2,8.257283745649602e-16,0.0389871909524671,0.0389871909524671,0.038987190952467096
confirmation,polish_bankruptcy_3year,four_seed_blocks,0.0005353918943048802,0.0478971159877275,0.0479083803988189,0.04877805158538303
confirmation,polish_bankruptcy_3year,four_strength1,5.828670879282072e-16,0.0471866622062624,0.0471866622062624,0.04718666220626241
confirmation,polish_bankruptcy_3year,iid16,0.00023750154745788414,0.047408525825996,0.0474493011106407,0.04777661798971636
confirmation,polish_bankruptcy_3year,strength2,5.828670879282072e-16,0.0471866622062624,0.0471866622062624,0.04718666220626241
confirmation,polish_bankruptcy_4year,four_seed_blocks,0.0001621754815633841,0.0469699000450317,0.0470581870729586,0.04708860518394845
confirmation,polish_bankruptcy_4year,four_strength1,0.0002472013345038996,0.04710810037207866,0.047196059967646045,0.04728631817577765
confirmation,polish_bankruptcy_4year,iid16,0.0002256038719440563,0.047069498245976234,0.047163787453337616,0.047237556290428875
confirmation,polish_bankruptcy_4year,strength2,9.228728892196614e-16,0.0467344044658266,0.0467344044658266,0.046734404465826586
confirmation,polish_bankruptcy_5year,four_seed_blocks,0.0005808875404218351,0.0603065370072756,0.060424649983815,0.06067140554416465
