dataset,split_seed,internal_estimators,internal_policy,external_method,schema_risk,feature_total_variance,category_total_variance,class_total_variance,external_residual,external_calls,forward_ensemble_members,canonical_brier,quotient_brier
australian_credit_approval,2026082801,1,none,iid16,0.002373282614763126,0.001431272305354923,0.0016601855950365701,0.0002622086555970288,0.00014909707047710543,16,16,0.1627901454864921,0.16103439793383084
australian_credit_approval,2026082801,1,none,srswor16,0.002373282614763126,0.001431272305354923,0.0016601855950365701,0.0002622086555970288,7.60355208872783e-05,16,16,0.1627901454864921,0.16103439793383084
australian_credit_approval,2026082801,1,none,strength1_16,0.002373282614763126,0.001431272305354923,0.0016601855950365701,0.0002622086555970288,7.315626502473973e-05,16,16,0.1627901454864921,0.16103439793383084
australian_credit_approval,2026082801,1,none,strength2_16,0.002373282614763126,0.001431272305354923,0.0016601855950365701,0.0002622086555970288,9.197401041849327e-06,16,16,0.1627901454864921,0.16103439793383084
australian_credit_approval,2026082801,1,default,iid16,0.003127658700631049,0.0017242802039601124,0.002157413856618652,0.00029213694266556325,0.00019570396476173971,16,16,0.17316955921712537,0.16172998636293495
australian_credit_approval,2026082801,1,default,srswor16,0.003127658700631049,0.0017242802039601124,0.002157413856618652,0.00029213694266556325,0.00010050903200897591,16,16,0.17316955921712537,0.16172998636293495
australian_credit_approval,2026082801,1,default,strength1_16,0.003127658700631049,0.0017242802039601124,0.002157413856618652,0.00029213694266556325,7.496652324058447e-05,16,16,0.17316955921712537,0.16172998636293495
australian_credit_approval,2026082801,1,default,strength2_16,0.003127658700631049,0.0017242802039601124,0.002157413856618652,0.00029213694266556325,1.2802534607327608e-05,16,16,0.17316955921712537,0.16172998636293495
australian_credit_approval,2026082801,8,default,iid16,0.0008810314847947806,0.00025207907905584786,0.0007289103144511557,3.573815607854186e-05,5.645933740822248e-05,16,128,0.16560349888123052,0.16140079005513164
australian_credit_approval,2026082801,8,default,srswor16,0.0008810314847947806,0.00025207907905584786,0.0007289103144511557,3.573815607854186e-05,2.8678609544929476e-05,16,128,0.16560349888123052,0.16140079005513164
australian_credit_approval,2026082801,8,default,strength1_16,0.0008810314847947806,0.00025207907905584786,0.0007289103144511557,3.573815607854186e-05,9.909425547000612e-06,16,128,0.16560349888123052,0.16140079005513164
australian_credit_approval,2026082801,8,default,strength2_16,0.0008810314847947806,0.00025207907905584786,0.0007289103144511557,3.573815607854186e-05,1.3657751853430718e-06,16,128,0.16560349888123052,0.16140079005513164
