panel,dataset,model,population,joint_risk,strength1_b4_residual,srswor_b4_residual,strength2_b16_residual,srswor_b16_residual
strength2_confirmation,compustat_kor_direction,onehot_adam_mlp,128,0.0029057846436641,0.0006023176048216,0.0007092860153825756,0.0001171675138022,0.0001601613583121945
strength2_confirmation,credit_card_default,onehot_adam_mlp,32,0.0029516665981415,0.000592140800976,0.0006665053608706612,7.048944334094666e-05,9.521505155295161e-05
strength2_confirmation,credit_card_fraud,native_histgb,32,7.620984389249685e-05,7.957705310114155e-06,1.7208674427337997e-05,8.470257660572783e-08,2.458382061048285e-06
strength2_confirmation,credit_card_fraud,catboost_native,32,1.4227853846280084e-05,3.081668755015288e-06,3.2127411910955027e-06,8.175942473422183e-08,4.5896302729935753e-07
strength2_confirmation,credit_card_fraud,onehot_adam_mlp,32,7.425264908604805e-05,1.1873305370766781e-05,1.676672721297859e-05,1.946881175620496e-06,2.3952467447112274e-06
strength2_confirmation,heloc_credit_risk,ordinal_forest,32,0.0018582723746051,0.0003624609859053689,0.0004196098910398613,3.3881317890172014e-21,5.9944270148551614e-05
strength2_confirmation,heloc_credit_risk,onehot_adam_mlp,32,0.0040707928057711,0.000887476352004,0.0009192112787225065,9.602593828254518e-05,0.00013131589696035808
strength2_confirmation,kdd17_stock_direction,ordinal_forest,128,0.0029843315885411,0.0006843810034432,0.0007284588916911347,0.0001327638972173,0.0001644907174786433
strength2_confirmation,kdd17_stock_direction,onehot_adam_mlp,128,0.0167200264338683,0.003850481767184,0.004081266294881239,0.000780602838146,0.0009215762601344733
strength2_confirmation,kdd17_stock_return,ordinal_forest,64,0.0041760409851391,0.0009565395322616,0.0009942954726521668,0.0001553298462195,0.00019885909453043333
strength2_confirmation,kdd17_stock_return,onehot_adam_mlp,64,0.0243115067287464,0.0043368855184312,0.005788453983034857,0.000482630863086,0.0011576907966069714
strength2_confirmation,polish_bankruptcy_1year,ordinal_forest,32,0.0003572749613015,6.957184236017895e-05,8.067499126162903e-05,0.0,1.1524998751661291e-05
strength2_confirmation,polish_bankruptcy_1year,catboost_native,32,0.0002745865107231,5.8877755275746606e-05,6.200340564715161e-05,-4.235164736271503e-22,8.857629378164516e-06
strength2_confirmation,polish_bankruptcy_1year,onehot_adam_mlp,32,0.025865426125747,0.0049685467800768,0.005840580092910613,0.0001546420079074,0.0008343685847015161
strength2_confirmation,polish_bankruptcy_2year,ordinal_forest,32,0.0003576971757873,6.960930936313617e-05,8.07703300164871e-05,0.0,1.1538618573783872e-05
strength2_confirmation,polish_bankruptcy_2year,catboost_native,32,0.0005351947480618,0.00010668685893905716,0.00012085042698169677,0.0,1.726434671167097e-05
strength2_confirmation,polish_bankruptcy_2year,onehot_adam_mlp,32,0.0028494928297203,0.0004729316506588,0.0006434338647755516,1.3849325852650032e-05,9.191912353936453e-05
strength2_confirmation,polish_bankruptcy_3year,ordinal_forest,32,0.0004388365207462,8.533804270339285e-05,9.909211758785161e-05,4.235164736271503e-22,1.4156016798264517e-05
strength2_confirmation,polish_bankruptcy_3year,catboost_native,32,0.0006630676886561,0.0001306492064964029,0.00014972496195460322,0.0,2.138928027922903e-05
strength2_confirmation,polish_bankruptcy_3year,onehot_adam_mlp,32,0.0026898906489294,0.00038860079482175286,0.0006073946626614775,1.3119202818296276e-05,8.677066609449678e-05
strength2_confirmation,polish_bankruptcy_4year,ordinal_forest,32,0.0004888478977581,9.6032309030921e-05,0.00011038500917118387,8.470329472543003e-22,1.576928702445484e-05
strength2_confirmation,polish_bankruptcy_4year,catboost_native,32,0.0008152355713707,0.0001583399435010725,0.00018408545159983547,8.470329472543003e-22,2.6297921657119353e-05
strength2_confirmation,polish_bankruptcy_4year,onehot_adam_mlp,32,0.0062571844051064,0.0010909585055256,0.001412912607604671,0.0002219716286748,0.0002018446582292387
strength2_confirmation,polish_bankruptcy_5year,catboost_native,32,0.0010302706283803,0.0002045328219133463,0.00023264175479555165,0.0,3.3234536399364515e-05
strength2_confirmation,polish_bankruptcy_5year,onehot_adam_mlp,32,0.0255495199053478,0.0042021316226568,0.005769246430239826,0.000254666757769,0.0008241780614628323
strength2_openml_external,openml-breast-w-15,ordinal_forest,32,0.0003888516348618,7.500462656029365e-05,8.780520787201935e-05,0.0,1.2543601124574193e-05
strength2_openml_external,openml-breast-w-15,onehot_adam_mlp,32,0.0356012874664209,0.007045529628732,0.008039000395643429,0.0001983694796543,0.0011484286279490612
strength2_openml_external,openml-sonar-40,ordinal_forest,32,0.002238632180518,0.0003919568710725285,0.0005054975891492258,3.3881317890172014e-21,7.221394130703225e-05
