panel,dataset,method,better_model,worse_model,quotient_loss_gap,empirical_inversion_rate,raw_theoretical_bound,clipped_theoretical_bound,raw_empirical_markov_bound,clipped_empirical_markov_bound,bound_covers_observed_rate
confirmation,compustat_kor_direction,strength2,onehot_linear,ordinal_forest,0.015309548234713977,0.0,13.784971837501029,1.0,0.002417200510391442,0.002417200510391442,True
confirmation,compustat_kor_direction,strength2,native_histgb,onehot_linear,0.003380881236953681,0.0,44.72203743883064,1.0,0.016145360331534197,0.016145360331534197,True
confirmation,compustat_kor_direction,strength2,catboost_native,onehot_linear,0.005028203249665519,0.0,31.842787366194518,1.0,0.003733481693498325,0.003733481693498325,True
confirmation,compustat_kor_direction,strength2,onehot_adam_mlp,onehot_linear,0.007211947158043408,0.0,76.34279718492847,1.0,0.03105977972226073,0.03105977972226073,True
confirmation,compustat_kor_direction,strength2,native_histgb,ordinal_forest,0.018690429471667658,0.0,10.71227427667621,1.0,0.0021500917538376657,0.0021500917538376657,True
confirmation,compustat_kor_direction,strength2,catboost_native,ordinal_forest,0.020337751484379496,0.0,9.75772039767652,1.0,0.0015979287818237583,0.0015979287818237583,True
confirmation,compustat_kor_direction,strength2,onehot_adam_mlp,ordinal_forest,0.022521495392757385,0.0,14.198454864568443,1.0,0.004301970554564793,0.004301970554564793,True
confirmation,compustat_kor_direction,strength2,catboost_native,native_histgb,0.0016473220127118382,0.0,485.0496551022127,1.0,0.10279077481433459,0.10279077481433459,True
confirmation,compustat_kor_direction,strength2,onehot_adam_mlp,native_histgb,0.003831065921089727,0.0,305.3705906033683,1.0,0.12264264166847218,0.12264264166847218,True
confirmation,compustat_kor_direction,strength2,onehot_adam_mlp,catboost_native,0.0021837439083778887,0.0078125,1001.4875428255222,1.0,0.3585602898631379,0.3585602898631379,True
confirmation,compustat_kor_direction,iid16,onehot_linear,ordinal_forest,0.015309548234713977,0.0,19.527980448369714,1.0,0.0029636165474219065,0.0029636165474219065,True
confirmation,compustat_kor_direction,iid16,native_histgb,onehot_linear,0.003380881236953681,0.0,187.82136542702023,1.0,0.08660431289546498,0.08660431289546498,True
confirmation,compustat_kor_direction,iid16,catboost_native,onehot_linear,0.005028203249665519,0.0,67.20410099899718,1.0,0.010282724832449627,0.010282724832449627,True
confirmation,compustat_kor_direction,iid16,onehot_adam_mlp,onehot_linear,0.007211947158043408,0.0,117.31752526511539,1.0,0.05227039505469759,0.05227039505469759,True
confirmation,compustat_kor_direction,iid16,native_histgb,ordinal_forest,0.018690429471667658,0.0,19.24780667328183,1.0,0.004822165500285315,0.004822165500285315,True
confirmation,compustat_kor_direction,iid16,catboost_native,ordinal_forest,0.020337751484379496,0.0,15.173490881685932,1.0,0.0023078815902096545,0.0023078815902096545,True
