dataset,model,method,metric,exact_metric,bias,rmse
openml-mushroom-24,onehot_linear,disjoint_pair32,brier,0.0008523681589180836,-2.7926924028111354e-15,2.0130526798921787e-13
openml-mushroom-24,onehot_linear,disjoint_pair32,log_loss,0.006769614081079412,-7.806255641895632e-18,7.806255641895632e-18
openml-mushroom-24,onehot_linear,disjoint_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,disjoint_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,independent_pair32,brier,0.0008523681589180836,3.9179434859864777e-16,2.1139129931092936e-13
openml-mushroom-24,onehot_linear,independent_pair32,log_loss,0.006769614081079412,-7.806255641895632e-18,7.806255641895632e-18
openml-mushroom-24,onehot_linear,independent_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,independent_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,mutually_disjoint_pack64,brier,0.0008523681589180836,-1.2341915904117437e-16,1.1080577159063423e-13
openml-mushroom-24,onehot_linear,mutually_disjoint_pack64,log_loss,0.006769614081079412,-7.806255641895632e-18,7.806255641895632e-18
openml-mushroom-24,onehot_linear,mutually_disjoint_pack64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,mutually_disjoint_pack64,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,two_disjoint_pairs64,brier,0.0008523681589180836,-2.0385672172884887e-15,1.3933864368803856e-13
openml-mushroom-24,onehot_linear,two_disjoint_pairs64,log_loss,0.006769614081079412,-7.806255641895632e-18,7.806255641895632e-18
openml-mushroom-24,onehot_linear,two_disjoint_pairs64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_linear,two_disjoint_pairs64,accuracy,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,disjoint_pair32,brier,0.00042226737831246847,4.563836219620443e-07,8.386127547274802e-06
openml-mushroom-24,ordinal_forest,disjoint_pair32,log_loss,0.002819981248144891,4.168732839019456e-07,3.835236957304055e-05
openml-mushroom-24,ordinal_forest,disjoint_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,disjoint_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,independent_pair32,brier,0.00042226737831246847,3.432457705302935e-07,9.314306693690854e-06
openml-mushroom-24,ordinal_forest,independent_pair32,log_loss,0.002819981248144891,9.163315890966911e-07,4.128088982580155e-05
openml-mushroom-24,ordinal_forest,independent_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,independent_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,mutually_disjoint_pack64,brier,0.00042226737831246847,2.5743302703675257e-07,4.882658274163784e-06
openml-mushroom-24,ordinal_forest,mutually_disjoint_pack64,log_loss,0.002819981248144891,1.13583174009645e-06,2.175626138296405e-05
openml-mushroom-24,ordinal_forest,mutually_disjoint_pack64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,mutually_disjoint_pack64,accuracy,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,two_disjoint_pairs64,brier,0.00042226737831246847,1.1316558890373845e-07,6.121858987132567e-06
openml-mushroom-24,ordinal_forest,two_disjoint_pairs64,log_loss,0.002819981248144891,5.004983199504608e-07,2.6904442997695993e-05
openml-mushroom-24,ordinal_forest,two_disjoint_pairs64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,ordinal_forest,two_disjoint_pairs64,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,disjoint_pair32,brier,0.0007278813642688141,6.074123410380434e-06,7.444645658533262e-05
openml-mushroom-24,onehot_adam_mlp,disjoint_pair32,log_loss,0.004939338222460625,1.0008986671452396e-05,0.00033714688569202165
openml-mushroom-24,onehot_adam_mlp,disjoint_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,disjoint_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,independent_pair32,brier,0.0007278813642688141,5.048283861020625e-06,8.327219377171283e-05
openml-mushroom-24,onehot_adam_mlp,independent_pair32,log_loss,0.004939338222460625,2.362722213892851e-06,0.00037668799469272105
openml-mushroom-24,onehot_adam_mlp,independent_pair32,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,independent_pair32,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,mutually_disjoint_pack64,brier,0.0007278813642688141,3.6149288377309918e-06,4.2259640729516715e-05
openml-mushroom-24,onehot_adam_mlp,mutually_disjoint_pack64,log_loss,0.004939338222460625,1.0395161618669451e-05,0.00019255732336817316
openml-mushroom-24,onehot_adam_mlp,mutually_disjoint_pack64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,mutually_disjoint_pack64,accuracy,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,two_disjoint_pairs64,brier,0.0007278813642688141,4.136133568807333e-06,5.2342390537883196e-05
openml-mushroom-24,onehot_adam_mlp,two_disjoint_pairs64,log_loss,0.004939338222460625,8.814570291935648e-06,0.000237806683569071
openml-mushroom-24,onehot_adam_mlp,two_disjoint_pairs64,roc_auc,1.0,0.0,0.0
openml-mushroom-24,onehot_adam_mlp,two_disjoint_pairs64,accuracy,1.0,0.0,0.0
openml-colic-25,onehot_linear,disjoint_pair32,brier,0.2082990606659973,1.6656996420193193e-13,1.0920138581058246e-11
