dataset,split,estimators,internal_shift_policy,schema_risk,mean_member_brier,quotient_brier,reference_brier,hard_flip_fraction,identity_error,anova_total,anova_feature,anova_category,anova_class,anova_feature:category,anova_feature:class,anova_category:class,anova_feature:category:class
australian_credit_approval,validation,1,none,0.003401640510375476,0.21721454466853296,0.21381290415815746,0.2155071318261498,0.14423076923076922,2.7321894746634712e-17,0.003401640510375476,0.0013505925477083629,0.00103759031288634,9.974884306174408e-05,0.0005834391891188747,0.00010956029848090404,5.9246148506075894e-05,0.00016146317061317372
australian_credit_approval,test,1,none,0.0027927615832945146,0.21172387911802687,0.20893111753473237,0.18044033954824362,0.0673076923076923,1.3877787807814457e-17,0.0027927615832945146,0.0012470601254908399,0.0008480642460953212,5.2646365766995194e-05,0.00042350150575622456,8.547501975116216e-05,6.049236458059798e-05,7.552195585337402e-05
australian_credit_approval,validation,1,default,0.003853316691107955,0.22114920818001832,0.2172958914889104,0.21800138519279993,0.16346153846153846,3.859759734048396e-17,0.003853316691107955,0.0013289329884795713,0.0010425371611036856,0.0001272068297977292,0.0008925055905957565,0.00018236897398857886,9.435242608308488e-05,0.00018541272105954858
australian_credit_approval,test,1,default,0.003165311795902239,0.21158070473946086,0.20841539294355862,0.21086880706366434,0.07692307692307693,2.168404344971009e-18,0.003165311795902239,0.0011731614503177825,0.0009664819846495273,5.835533744213553e-05,0.0006599627001008178,0.00013108348688164074,4.176808024677783e-05,0.00013449875626355743
australian_credit_approval,validation,8,none,0.0023527526164649776,0.21344915815109722,0.21109640553463224,0.21328680476330777,0.125,1.734723475976807e-18,0.0023527526164649776,0.001084139898595699,0.0007012970946345865,0.00011707652471149035,0.00022209186039558716,0.0001083913926411656,3.0008429207230522e-05,8.974741627921823e-05
australian_credit_approval,test,8,none,0.001808650248766089,0.2098951888991683,0.20808653865040222,0.18605034992116135,0.04807692307692308,3.0357660829594124e-18,0.001808650248766089,0.000822505385330144,0.0006093316932417428,4.618916782893136e-05,0.00016842314933646668,8.01234023537847e-05,3.140528701976225e-05,5.067216365525737e-05
australian_credit_approval,validation,8,default,0.001376545212099524,0.21734677996318397,0.21597023475108446,0.2142898855123887,0.09615384615384616,1.2576745200831851e-17,0.001376545212099524,0.0003093971143834289,0.0008840832093271537,9.627939924069782e-06,0.00012233961742205582,1.782134208472174e-05,1.0066867070947176e-05,2.3209121887146813e-05
australian_credit_approval,test,8,default,0.0011218305960079141,0.20391481726680333,0.20279298667079543,0.19554649716659706,0.028846153846153848,1.4094628242311558e-17,0.0011218305960079141,0.0002979808815403369,0.0006788466584371502,8.55328788137148e-06,0.00010318477801955695,1.2321403083227477e-05,5.319998154962128e-06,1.5623588891309133e-05
bank_marketing_subscription,validation,1,none,0.0009659112006516634,0.17499680904816814,0.1740308978475165,0.17317505750410922,0.014,1.5504091066542713e-17,0.0009659112006516634,0.00018046274771817415,0.00047091807497550765,1.8273569972518126e-05,0.0002093014612504659,2.433750485499895e-05,1.6866149902385322e-05,4.57516919776134e-05
bank_marketing_subscription,test,1,none,0.0012727986191304512,0.18480780861682794,0.1835350099976975,0.1844691667174044,0.018,1.8214596497756474e-17,0.0012727986191304512,0.0002713879574985166,0.0006010650624512471,1.989795118687617e-05,0.0002741437564332087,2.8903416742637884e-05,2.0460943586955537e-05,5.693953123100899e-05
