panel,dataset,left_model,right_model,coupling,gap_multiplier,absolute_gap,method,inversion_probability
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.25,3.2259834502806745e-05,disjoint_pack_cross128,0.357421875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.25,3.2259834502806745e-05,independent_cover_u128,0.3974609375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.5,6.451966900561349e-05,disjoint_pack_cross128,0.2412109375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.5,6.451966900561349e-05,independent_cover_u128,0.306640625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,1.0,0.00012903933801122698,disjoint_pack_cross128,0.076171875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,1.0,0.00012903933801122698,independent_cover_u128,0.1474609375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,2.0,0.00025807867602245396,disjoint_pack_cross128,0.001953125
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,2.0,0.00025807867602245396,independent_cover_u128,0.025390625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.25,3.2259834502806745e-05,disjoint_pack_cross128,0.357421875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.25,3.2259834502806745e-05,independent_cover_u128,0.3974609375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.5,6.451966900561349e-05,disjoint_pack_cross128,0.2412109375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.5,6.451966900561349e-05,independent_cover_u128,0.306640625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,1.0,0.00012903933801122698,disjoint_pack_cross128,0.076171875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,1.0,0.00012903933801122698,independent_cover_u128,0.1474609375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,2.0,0.00025807867602245396,disjoint_pack_cross128,0.001953125
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,2.0,0.00025807867602245396,independent_cover_u128,0.025390625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.25,1.952023331590249e-05,disjoint_pack_cross128,0.3515625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.25,1.952023331590249e-05,independent_cover_u128,0.3857421875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.5,3.904046663180498e-05,disjoint_pack_cross128,0.228515625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.5,3.904046663180498e-05,independent_cover_u128,0.2998046875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,1.0,7.808093326360996e-05,disjoint_pack_cross128,0.08203125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,1.0,7.808093326360996e-05,independent_cover_u128,0.14453125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,2.0,0.00015616186652721992,disjoint_pack_cross128,0.001953125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,2.0,0.00015616186652721992,independent_cover_u128,0.0234375
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.25,1.952023331590249e-05,disjoint_pack_cross128,0.3515625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.25,1.952023331590249e-05,independent_cover_u128,0.3857421875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.5,3.904046663180498e-05,disjoint_pack_cross128,0.228515625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.5,3.904046663180498e-05,independent_cover_u128,0.2998046875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,1.0,7.808093326360996e-05,disjoint_pack_cross128,0.08203125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,1.0,7.808093326360996e-05,independent_cover_u128,0.14453125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,2.0,0.00015616186652721992,disjoint_pack_cross128,0.001953125
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,2.0,0.00015616186652721992,independent_cover_u128,0.0234375
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.25,1.3842400596920742e-05,disjoint_pack_cross128,0.3427734375
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.25,1.3842400596920742e-05,independent_cover_u128,0.39453125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.5,2.7684801193841483e-05,disjoint_pack_cross128,0.220703125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.5,2.7684801193841483e-05,independent_cover_u128,0.302734375
