panel,dataset,left_model,right_model,coupling,gap_multiplier,disjoint_pack_cross128,independent_cover_u128,pack_lower,difference
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.25,0.365234375,0.4072265625,True,-0.0419921875
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.5,0.2587890625,0.3134765625,True,-0.0546875
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,1.0,0.1123046875,0.162109375,True,-0.0498046875
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,2.0,0.0068359375,0.021484375,True,-0.0146484375
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,0.25,0.365234375,0.4013671875,True,-0.0361328125
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,0.5,0.267578125,0.298828125,True,-0.03125
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,1.0,0.1171875,0.1591796875,True,-0.0419921875
confirmation,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,2.0,0.0048828125,0.01953125,True,-0.0146484375
confirmation,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,0.25,0.3408203125,0.3876953125,True,-0.046875
confirmation,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,0.5,0.232421875,0.296875,True,-0.064453125
confirmation,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,1.0,0.08203125,0.1533203125,True,-0.0712890625
confirmation,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,2.0,0.0029296875,0.0263671875,True,-0.0234375
confirmation,compustat_kor_direction,native_histgb,catboost_native,common,0.25,0.3603515625,0.400390625,True,-0.0400390625
confirmation,compustat_kor_direction,native_histgb,catboost_native,common,0.5,0.236328125,0.3056640625,True,-0.0693359375
confirmation,compustat_kor_direction,native_histgb,catboost_native,common,1.0,0.0888671875,0.1455078125,True,-0.056640625
confirmation,compustat_kor_direction,native_histgb,catboost_native,common,2.0,0.0009765625,0.025390625,True,-0.0244140625
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.25,0.359375,0.3896484375,True,-0.0302734375
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.5,0.2646484375,0.2958984375,True,-0.03125
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,1.0,0.103515625,0.16015625,True,-0.056640625
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,2.0,0.0048828125,0.025390625,True,-0.0205078125
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,0.25,0.3798828125,0.3994140625,True,-0.01953125
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,0.5,0.265625,0.310546875,True,-0.044921875
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,1.0,0.1083984375,0.15625,True,-0.0478515625
confirmation,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,2.0,0.0068359375,0.021484375,True,-0.0146484375
confirmation,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,0.25,0.3427734375,0.39453125,True,-0.0517578125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,0.5,0.220703125,0.302734375,True,-0.08203125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,1.0,0.0732421875,0.150390625,True,-0.0771484375
confirmation,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,2.0,0.0029296875,0.0283203125,True,-0.025390625
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.25,0.3427734375,0.39453125,True,-0.0517578125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,0.5,0.220703125,0.302734375,True,-0.08203125
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,1.0,0.0732421875,0.150390625,True,-0.0771484375
confirmation,compustat_kor_direction,onehot_linear,catboost_native,common,2.0,0.0029296875,0.0283203125,True,-0.025390625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.25,0.3515625,0.3857421875,True,-0.0341796875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.5,0.228515625,0.2998046875,True,-0.0712890625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,1.0,0.08203125,0.14453125,True,-0.0625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,2.0,0.001953125,0.0234375,True,-0.021484375
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.25,0.3515625,0.3857421875,True,-0.0341796875
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,0.5,0.228515625,0.2998046875,True,-0.0712890625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,1.0,0.08203125,0.14453125,True,-0.0625
confirmation,compustat_kor_direction,onehot_linear,native_histgb,common,2.0,0.001953125,0.0234375,True,-0.021484375
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.25,0.376953125,0.392578125,True,-0.015625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.5,0.2578125,0.3134765625,True,-0.0556640625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,1.0,0.1142578125,0.1552734375,True,-0.041015625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,2.0,0.00390625,0.01953125,True,-0.015625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,0.25,0.376953125,0.392578125,True,-0.015625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,0.5,0.2578125,0.3134765625,True,-0.0556640625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,1.0,0.1142578125,0.1552734375,True,-0.041015625
confirmation,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,2.0,0.00390625,0.01953125,True,-0.015625
