panel,dataset,model,budget,strength,joint_risk,nested_residual,iid_residual,separate_cover_residual,maximum_annihilated_coefficient
strength2_confirmation,compustat_kor_direction,onehot_adam_mlp,4,1,0.0029057846436641574,0.0006023176048217566,0.0007264461609160393,0.0006023176048217566,7.632783294297951e-17
strength2_confirmation,compustat_kor_direction,onehot_adam_mlp,16,2,0.0029057846436641574,0.00011716751380228378,0.00018161154022900984,0.00011716751380228378,1.6028122116577375e-17
strength2_confirmation,compustat_kor_direction,onehot_adam_mlp,64,3,0.0029057846436641574,1.4512072462254105e-05,4.540288505725246e-05,1.4512072462254105e-05,2.4340338772299575e-17
strength2_confirmation,credit_card_default,onehot_adam_mlp,4,1,0.00295166659814155,0.0005921408009761993,0.0007379166495353875,0.0005921408009761993,4.915049848600953e-17
strength2_confirmation,credit_card_default,onehot_adam_mlp,16,2,0.00295166659814155,7.048944334094666e-05,0.00018447916238384688,7.048944334094666e-05,3.491130995403324e-17
strength2_confirmation,credit_card_default,onehot_adam_mlp,64,3,0.00295166659814155,4.631152639112887e-19,4.611979059596172e-05,4.631152639112887e-19,0.0
strength2_confirmation,credit_card_fraud,native_histgb,4,1,7.620984389249685e-05,7.957705310114155e-06,1.905246097312421e-05,7.957705310114155e-06,4.915049848600953e-17
strength2_confirmation,credit_card_fraud,native_histgb,16,2,7.620984389249685e-05,8.470257660572782e-08,4.763115243281053e-06,8.470257660572782e-08,3.491130995403324e-17
strength2_confirmation,credit_card_fraud,native_histgb,64,3,7.620984389249685e-05,1.2991367828512831e-19,1.1907788108202632e-06,1.2991367828512831e-19,0.0
strength2_confirmation,credit_card_fraud,catboost_native,4,1,1.4227853846280084e-05,3.081668755015288e-06,3.556963461570021e-06,3.081668755015288e-06,4.915049848600953e-17
strength2_confirmation,credit_card_fraud,catboost_native,16,2,1.4227853846280084e-05,8.175942473422183e-08,8.892408653925052e-07,8.175942473422183e-08,3.491130995403324e-17
strength2_confirmation,credit_card_fraud,catboost_native,64,3,1.4227853846280084e-05,4.460157862885925e-21,2.223102163481263e-07,4.460157862885925e-21,0.0
strength2_confirmation,credit_card_fraud,onehot_adam_mlp,4,1,7.425264908604805e-05,1.1873305370766781e-05,1.856316227151201e-05,1.1873305370766781e-05,4.915049848600953e-17
strength2_confirmation,credit_card_fraud,onehot_adam_mlp,16,2,7.425264908604805e-05,1.946881175620496e-06,4.640790567878003e-06,1.946881175620496e-06,3.491130995403324e-17
strength2_confirmation,credit_card_fraud,onehot_adam_mlp,64,3,7.425264908604805e-05,7.549015706281441e-20,1.1601976419695007e-06,7.549015706281441e-20,0.0
strength2_confirmation,heloc_credit_risk,ordinal_forest,4,1,0.0018582723746051618,0.0003624609859053689,0.00046456809365129045,0.0003624609859053689,4.915049848600953e-17
strength2_confirmation,heloc_credit_risk,ordinal_forest,16,2,0.0018582723746051618,3.3881317890172014e-21,0.00011614202341282261,3.3881317890172014e-21,3.491130995403324e-17
strength2_confirmation,heloc_credit_risk,ordinal_forest,64,3,0.0018582723746051618,2.6639186191147746e-19,2.9035505853205653e-05,2.6639186191147746e-19,0.0
