dataset,model,split,method,prediction_risk,brier
bank_marketing_subscription,ordinal_forest,validation,strength3_oa128,9.91755076240232e-07,0.16632691323651413
bank_marketing_subscription,ordinal_forest,validation,four_strength2_oa32,1.1893166965938444e-06,0.16628324435624958
bank_marketing_subscription,ordinal_forest,validation,four_marginal32,1.2815640239848556e-06,0.16631832614865674
bank_marketing_subscription,ordinal_forest,validation,iid128,3.2292048791690516e-06,0.1664014820804952
bank_marketing_subscription,ordinal_forest,test,strength3_oa128,1.1153564758526908e-06,0.17261302731713773
bank_marketing_subscription,ordinal_forest,test,four_strength2_oa32,1.2554958598626217e-06,0.17254150658383682
bank_marketing_subscription,ordinal_forest,test,four_marginal32,1.2223978047449134e-06,0.17254541626964656
bank_marketing_subscription,ordinal_forest,test,iid128,3.061342225339877e-06,0.17255697326986102
bank_marketing_subscription,catboost_native,validation,strength3_oa128,0.0,0.16547547787038405
bank_marketing_subscription,catboost_native,validation,four_strength2_oa32,7.793276357132576e-07,0.16544517861981975
bank_marketing_subscription,catboost_native,validation,four_marginal32,4.976946356049942e-07,0.16546487449630515
bank_marketing_subscription,catboost_native,validation,iid128,5.188425313287654e-07,0.16534571236367884
bank_marketing_subscription,catboost_native,test,strength3_oa128,0.0,0.17468537430412803
bank_marketing_subscription,catboost_native,test,four_strength2_oa32,7.57681483425564e-07,0.17472472921322288
bank_marketing_subscription,catboost_native,test,four_marginal32,5.208126157157788e-07,0.1746708354147182
bank_marketing_subscription,catboost_native,test,iid128,6.10757150309821e-07,0.17467706263656066
bank_marketing_subscription,onehot_adam_mlp,validation,strength3_oa128,3.6952936879773554e-06,0.16392069914290738
bank_marketing_subscription,onehot_adam_mlp,validation,four_strength2_oa32,3.9532169106893775e-06,0.16422598994998344
bank_marketing_subscription,onehot_adam_mlp,validation,four_marginal32,4.225289355248008e-06,0.16405857789850084
bank_marketing_subscription,onehot_adam_mlp,validation,iid128,3.92423068262751e-06,0.16401534751457203
bank_marketing_subscription,onehot_adam_mlp,test,strength3_oa128,4.394262217009279e-06,0.17538031941058263
bank_marketing_subscription,onehot_adam_mlp,test,four_strength2_oa32,4.280742355551214e-06,0.17538535096954666
bank_marketing_subscription,onehot_adam_mlp,test,four_marginal32,4.218875963998657e-06,0.17537524350531142
bank_marketing_subscription,onehot_adam_mlp,test,iid128,4.625908080025215e-06,0.17533645977204368
german_credit_risk,ordinal_forest,validation,strength3_oa128,2.7141246310330627e-06,0.3210892216751513
german_credit_risk,ordinal_forest,validation,four_strength2_oa32,2.930888859364164e-06,0.32153195042247135
german_credit_risk,ordinal_forest,validation,four_marginal32,3.0159864085059224e-06,0.3214649875960409
german_credit_risk,ordinal_forest,validation,iid128,5.159225441518201e-06,0.3217010419631467
german_credit_risk,ordinal_forest,test,strength3_oa128,3.406431590367275e-06,0.32780370205319687
german_credit_risk,ordinal_forest,test,four_strength2_oa32,3.2768203963547357e-06,0.3279276560027714
german_credit_risk,ordinal_forest,test,four_marginal32,3.195015402924649e-06,0.32767934234905793
german_credit_risk,ordinal_forest,test,iid128,4.337950871903428e-06,0.327522611066181
german_credit_risk,catboost_native,validation,strength3_oa128,0.0,0.31729995955523815
german_credit_risk,catboost_native,validation,four_strength2_oa32,2.5121136465007564e-05,0.3178148320299664
german_credit_risk,catboost_native,validation,four_marginal32,9.371942866179384e-06,0.3173697558909051
german_credit_risk,catboost_native,validation,iid128,1.4619138654695596e-05,0.3173853791451106
german_credit_risk,catboost_native,test,strength3_oa128,0.0,0.3134503225513236
german_credit_risk,catboost_native,test,four_strength2_oa32,2.3892857974647712e-05,0.31338260234478427
german_credit_risk,catboost_native,test,four_marginal32,1.0753958113398766e-05,0.3134804921683646
german_credit_risk,catboost_native,test,iid128,1.5712573681432502e-05,0.3140886049932784
german_credit_risk,onehot_adam_mlp,validation,strength3_oa128,2.796324188189941e-05,0.32080010554090277
german_credit_risk,onehot_adam_mlp,validation,four_strength2_oa32,2.491229323089535e-05,0.32017466370507197
german_credit_risk,onehot_adam_mlp,validation,four_marginal32,1.3735884857962616e-05,0.3191030605052806
german_credit_risk,onehot_adam_mlp,validation,iid128,2.8834991769094484e-05,0.3200292138371557
german_credit_risk,onehot_adam_mlp,test,strength3_oa128,3.136423947729834e-05,0.31434932965277557
german_credit_risk,onehot_adam_mlp,test,four_strength2_oa32,3.2218916791943837e-05,0.3144324736715678
german_credit_risk,onehot_adam_mlp,test,four_marginal32,1.1576359361586948e-05,0.3136845978647953
german_credit_risk,onehot_adam_mlp,test,iid128,2.8586195415742907e-05,0.3143196036427801
compustat_kor_direction,ordinal_forest,validation,strength3_oa128,2.4063429016678527e-06,0.5243569447793377
compustat_kor_direction,ordinal_forest,validation,four_strength2_oa32,7.998234909557662e-06,0.5244229506266563
compustat_kor_direction,ordinal_forest,validation,four_marginal32,4.669455774767586e-06,0.524386974356864
compustat_kor_direction,ordinal_forest,validation,iid128,4.47275371198356e-06,0.5243435993356789
compustat_kor_direction,ordinal_forest,test,strength3_oa128,2.6195166574368897e-06,0.5145618850786743
compustat_kor_direction,ordinal_forest,test,four_strength2_oa32,8.605675925627757e-06,0.5147135696180956
compustat_kor_direction,ordinal_forest,test,four_marginal32,4.4266027928939375e-06,0.5145101247830941
compustat_kor_direction,ordinal_forest,test,iid128,4.862166182826163e-06,0.5145008454225062
compustat_kor_direction,catboost_native,validation,strength3_oa128,0.0,0.4971634630939793
compustat_kor_direction,catboost_native,validation,four_strength2_oa32,4.359543008938631e-06,0.4972152928620371
compustat_kor_direction,catboost_native,validation,four_marginal32,2.938578700834101e-06,0.49713985726074467
compustat_kor_direction,catboost_native,validation,iid128,3.078730776259864e-06,0.4973096262875647
compustat_kor_direction,catboost_native,test,strength3_oa128,0.0,0.49693800990181886
compustat_kor_direction,catboost_native,test,four_strength2_oa32,4.585477274716995e-06,0.49701885692415854
compustat_kor_direction,catboost_native,test,four_marginal32,3.5711475706180126e-06,0.4969913043331795
compustat_kor_direction,catboost_native,test,iid128,3.3371904168450297e-06,0.4969698414371485
compustat_kor_direction,onehot_adam_mlp,validation,strength3_oa128,1.0502818383300768e-06,0.4994369493110635
compustat_kor_direction,onehot_adam_mlp,validation,four_strength2_oa32,8.549038605247583e-06,0.49945583872878824
compustat_kor_direction,onehot_adam_mlp,validation,four_marginal32,9.514927022389911e-06,0.49898962382583917
compustat_kor_direction,onehot_adam_mlp,validation,iid128,7.2763758125834094e-06,0.49962823430884373
compustat_kor_direction,onehot_adam_mlp,test,strength3_oa128,1.0816614798399756e-06,0.5007685871143467
compustat_kor_direction,onehot_adam_mlp,test,four_strength2_oa32,7.886416137978506e-06,0.5009263078783653
compustat_kor_direction,onehot_adam_mlp,test,four_marginal32,9.237651597948575e-06,0.500802254699227
compustat_kor_direction,onehot_adam_mlp,test,iid128,7.384747974800006e-06,0.5010754473974339
