panel,dataset,task,method,set_size,validation_winner_covered,test_winner_covered,wrong_singleton,correct_singleton,best_validation_regret,worst_validation_regret,best_test_regret,worst_test_regret,mean_member_test_loss
confirmation,compustat_kor_direction,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49504183403045376
confirmation,compustat_kor_direction,binclass,iid_u_union64,1.001953125,1.0,1.0,0.0,0.998046875,0.0,4.265124821050564e-06,0.0,2.5451613186438377e-06,0.49504310661111306
confirmation,credit_card_default,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2721779840816302
confirmation,credit_card_default,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2721779840816302
confirmation,credit_card_fraud,binclass,cover_cross_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0011286754567823238,0.0011286754567823238,0.002567274734391755
confirmation,credit_card_fraud,binclass,iid_u_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0011286754567823238,0.0011286754567823238,0.002567274734391755
confirmation,heloc_credit_risk,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35786129555170393
confirmation,heloc_credit_risk,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.35786129555170393
confirmation,kdd17_stock_direction,binclass,cover_cross_union64,1.412109375,0.95703125,0.455078125,0.04296875,0.544921875,7.70998183989807e-06,8.165571675892048e-05,0.0009325931266347734,0.0016378875700754085,0.49966212425359235
confirmation,kdd17_stock_direction,binclass,iid_u_union64,1.4140625,0.912109375,0.4765625,0.080078125,0.505859375,1.5770417399791508e-05,9.515020675240167e-05,0.0008958242220004275,0.0015969790436842176,0.4996232855380796
confirmation,kdd17_stock_return,regression,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5524112405488422
confirmation,kdd17_stock_return,regression,iid_u_union64,1.4609375,0.830078125,0.830078125,0.169921875,0.369140625,8.996325984048721e-06,3.628469126244185e-05,0.0005489570077587453,0.0020341827204965208,0.5537028104129699
confirmation,polish_bankruptcy_1year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03960661055115997
confirmation,polish_bankruptcy_1year,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03960661055115997
confirmation,polish_bankruptcy_2year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03898719095246714
confirmation,polish_bankruptcy_2year,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03898719095246714
confirmation,polish_bankruptcy_3year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.047186662206262484
confirmation,polish_bankruptcy_3year,binclass,iid_u_union64,1.001953125,1.0,1.0,0.0,0.998046875,0.0,1.1766105588943536e-06,0.0,3.829753819284846e-06,0.047188577083172124
confirmation,polish_bankruptcy_4year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04673440446582666
confirmation,polish_bankruptcy_4year,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04673440446582666
confirmation,polish_bankruptcy_5year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.059455180921651585
confirmation,polish_bankruptcy_5year,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.059455180921651585
menu_repeat,compustat_kor_direction,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4953557386892694
menu_repeat,compustat_kor_direction,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4953557386892694
menu_repeat,credit_card_default,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.272331995863838
menu_repeat,credit_card_default,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.272331995863838
menu_repeat,credit_card_fraud,binclass,cover_cross_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0011349398667396945,0.0011349398667396945,0.00256727473568877
menu_repeat,credit_card_fraud,binclass,iid_u_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0011349398667396945,0.0011349398667396945,0.00256727473568877
menu_repeat,heloc_credit_risk,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3584046448714157
menu_repeat,heloc_credit_risk,binclass,iid_u_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3584046448714157
menu_repeat,kdd17_stock_return,regression,cover_cross_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.005451816942286247,0.005451816942286247,0.5606952462756983
menu_repeat,kdd17_stock_return,regression,iid_u_union64,1.015625,1.0,0.0,0.0,0.984375,0.0,1.2775461555997007e-05,0.0053793375240223425,0.005451816942286247,0.5606590065665664
menu_repeat,polish_bankruptcy_3year,binclass,cover_cross_union64,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04672940856363235
menu_repeat,polish_bankruptcy_3year,binclass,iid_u_union64,1.048828125,1.0,1.0,0.0,0.951171875,0.0,1.6951944423088556e-05,0.0,0.00015167468948819513,0.046805245908376446
openml_external,openml-blood-transfusion-1464,binclass,cover_cross_union64,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.01924569688551009,0.01924569688551009,0.3191275535340467
