panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,family,mean_pack_sampling_attempts
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,7.075548181567637e-05,0.0020232106911680053,9.825093235577576e-05,0.007469815109274677,pair32,
late_source_c,openml-churn-40701,binclass,onehot_linear,disjoint_pair_mean32,128.0,2.7740254537889086e-11,1.6042611301075549e-09,9.055896764010253e-16,4.095485311994551e-09,pair32,
late_source_c,openml-churn-40701,binclass,onehot_linear,independent_pair_mean32,128.0,4.8912429662095747e-11,1.7682187378690393e-09,1.0537581652677624e-15,4.095485311994551e-09,pair32,
late_source_c,openml-churn-40701,binclass,ordinal_forest,disjoint_pair_mean32,128.0,9.630754027434296e-06,0.00011640344196265457,1.4433988627607058e-05,0.00040997585194112174,pair32,
late_source_c,openml-churn-40701,binclass,ordinal_forest,independent_pair_mean32,128.0,9.200810906162538e-06,0.0001301102612556533,1.6790997030950988e-05,0.0004603088307132547,pair32,
late_source_c,openml-churn-40701,binclass,native_histgb,disjoint_pair_mean32,128.0,0.0,0.0,0.0,0.0,pair32,
late_source_c,openml-churn-40701,binclass,native_histgb,independent_pair_mean32,128.0,0.0,0.0,0.0,0.0,pair32,
late_source_c,openml-churn-40701,binclass,catboost_native,disjoint_pair_mean32,128.0,1.3704469297423638e-05,0.0001545171038842704,1.1042869033352597e-05,0.0005384035781726276,pair32,
late_source_c,openml-churn-40701,binclass,catboost_native,independent_pair_mean32,128.0,1.5268138254628805e-05,0.00016449854484498443,1.3240942594645503e-05,0.0005384035781726276,pair32,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,disjoint_pair_mean32,128.0,0.0001603936882572793,0.0007965022087688933,0.00014432403420235962,0.0032146884578724833,pair32,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,0.00017277054528545832,0.000852465551248962,0.0001670036167617883,0.0029117791621190436,pair32,
late_source_c,openml-adult-1590,binclass,onehot_linear,mutually_disjoint_pack64,128.0,-1.0866502142548029e-11,3.3866753003933723e-10,1.2564767995414316e-15,1.3700545697936661e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_linear,two_disjoint_pairs64,128.0,-1.3340939464256962e-11,4.274830893944674e-10,1.8853910453026247e-15,1.4632739464559563e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_linear,independent_four64,128.0,2.133390686331893e-11,4.703630245122433e-10,2.3341555059901692e-15,1.51398427128413e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,mutually_disjoint_pack64,128.0,3.1562428491060945e-06,2.422810960826373e-05,3.517640251830196e-06,8.104216003340659e-05,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,two_disjoint_pairs64,128.0,4.442696925566203e-06,3.0128039357449723e-05,5.719127487614501e-06,9.843707249948541e-05,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,independent_four64,128.0,4.940172791428887e-06,3.420646400920827e-05,6.759694042980616e-06,0.0001297207867278216,pack64,1.0
late_source_c,openml-adult-1590,binclass,native_histgb,mutually_disjoint_pack64,128.0,-3.1843429559863523e-09,9.17147745832072e-08,2.758489391487878e-11,3.277908744436786e-07,pack64,1.0
late_source_c,openml-adult-1590,binclass,native_histgb,two_disjoint_pairs64,128.0,2.055239589626723e-09,1.1092009877736588e-07,4.136310439215873e-11,4.203567434413191e-07,pack64,1.0
late_source_c,openml-adult-1590,binclass,native_histgb,independent_four64,128.0,-3.6867668362638994e-09,1.2076318454695714e-07,4.853552804808865e-11,3.288981152149706e-07,pack64,1.0
late_source_c,openml-adult-1590,binclass,catboost_native,mutually_disjoint_pack64,128.0,4.55435407720195e-08,2.7804148372608667e-05,7.920537630160294e-07,0.00010312594942785136,pack64,1.0
late_source_c,openml-adult-1590,binclass,catboost_native,two_disjoint_pairs64,128.0,1.0545040729781352e-06,3.595176994546196e-05,1.2527496348597011e-06,0.00011678392319333653,pack64,1.0
late_source_c,openml-adult-1590,binclass,catboost_native,independent_four64,128.0,8.395512963166318e-07,3.782534101059e-05,1.4396937674825192e-06,0.00011176212537072905,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128.0,2.1820671531974645e-05,7.075782339876653e-05,2.0619374175216355e-05,0.0002299438072944915,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,two_disjoint_pairs64,128.0,3.24150639250953e-05,8.476968747490933e-05,3.065983731912301e-05,0.00028630306034460595,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,independent_four64,128.0,3.595425951230524e-05,9.551542781727702e-05,3.606706376170789e-05,0.0003426289466108845,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,mutually_disjoint_pack64,128.0,-3.09413605847908e-12,1.90170357389947e-10,1.67225518496721e-16,6.620475279106586e-10,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,two_disjoint_pairs64,128.0,-4.455880109333066e-12,2.376218852248954e-10,2.5432864185467025e-16,7.990139661018247e-10,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,independent_four64,128.0,1.074140776324839e-14,2.6063074873045864e-10,3.028733371098234e-16,8.711701915409265e-10,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,mutually_disjoint_pack64,128.0,2.47618108190073e-06,2.3796971632462036e-05,3.6007256057613244e-06,9.678119156888987e-05,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,two_disjoint_pairs64,128.0,5.3702574978609086e-06,3.076114512143339e-05,5.88184867775148e-06,0.00012112528658789201,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,independent_four64,128.0,5.501714264499746e-06,3.350175586290343e-05,6.869436534863592e-06,0.0001114965040992788,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,mutually_disjoint_pack64,128.0,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,two_disjoint_pairs64,128.0,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,independent_four64,128.0,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,mutually_disjoint_pack64,128.0,7.094531981888252e-07,3.820388692715136e-05,1.1397209932378095e-06,0.00014866161654264465,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,two_disjoint_pairs64,128.0,2.025138384958991e-06,4.594342904398111e-05,1.758765514287745e-06,0.00016145535610934125,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,independent_four64,128.0,1.5595383110467154e-06,5.072480201054364e-05,2.142624811747104e-06,0.00015092805992450442,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128.0,1.911318374775428e-05,9.707625607088673e-05,2.4990074384336082e-05,0.000379509053157423,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,two_disjoint_pairs64,128.0,3.588950646191136e-05,0.00012260575910794027,3.723491758812028e-05,0.00045477987330405645,pack64,1.0
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,independent_four64,128.0,3.931183810615413e-05,0.0001357088869447864,4.4269803116020335e-05,0.0005965979833343071,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_linear,mutually_disjoint_pack64,128.0,-6.938893903907228e-17,1.3056486485421153e-15,9.917485111382436e-25,5.134781488891349e-15,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_linear,two_disjoint_pairs64,128.0,0.0,1.6643429085657994e-15,1.6073982036872528e-24,6.224187831804784e-15,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_linear,independent_four64,128.0,3.469446951953614e-17,1.7218779091071091e-15,1.7328960256299357e-24,5.8772431366094224e-15,pack64,1.0
late_source_c,openml-titanic-40945,binclass,ordinal_forest,mutually_disjoint_pack64,128.0,6.949377262852052e-06,0.0003189468229674233,6.0780205809543315e-06,0.0009679757824768709,pack64,1.0
late_source_c,openml-titanic-40945,binclass,ordinal_forest,two_disjoint_pairs64,128.0,4.202008762235754e-06,0.00039717481682283737,9.780591353500628e-06,0.0014394722779587504,pack64,1.0
late_source_c,openml-titanic-40945,binclass,ordinal_forest,independent_four64,128.0,1.9375402620827598e-05,0.00042207413808018274,1.1312280068052098e-05,0.001319278788183137,pack64,1.0
late_source_c,openml-titanic-40945,binclass,native_histgb,mutually_disjoint_pack64,128.0,-6.839390165325199e-13,3.8739918705923196e-11,3.9707657619640177e-19,1.0774540287750156e-10,pack64,1.0
late_source_c,openml-titanic-40945,binclass,native_histgb,two_disjoint_pairs64,128.0,-1.9991855393364233e-12,4.852545474064769e-11,6.23012397434808e-19,1.0774540287750156e-10,pack64,1.0
late_source_c,openml-titanic-40945,binclass,native_histgb,independent_four64,128.0,-4.734962422148215e-13,5.43967635547221e-11,7.828938921981985e-19,1.0774540287750156e-10,pack64,1.0
late_source_c,openml-titanic-40945,binclass,catboost_native,mutually_disjoint_pack64,128.0,2.157361862070717e-08,1.538556322702759e-05,2.2166501308020935e-07,5.052736074005748e-05,pack64,1.0
late_source_c,openml-titanic-40945,binclass,catboost_native,two_disjoint_pairs64,128.0,2.1219885785322967e-07,1.9242251921936948e-05,3.56531105273114e-07,6.13145924884817e-05,pack64,1.0
late_source_c,openml-titanic-40945,binclass,catboost_native,independent_four64,128.0,4.637963551823443e-07,2.2194233127259523e-05,4.176319325283596e-07,6.234976892689065e-05,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128.0,8.068380227085892e-06,0.0010828592254518911,2.827534250719473e-05,0.0037188187883161195,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,two_disjoint_pairs64,128.0,1.2422858671257142e-05,0.0012830392007983085,4.0334999581252985e-05,0.003910041809205761,pack64,1.0
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,independent_four64,128.0,6.72475599652056e-05,0.0014088302686604088,4.838963791077847e-05,0.004910460853965237,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_linear,mutually_disjoint_pack64,128.0,-2.961558775993467e-11,9.373765758307322e-10,2.8726673063634523e-16,3.0684695617733126e-09,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_linear,two_disjoint_pairs64,128.0,-1.3063855552886139e-11,1.1620091943261713e-09,4.3703956610141566e-16,3.3635558505107355e-09,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_linear,independent_four64,128.0,-1.216027278871934e-12,1.275030755567292e-09,5.427437176610713e-16,3.811195692371427e-09,pack64,1.0
late_source_c,openml-churn-40701,binclass,ordinal_forest,mutually_disjoint_pack64,128.0,1.321631659612077e-06,6.80279942196551e-05,4.48059596314998e-06,0.0002431613516740705,pack64,1.0
late_source_c,openml-churn-40701,binclass,ordinal_forest,two_disjoint_pairs64,128.0,8.648304061831258e-06,8.624362102920566e-05,7.188703114132373e-06,0.00033338888139113065,pack64,1.0
late_source_c,openml-churn-40701,binclass,ordinal_forest,independent_four64,128.0,7.754663257961147e-06,9.439038553308397e-05,8.47761405982306e-06,0.0003168542762980592,pack64,1.0
late_source_c,openml-churn-40701,binclass,native_histgb,mutually_disjoint_pack64,128.0,0.0,0.0,0.0,0.0,pack64,1.0
late_source_c,openml-churn-40701,binclass,native_histgb,two_disjoint_pairs64,128.0,0.0,0.0,0.0,0.0,pack64,1.0
late_source_c,openml-churn-40701,binclass,native_histgb,independent_four64,128.0,0.0,0.0,0.0,0.0,pack64,1.0
