task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_loss,heterobag_val_rmse,ttt_val_loss,ttt_val_rmse,relative_val_rmse_gain_pct,heterobag_test_loss,heterobag_test_rmse,ttt_test_loss,ttt_test_rmse,relative_test_rmse_gain_pct
regression,openml-abalone-183,mlp,midrank,20261234,20261335,20261436,37479,37479,37479,37289,0.4028279185295105,2.06222317800245,0.4070616066455841,2.073031750474059,0.5213896250811142,0.44338712096214294,2.163552407850838,0.45121729373931885,2.1825728614756756,0.8714693543828566
regression,openml-abalone-183,resnet,midrank,20261234,20261335,20261436,153415,153415,153415,153623,0.39892643690109253,2.052212325271335,0.40439367294311523,2.0662271252655757,0.6782797410250461,0.44506967067718506,2.1676536067207257,0.45016413927078247,2.1800242787822555,0.56745570138512
regression,openml-abalone-183,ft_transformer,midrank,20261234,20261335,20261436,11167,11167,11167,11177,0.4097188413143158,2.079786958113845,0.4092058837413788,2.0784846301675155,-0.06265756924190491,0.44375312328338623,2.164445196362665,0.44888389110565186,2.1769221222373587,0.5731452561964145
regression,openml-kin8nm-189,mlp,midrank,20261234,20261335,20261436,35329,35329,35329,35329,0.10913555324077606,0.0868172237271649,0.11739253252744675,0.0900415582878387,3.580940425715952,0.11092351377010345,0.08752549503034156,0.12016680836677551,0.09109929787013465,3.9229751747238297
regression,openml-kin8nm-189,resnet,midrank,20261234,20261335,20261436,151425,151425,151425,151425,0.07458723336458206,0.07177199458386273,0.07659223675727844,0.07273026045367091,1.3175614439310277,0.08107184618711472,0.07482690771572684,0.08338089287281036,0.07588501725554583,1.3943589631873843
regression,openml-kin8nm-189,ft_transformer,midrank,20261234,20261335,20261436,8801,8801,8801,8801,0.13431261479854584,0.09631217011518611,0.12729671597480774,0.0937629723694072,-2.718768060952237,0.13237355649471283,0.09561441784498906,0.12834613025188446,0.09414866276991292,-1.5568517193475744
regression,openml-pol-201,mlp,midrank,20261234,20261335,20261436,159839,159839,159839,159839,0.008384465239942074,3.827390060619773,0.009979928843677044,4.1756949355074795,8.341243320385816,0.009059063158929348,3.978383858696519,0.011213425546884537,4.426232190601809,10.11804877421938
regression,openml-pol-201,resnet,midrank,20261234,20261335,20261436,276323,276323,276323,276323,0.005736978724598885,3.165969014469955,0.0060878898948431015,3.261357707149375,2.924815406488955,0.005531211383640766,3.108673910737047,0.005860873498022556,3.1999722652383813,2.85309830629213
regression,openml-pol-201,ft_transformer,midrank,20261234,20261335,20261436,32353,32353,32353,32353,0.00832123588770628,3.8129310958613507,0.008917137049138546,3.9470966530090372,3.3990948016285967,0.008865593001246452,3.935672347653381,0.009631039574742317,4.102056370284094,4.056112535069575
regression,openml-puma32h-308,mlp,midrank,20261234,20261335,20261436,91009,91009,91009,91009,0.06573254615068436,0.007725928920712319,0.06788252294063568,0.007851261965737948,1.5963426716949307,0.06655600666999817,0.007774171357395159,0.06895143538713455,0.007912835486140865,1.752394940961086
regression,openml-puma32h-308,resnet,midrank,20261234,20261335,20261436,207105,207105,207105,207105,0.06783892959356308,0.007848740567446288,0.07057180255651474,0.00800527187423877,1.9553527881570727,0.06796127557754517,0.007855814892843116,0.07104483246803284,0.008032056005023285,2.194221654703933
regression,openml-puma32h-308,ft_transformer,midrank,20261234,20261335,20261436,15329,15329,15329,15329,0.06539648771286011,0.0077061541610897065,0.0651138499379158,0.00768948347451617,-0.21679852266781227,0.064564049243927,0.007656950875568003,0.06504156440496445,0.0076852140851159136,0.3677608617650445
