split_seed,dataset,validation_winner,test_winner,winner_agreement,test_regret_of_validation_winner
2026082901,openml-kr-vs-kp-3,native_histgb,native_histgb,True,0.0
2026082901,openml-credit-approval-29,catboost_native,catboost_native,True,0.0
2026082901,openml-sick-38,catboost_native,catboost_native,True,0.0
2026082901,openml-tic-tac-toe-50,native_histgb,native_histgb,True,0.0
2026082901,openml-mushroom-24,native_histgb,native_histgb,True,0.0
2026082901,openml-colic-25,catboost_native,catboost_native,True,0.0
2026082901,openml-hepatitis-55,catboost_native,catboost_native,True,0.0
2026082901,openml-vote-56,native_histgb,catboost_native,False,0.012837189996923987
2026082911,openml-kr-vs-kp-3,native_histgb,native_histgb,True,0.0
2026082911,openml-credit-approval-29,catboost_native,native_histgb,False,0.013260292833623621
2026082911,openml-sick-38,catboost_native,native_histgb,False,0.00088211403998739
2026082911,openml-tic-tac-toe-50,native_histgb,native_histgb,True,0.0
2026082911,openml-mushroom-24,native_histgb,native_histgb,True,0.0
2026082911,openml-colic-25,catboost_native,catboost_native,True,0.0
2026082911,openml-hepatitis-55,catboost_native,catboost_native,True,0.0
2026082911,openml-vote-56,catboost_native,catboost_native,True,0.0
2026082921,openml-kr-vs-kp-3,native_histgb,native_histgb,True,0.0
2026082921,openml-credit-approval-29,catboost_native,catboost_native,True,0.0
2026082921,openml-sick-38,catboost_native,catboost_native,True,0.0
2026082921,openml-tic-tac-toe-50,native_histgb,native_histgb,True,0.0
2026082921,openml-mushroom-24,native_histgb,native_histgb,True,0.0
2026082921,openml-colic-25,catboost_native,catboost_native,True,0.0
2026082921,openml-hepatitis-55,catboost_native,catboost_native,True,0.0
2026082921,openml-vote-56,catboost_native,catboost_native,True,0.0
