panel,dataset,model,rmse128,rmse64,rmse32,ratio_64_to_32,ratio_128_to_64,exponent_32_to_64,exponent_64_to_128,improves_32_to_64,improves_64_to_128,rmse128_is_best
confirmation,compustat_kor_direction,onehot_linear,9.291936930275845e-10,1.7224891009291842e-09,2.6183298086382677e-09,0.6578579578655184,0.5394482278734523,0.6041519784109839,0.8904435873969933,True,True,True
confirmation,compustat_kor_direction,ordinal_forest,9.086604759301135e-05,0.0001622505339013,0.00026576970266201317,0.610492965436465,0.5600354304429399,0.7119534234067022,0.8364099932396288,True,True,True
confirmation,compustat_kor_direction,native_histgb,5.6252604814606976e-05,0.0001077446846701,0.00015397499928331115,0.6997544092976533,0.5220916928463342,0.5150794223398811,0.9376248911617648,True,True,True
confirmation,compustat_kor_direction,catboost_native,3.7642659171128105e-05,7.078345851422982e-05,0.00010886658771360113,0.6501853323486372,0.5318002250986462,0.6210770845166877,0.9110437070324514,True,True,True
confirmation,compustat_kor_direction,onehot_adam_mlp,0.000158276776526,0.0002658716376225,0.00040963768000662763,0.6490409710800978,0.595312752956111,0.6236185428441499,0.748280294374073,True,True,True
confirmation,kdd17_stock_direction,onehot_linear,1.5780280888524362e-09,2.82463386260622e-09,4.231415625484955e-09,0.6675387417851428,0.5586664203609131,0.5830765263128528,0.8399409877414709,True,True,True
confirmation,kdd17_stock_direction,ordinal_forest,7.998250105593868e-05,0.0001482196459849,0.00022662973115302476,0.6540167754283716,0.539621455202281,0.6126004537864338,0.889980384298409,True,True,True
confirmation,kdd17_stock_direction,native_histgb,2.654777529684261e-10,5.014897126248133e-10,7.399194344346494e-10,0.6777625904744438,0.5293782629735453,0.5611480863133795,0.9176291379537528,True,True,True
confirmation,kdd17_stock_direction,catboost_native,3.943462697674056e-05,7.908430942953697e-05,0.00011999888448571796,0.6590420383361933,0.4986403404315779,0.601557601482839,1.0039284920692821,True,True,True
confirmation,kdd17_stock_direction,onehot_adam_mlp,0.0006173159678283,0.0010924784808061,0.001680776479053711,0.6499843937732714,0.5650600709066645,0.6215230156635021,0.8235238479039497,True,True,True
menu_repeat,compustat_kor_direction,onehot_linear,1.4854730687427104e-09,2.503000992276874e-09,3.873781647146898e-09,0.6461388948239698,0.5934768197560475,0.6300837731029507,0.7527364132528409,True,True,True
menu_repeat,compustat_kor_direction,ordinal_forest,6.837967867558508e-05,0.0001287449025591,0.0001947322342871199,0.6611381162980654,0.5311253285868587,0.5969764027557949,0.9128757638084669,True,True,True
menu_repeat,compustat_kor_direction,native_histgb,5.521035376001241e-05,9.29973875804436e-05,0.0001457462588324881,0.6380773566704662,0.5936763945358674,0.6481967566031672,0.7522513443596621,True,True,True
menu_repeat,compustat_kor_direction,catboost_native,4.535234513465876e-05,8.33842954270851e-05,0.00012394154331429535,0.672771156444585,0.5438955249590955,0.5718122402847429,0.8785985391813594,True,True,True
menu_repeat,compustat_kor_direction,onehot_adam_mlp,7.45281242274426e-05,0.0001273600979421,0.0002032130363834698,0.6267319272852516,0.5851764047898607,0.674079605410711,0.7730564959149508,True,True,True
subsample_repeat,compustat_kor_direction,onehot_linear,1.9297353551184073e-09,3.4939135052297947e-09,5.302275155346198e-09,0.6589460944339975,0.5523134308362017,0.6017676455472799,0.8564408844344129,True,True,True
subsample_repeat,compustat_kor_direction,ordinal_forest,0.0001029058844079,0.0001893578802819,0.00028783235841266784,0.6578755819052696,0.5434465376075315,0.6041133290735876,0.8797899800069064,True,True,True
subsample_repeat,compustat_kor_direction,native_histgb,2.7719027173039497e-05,4.691293660484002e-05,7.538994002045477e-05,0.6222705123801878,0.5908610540952518,0.6843862122340152,0.759109186371867,True,True,True
subsample_repeat,compustat_kor_direction,catboost_native,4.086302252914685e-05,7.121607845202334e-05,0.00011252431168558788,0.6328950373943473,0.573789282102571,0.6599618394467773,0.8014070748495954,True,True,True
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,8.523358443624572e-05,0.0001456236602808,0.00022793054806944334,0.6388948805424406,0.5853003850603218,0.6463495155079093,0.772750867091582,True,True,True
openml_taskbalanced,openml-credit-g-31,onehot_linear,1.741214784178155e-10,3.076039171739821e-10,4.494018811329289e-10,0.6844740311244841,0.5660574157101245,0.5469322880698231,0.8209797005595463,True,True,True
openml_taskbalanced,openml-credit-g-31,ordinal_forest,0.0002098332027897,0.0003722479901067,0.0006019566760018465,0.6183966470463369,0.5636919697794851,0.6933955979123381,0.827021079549152,True,True,True
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,0.0004682245673877,0.000947948039902,0.0014631651844178371,0.6478749289535404,0.49393484418840683,0.6262127644844193,1.017607348959693,True,True,True
