task,cells,mean_heterobag_squared_gain,mean_member_quality_gain,mean_diversity_gain,cells_positive_squared_gain,cells_positive_quality_gain,cells_positive_diversity_gain
classification,12,0.00019162253836991564,3.809851705358539e-05,0.00015352402131633356,8,8,8
regression,12,0.0023534605142065987,0.000649447162515014,0.0017040133516915874,11,8,12
