dataset,model,method,metric,exact_metric,bias,rmse
openml-adult-1590,onehot_linear,disjoint_pair32,brier,0.2055629155586395,1.3289118395119759e-11,6.063900241230772e-10
openml-adult-1590,onehot_linear,disjoint_pair32,log_loss,0.3222082069111576,-2.485197431959657e-12,9.977325768193178e-10
openml-adult-1590,onehot_linear,disjoint_pair32,roc_auc,0.90435630791779,1.686773946430256e-08,3.116350054507378e-08
openml-adult-1590,onehot_linear,disjoint_pair32,accuracy,0.8500358276179752,0.0,0.0
openml-adult-1590,onehot_linear,independent_pair32,brier,0.2055629155586395,9.381422749104099e-12,6.435282574899312e-10
openml-adult-1590,onehot_linear,independent_pair32,log_loss,0.3222082069111576,6.3165438591444856e-12,1.084276594271372e-09
openml-adult-1590,onehot_linear,independent_pair32,roc_auc,0.90435630791779,1.9397900383947946e-08,3.3419131214863084e-08
openml-adult-1590,onehot_linear,independent_pair32,accuracy,0.8500358276179752,0.0,0.0
openml-adult-1590,onehot_linear,mutually_disjoint_pack64,brier,0.2055629155586395,7.502761134809202e-12,3.6196938909132686e-10
openml-adult-1590,onehot_linear,mutually_disjoint_pack64,log_loss,0.3222082069111576,1.4618825084928427e-11,5.852042152201953e-10
openml-adult-1590,onehot_linear,mutually_disjoint_pack64,roc_auc,0.90435630791779,1.0120643678581537e-08,2.4139143724119306e-08
openml-adult-1590,onehot_linear,mutually_disjoint_pack64,accuracy,0.8500358276179752,0.0,0.0
openml-adult-1590,onehot_linear,two_disjoint_pairs64,brier,0.2055629155586395,-4.423528763338597e-12,4.3597369526198936e-10
openml-adult-1590,onehot_linear,two_disjoint_pairs64,log_loss,0.3222082069111576,2.4280024930704858e-11,7.181752603556976e-10
openml-adult-1590,onehot_linear,two_disjoint_pairs64,roc_auc,0.90435630791779,1.3690981865246456e-08,2.8061574328289555e-08
openml-adult-1590,onehot_linear,two_disjoint_pairs64,accuracy,0.8500358276179752,0.0,0.0
openml-adult-1590,ordinal_forest,disjoint_pair32,brier,0.18846354457465833,1.1866145229355368e-05,4.582894091366539e-05
openml-adult-1590,ordinal_forest,disjoint_pair32,log_loss,0.29872790979956987,3.0197068841854562e-05,7.91547722562464e-05
openml-adult-1590,ordinal_forest,disjoint_pair32,roc_auc,0.9166734893299304,-1.595145575592383e-05,4.59235369862302e-05
openml-adult-1590,ordinal_forest,disjoint_pair32,accuracy,0.8649810625447846,7.407439988734831e-05,0.0003154927401019887
openml-adult-1590,ordinal_forest,independent_pair32,brier,0.18846354457465833,1.3435836178624642e-05,4.8930954460811846e-05
openml-adult-1590,ordinal_forest,independent_pair32,log_loss,0.29872790979956987,3.17508577351071e-05,8.204230914695292e-05
openml-adult-1590,ordinal_forest,independent_pair32,roc_auc,0.9166734893299304,-1.7993070716446156e-05,5.01986169016807e-05
openml-adult-1590,ordinal_forest,independent_pair32,accuracy,0.8649810625447846,8.337118691775184e-05,0.00032196201351431675
openml-adult-1590,ordinal_forest,mutually_disjoint_pack64,brier,0.18846354457465833,2.615796236343082e-06,2.3506320948559103e-05
openml-adult-1590,ordinal_forest,mutually_disjoint_pack64,log_loss,0.29872790979956987,6.24299543435132e-06,3.6451490564681515e-05
openml-adult-1590,ordinal_forest,mutually_disjoint_pack64,roc_auc,0.9166734893299304,-5.406054276660974e-06,2.3404502474788027e-05
openml-adult-1590,ordinal_forest,mutually_disjoint_pack64,accuracy,0.8649810625447846,8.497063414839565e-06,0.00023639375558964746
openml-adult-1590,ordinal_forest,two_disjoint_pairs64,brier,0.18846354457465833,5.627785377014635e-06,3.157590516002619e-05
openml-adult-1590,ordinal_forest,two_disjoint_pairs64,log_loss,0.29872790979956987,1.2295078540429318e-05,5.097220224808559e-05
openml-adult-1590,ordinal_forest,two_disjoint_pairs64,roc_auc,0.9166734893299304,-8.331285769699447e-06,3.204373239485036e-05
openml-adult-1590,ordinal_forest,two_disjoint_pairs64,accuracy,0.8649810625447846,2.5991017504303402e-05,0.00025671003490298746
openml-adult-1590,native_histgb,disjoint_pair32,brier,0.17622797805468837,1.1774771708063323e-09,1.5550545493130584e-07
openml-adult-1590,native_histgb,disjoint_pair32,log_loss,0.2777814827732446,3.860421267051252e-10,1.8803762321926678e-07
openml-adult-1590,native_histgb,disjoint_pair32,roc_auc,0.9279270837507536,-3.485999469339876e-09,1.5092060019097052e-07
openml-adult-1590,native_histgb,disjoint_pair32,accuracy,0.8722489507626164,0.0,0.0
openml-adult-1590,native_histgb,independent_pair32,brier,0.17622797805468837,6.4217650290292194e-09,1.709529851700979e-07
openml-adult-1590,native_histgb,independent_pair32,log_loss,0.2777814827732446,6.593334414464053e-09,2.0636195141363495e-07
openml-adult-1590,native_histgb,independent_pair32,roc_auc,0.9279270837507536,-5.7912571929837064e-09,1.693854034641175e-07
openml-adult-1590,native_histgb,independent_pair32,accuracy,0.8722489507626164,0.0,0.0
openml-adult-1590,native_histgb,mutually_disjoint_pack64,brier,0.17622797805468837,-1.3281528777708655e-09,8.640000012753204e-08
openml-adult-1590,native_histgb,mutually_disjoint_pack64,log_loss,0.2777814827732446,-1.1977465071187979e-09,1.0448968389707663e-07
openml-adult-1590,native_histgb,mutually_disjoint_pack64,roc_auc,0.9279270837507536,-2.1928061052058426e-09,6.317818520071452e-08
openml-adult-1590,native_histgb,mutually_disjoint_pack64,accuracy,0.8722489507626164,0.0,0.0
openml-adult-1590,native_histgb,two_disjoint_pairs64,brier,0.17622797805468837,-1.6932804541109833e-09,1.1429406965551863e-07
openml-adult-1590,native_histgb,two_disjoint_pairs64,log_loss,0.2777814827732446,-1.8658732033939064e-09,1.377988208647251e-07
openml-adult-1590,native_histgb,two_disjoint_pairs64,roc_auc,0.9279270837507536,-3.485999459798897e-09,9.017692580816505e-08
