block,dataset,model,pair_fraction,higher_fraction,pair_to_higher_ratio,strength2_log_advantage_vs_strength1,strength2_beats_strength1
A,openml-kr-vs-kp-3,ordinal_forest,0.35333514065588173,0.31692315693534145,1.1148921526361326,0.2898066497959806,True
A,openml-kr-vs-kp-3,onehot_adam_mlp,0.37227902233741206,0.4412039366305476,0.8437799199628371,0.39308975577319966,True
A,openml-credit-approval-29,ordinal_forest,0.300059119000442,0.2497661320501845,1.2013603146969196,0.3372007112353473,True
A,openml-credit-approval-29,onehot_adam_mlp,0.4355661835043709,0.4418085060774679,0.98587097693406,0.4440274661656625,True
A,openml-sick-38,ordinal_forest,0.406249718834325,0.24724982814886454,1.643073816778265,0.5494531009417349,True
A,openml-sick-38,onehot_adam_mlp,0.3460645132687675,0.44040124630624244,0.7857936737720405,0.30566749843361424,True
A,openml-tic-tac-toe-50,ordinal_forest,0.10368440627614528,0.09731248006678683,1.0654790239133285,0.2616788511138744,True
A,openml-tic-tac-toe-50,onehot_adam_mlp,0.27403701014952186,0.4781957846015267,0.573064462242955,0.25088312018795556,True
B,openml-mushroom-24,ordinal_forest,0.09365639434716566,0.09066397097724443,1.0330056508408647,0.24275340562353484,True
B,openml-mushroom-24,onehot_adam_mlp,0.44660370837617475,0.26610244892321533,1.6783149128591583,0.7979172186596989,True
B,openml-colic-25,ordinal_forest,0.1215649468709804,0.10857899952163164,1.119599069862139,0.29244518758453897,True
B,openml-colic-25,onehot_adam_mlp,0.2784821408473339,0.5663881733278622,0.4916807129129979,0.12861205440847592,True
B,openml-hepatitis-55,ordinal_forest,0.4064201414312491,0.12782827713936562,3.179422820415133,1.059374842016092,True
B,openml-hepatitis-55,onehot_adam_mlp,0.2581582348960717,0.4556445308400029,0.5665781490236357,0.24149635311558132,True
B,openml-vote-56,ordinal_forest,0.060760082433195195,0.039012867684317554,1.5574369698954382,0.5116719020244498,True
B,openml-vote-56,onehot_adam_mlp,0.1945634491968481,0.6174741455361271,0.31509570174459167,-0.09316483961258791,False
