panel,dataset,model,predicted_variance,observed_variance,predicted_to_observed_ratio,operator_standard_error,observed_variance_reference_se,combined_standardized_difference,linear_variance_term,quadratic_variance_term,quadratic_fraction,within_2_58_combined_se
confirmation,compustat_kor_direction,onehot_linear,8.684760885819655e-19,8.609216036496898e-19,1.0087748813599868,4.5003040187082856e-21,5.3860223810587973e-20,0.13977386175721568,8.684760885769448e-19,5.0205347082325994e-30,5.780855425081481e-12,True
confirmation,compustat_kor_direction,ordinal_forest,8.346316537376623e-09,8.254021451933616e-09,1.0111818325140634,6.805637155232531e-11,5.1638086540506e-10,0.17720215254282334,8.339769509320903e-09,6.547028055719976e-12,0.0007844212505481859,True
confirmation,compustat_kor_direction,native_histgb,3.3171756863940082e-09,3.164047161413773e-09,1.0483964104099552,1.6015413706691173e-11,1.9794634905031844e-10,0.7710663884584219,3.3165326623261818e-09,6.430240678264565e-13,0.00019384685305150862,True
confirmation,compustat_kor_direction,catboost_native,1.6340945146363915e-09,1.4051521128033705e-09,1.162930688960262,1.66227002912309e-11,8.790789656418603e-11,2.5589962187293356,1.632772000887145e-09,1.3225137492466842e-12,0.000809325126179107,True
confirmation,compustat_kor_direction,onehot_adam_mlp,2.3616086710691952e-08,2.5026384982274703e-08,0.9436475434793473,5.553822862257047e-11,1.565678791891168e-09,0.9001921961212075,2.3556215673795815e-08,5.987103689613291e-11,0.0025351802620637775,True
confirmation,kdd17_stock_direction,onehot_linear,2.454682546945885e-18,2.4702922470320096e-18,0.9936810310177351,1.6138863351026318e-20,1.5454426133420942e-19,0.1004584390154166,2.4546825469425292e-18,3.3562257658927826e-30,1.3672748722919782e-12,True
confirmation,kdd17_stock_direction,ordinal_forest,6.4462250645695185e-09,6.3704948310050495e-09,1.011887653247263,3.0913761611408255e-11,3.98545321580454e-10,0.18944755990994916,6.434421379504278e-09,1.1803685065240987e-11,0.0018311003644780812,True
confirmation,kdd17_stock_direction,native_histgb,7.772279195360301e-20,7.047596432776582e-20,1.1028269381619813,6.831287968451331e-22,4.409055593295366e-21,1.6242436341638837,7.772279195321479e-20,3.881991273817882e-31,4.9946626674647194e-12,True
confirmation,kdd17_stock_direction,catboost_native,1.8676239717389486e-09,1.5477132017521673e-09,1.2066989992878592,1.3844875008673723e-11,9.682667862856047e-11,3.270687237451593,1.8662106358636998e-09,1.413335875248401e-12,0.0007567561225573909,False
confirmation,kdd17_stock_direction,onehot_adam_mlp,3.695364523851074e-07,3.78753703787737e-07,0.9756642606779756,1.3565167394620943e-09,2.3695257696654745e-08,0.3883555226984155,3.6878348527028344e-07,7.52967114823901e-10,0.002037599024301956,True
menu_repeat,compustat_kor_direction,onehot_linear,2.01983758479097e-18,2.203447975877308e-18,0.916671329163906,1.2621822610784075e-20,1.378501836086218e-19,1.3264076695959213,2.0198375847865097e-18,4.4602711314499435e-30,2.2082325653483323e-12,True
menu_repeat,compustat_kor_direction,ordinal_forest,5.116620246833227e-09,4.67535377182139e-09,1.094381408669302,2.177095973528696e-11,2.9249539037754344e-10,1.5044654249041338,5.110042933571642e-09,6.577313261585401e-12,0.001285480052121559,True
menu_repeat,compustat_kor_direction,native_histgb,2.7414039247812497e-09,3.047829916231218e-09,0.89946092798089,2.0729054881092496e-11,1.9067566748111786e-10,1.5976402050175607,2.740941997399575e-09,4.619273816747608e-13,0.00016850029924416203,True
menu_repeat,compustat_kor_direction,catboost_native,2.1521437867267703e-09,2.0545672207804506e-09,1.0474925156789243,2.214499598871779e-11,1.2853603612223937e-10,0.7481160079428633,2.150564010572085e-09,1.579776154685117e-12,0.00073404768047019,True
menu_repeat,compustat_kor_direction,onehot_adam_mlp,5.613270180060968e-09,5.553042359595676e-09,1.0108459141071053,2.6770378267982427e-11,3.4740457557294383e-10,0.17285263823124863,5.602883937766886e-09,1.0386242294080917e-11,0.0018503015106905306,True
subsample_repeat,compustat_kor_direction,onehot_linear,3.899899889347798e-18,3.7238604646992895e-18,1.0472733676025974,1.7785290876900238e-20,2.329688989309127e-19,0.7534424996075824,3.8998998893451916e-18,2.6060834994977165e-30,6.682436917460327e-13,True
subsample_repeat,compustat_kor_direction,ordinal_forest,1.026940514940835e-08,1.0580901160146899e-08,0.9705605405414991,7.534859625899725e-11,6.619530770133988e-10,0.4675519078324215,1.0262827862612759e-08,6.577286795590172e-12,0.0006404739807124182,True
subsample_repeat,compustat_kor_direction,native_histgb,7.475961600425291e-10,7.678140073427816e-10,0.9736683010378756,4.925168358115526e-12,4.8035307866677616e-11,0.41870043351620906,7.47379839866441e-10,2.1632017608799035e-13,0.00028935431674192167,True
subsample_repeat,compustat_kor_direction,catboost_native,1.6833742912126627e-09,1.6688782606776824e-09,1.0086860922552217,1.3361988762194662e-11,1.044069009903712e-10,0.13771843448891263,1.6819149472908157e-09,1.4593439218470702e-12,0.0008669158899865303,True
