panel,dataset,model,minimum_margin,median_margin,fraction_margin_below_0.001,fraction_margin_below_0.005,fraction_margin_below_0.01,fraction_margin_below_0.02,fraction_margin_below_0.05,pair32_rmse_difference,pair32_strict_win,pack64_rmse_difference,pack64_strict_win
confirmation,compustat_kor_direction,catboost_native,1.537799835205078e-05,0.06274116039276123,0.008333333333333333,0.043333333333333335,0.08733333333333333,0.17,0.4053333333333333,-0.0001136461018288004,True,-0.0002580302755863001,True
confirmation,compustat_kor_direction,native_histgb,1.6689300537109375e-06,0.06887812912464142,0.007666666666666666,0.034666666666666665,0.06666666666666667,0.14066666666666666,0.36733333333333335,-0.00017285717840679997,True,-0.00020217392605030018,True
confirmation,compustat_kor_direction,onehot_adam_mlp,4.622340202331543e-05,0.10775578022003174,0.0033333333333333335,0.02,0.04033333333333333,0.07933333333333334,0.19466666666666665,-0.000213441886664,True,-0.0005192318021619,True
confirmation,compustat_kor_direction,onehot_linear,1.4424324035644531e-05,0.10101893544197083,0.004666666666666667,0.029666666666666668,0.055,0.11066666666666666,0.25533333333333336,0.0,False,0.0,False
confirmation,compustat_kor_direction,ordinal_forest,6.389617919921875e-05,0.1313975602388382,0.005,0.024,0.041,0.077,0.19633333333333333,1.4905076181400117e-05,False,-0.0004318750045252998,True
confirmation,kdd17_stock_direction,catboost_native,1.189112663269043e-05,0.05033755302429199,0.006666666666666667,0.043333333333333335,0.098,0.19966666666666666,0.498,-0.0001475832506527999,True,-0.0002077865391298,True
confirmation,kdd17_stock_direction,native_histgb,1.704692840576172e-05,0.04697194695472717,0.011333333333333334,0.05566666666666667,0.11333333333333333,0.21933333333333332,0.5306666666666666,0.0,False,0.0,False
confirmation,kdd17_stock_direction,onehot_adam_mlp,8.511543273925781e-05,0.11922954022884369,0.0036666666666666666,0.02033333333333333,0.044333333333333336,0.091,0.21733333333333332,-0.00020601864285610004,True,-0.0003288055384445001,True
confirmation,kdd17_stock_direction,onehot_linear,8.046627044677734e-07,0.047921374440193176,0.012333333333333333,0.05566666666666667,0.10833333333333334,0.219,0.5183333333333333,0.0,False,0.0,False
confirmation,kdd17_stock_direction,ordinal_forest,1.7762184143066406e-05,0.061465248465538025,0.013666666666666667,0.049,0.09033333333333333,0.179,0.4226666666666667,-0.0003224032450568001,True,-3.566046555130006e-05,True
menu_repeat,compustat_kor_direction,catboost_native,1.1920928955078125e-05,0.06317776441574097,0.009,0.042333333333333334,0.08633333333333333,0.15666666666666668,0.3893333333333333,-0.00021288408883029988,True,-0.0002736479451442,True
menu_repeat,compustat_kor_direction,native_histgb,0.000210493803024292,0.06361140310764313,0.004,0.031,0.058333333333333334,0.131,0.381,-0.00016969084361599988,True,-0.0003760361523232,True
menu_repeat,compustat_kor_direction,onehot_adam_mlp,7.706880569458008e-05,0.10871651768684387,0.0006666666666666666,0.006666666666666667,0.012666666666666666,0.04,0.16,-3.5954323698300086e-05,True,-0.0003367307806363,True
menu_repeat,compustat_kor_direction,onehot_linear,1.4930963516235352e-05,0.10101987421512604,0.005,0.029666666666666668,0.055,0.11066666666666666,0.25533333333333336,0.0,False,0.0,False
menu_repeat,compustat_kor_direction,ordinal_forest,2.2411346435546875e-05,0.1311085820198059,0.003,0.018,0.035666666666666666,0.07266666666666667,0.203,-5.546034325679995e-05,True,-0.00012470100380070005,True
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,0.00017133355140686035,0.46022653579711914,0.005,0.005,0.01,0.015,0.04,0.00018353995709370022,False,-0.00032144306576090045,True
openml_taskbalanced,openml-credit-g-31,onehot_linear,0.0017393827438354492,0.6419773697853088,0.0,0.005,0.01,0.02,0.04,0.0,False,0.0,False
openml_taskbalanced,openml-credit-g-31,ordinal_forest,0.001624464988708496,0.44094252586364746,0.0,0.01,0.02,0.04,0.06,-0.00012889210047420038,True,-0.0008939172521130996,True
subsample_repeat,compustat_kor_direction,catboost_native,5.742907524108887e-05,0.0880984514951706,0.006,0.025666666666666667,0.055,0.104,0.2653333333333333,-0.0002871785536564999,True,-0.0002450465521812999,True
subsample_repeat,compustat_kor_direction,native_histgb,4.690885543823242e-05,0.08871418237686157,0.007666666666666666,0.03166666666666667,0.068,0.12666666666666668,0.2723333333333333,-0.00020828649727630023,True,-0.00031682764151810014,True
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,0.00031745433807373047,0.11871559917926788,0.0013333333333333333,0.004,0.010666666666666666,0.034333333333333334,0.119,-7.794330634199997e-05,True,-5.922474834920007e-05,True
subsample_repeat,compustat_kor_direction,onehot_linear,3.045797348022461e-05,0.0995384007692337,0.0036666666666666666,0.02666666666666667,0.06,0.12233333333333334,0.27066666666666667,0.0,False,0.0,False
subsample_repeat,compustat_kor_direction,ordinal_forest,3.960728645324707e-05,0.14865361154079437,0.005333333333333333,0.018333333333333333,0.03233333333333333,0.065,0.16866666666666666,-8.605450134359979e-05,True,-0.0003970668627983,True
