panel,dataset,task,model,method,score_bias,score_rmse,prediction_residual
confirmation,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_cross64,2.7542412794900883e-12,1.7224891009291844e-09,2.7607915953353768e-12
confirmation,compustat_kor_direction,binclass,onehot_linear,independent_block_u64,8.652922822705023e-11,1.7835918225810063e-09,8.653711081052506e-11
confirmation,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_cross64,7.167894087167781e-07,0.0001622505339013777,2.165069530735142e-05
confirmation,compustat_kor_direction,binclass,ordinal_forest,independent_block_u64,7.1570948885213426e-06,0.00017421012976403274,3.203652915262367e-05
confirmation,compustat_kor_direction,binclass,native_histgb,disjoint_pair_cross64,2.4909456119992512e-06,0.00010774468467014823,5.8720046523519365e-06
confirmation,compustat_kor_direction,binclass,native_histgb,independent_block_u64,4.560705296197121e-06,0.00011309498115743144,8.51309271776568e-06
confirmation,compustat_kor_direction,binclass,catboost_native,disjoint_pair_cross64,9.547555153699427e-07,7.078345851422982e-05,6.21381490567563e-06
confirmation,compustat_kor_direction,binclass,catboost_native,independent_block_u64,9.790174353985215e-07,7.684708237264158e-05,7.320649716924255e-06
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_cross64,-3.6744043862002584e-06,0.0002658716376225541,2.1943126378931588e-05
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,independent_block_u64,-6.12126790211498e-06,0.0002878199706521101,2.4707831733972174e-05
confirmation,credit_card_default,binclass,onehot_linear,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,credit_card_default,binclass,onehot_linear,independent_block_u64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,credit_card_default,binclass,ordinal_forest,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,independent_block_u64,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,independent_block_u64,-1.367474063429519e-07,6.499419074189012e-06,9.884472590426796e-08
confirmation,credit_card_default,binclass,catboost_native,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,credit_card_default,binclass,catboost_native,independent_block_u64,-1.366929821555729e-07,1.0767886407658432e-05,5.654829893786406e-07
confirmation,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
confirmation,credit_card_default,binclass,onehot_adam_mlp,independent_block_u64,6.334970425070363e-06,0.00011363109722465951,2.3764567056383523e-05
confirmation,credit_card_fraud,binclass,onehot_linear,disjoint_pair_cross64,-4.336808689942018e-19,6.134672304182065e-19,-4.336808689942018e-19
confirmation,credit_card_fraud,binclass,onehot_linear,independent_block_u64,6.505213034913027e-19,6.857431756586267e-19,-4.336808689942018e-19
confirmation,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_cross64,-4.336808689942018e-19,6.134672304182065e-19,-4.336808689942018e-19
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_block_u64,-4.336808689942018e-19,6.134672304182065e-19,-4.336808689942018e-19
confirmation,credit_card_fraud,binclass,native_histgb,disjoint_pair_cross64,-4.336808689942018e-19,6.134672304182065e-19,-4.336808689942018e-19
confirmation,credit_card_fraud,binclass,native_histgb,independent_block_u64,2.0551987277165132e-08,3.8766048061518363e-07,2.5082655467608198e-08
confirmation,credit_card_fraud,binclass,catboost_native,disjoint_pair_cross64,-6.505213034913027e-19,9.202008456273099e-19,-6.505213034913027e-19
confirmation,credit_card_fraud,binclass,catboost_native,independent_block_u64,-1.0862579470378303e-07,2.7847694602836973e-06,-8.887401765477615e-08
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_block_u64,5.99332641683728e-08,3.623299492150592e-06,2.0092124587462075e-07
confirmation,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
