panel,dataset,task,method,set_size,validation_winner_covered,wrong_singleton,test_winner_covered,best_validation_regret,worst_validation_regret
openml_taskbalanced,openml-abalone-183,regression,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-abalone-183,regression,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-banknote-1462,binclass,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-banknote-1462,binclass,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-credit-g-31,binclass,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-credit-g-31,binclass,iid_u_union64_independent,1.021484375,1.0,0.0,1.0,0.0,0.00011841619138517083
openml_taskbalanced,openml-kin8nm-189,regression,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-kin8nm-189,regression,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-pol-201,regression,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-pol-201,regression,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-puma32h-308,regression,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-puma32h-308,regression,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,cover_cross_union64_independent,1.189453125,0.98828125,0.01171875,0.98828125,2.85171084300394e-05,0.0004895436947156763
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,iid_u_union64_independent,1.427734375,0.923828125,0.076171875,0.923828125,0.0001853612047952561,0.0012262356624916943
openml_taskbalanced,openml-spambase-44,binclass,cover_cross_union64_independent,1.01171875,1.0,0.0,1.0,0.0,2.5826381237912773e-05
openml_taskbalanced,openml-spambase-44,binclass,iid_u_union64_independent,1.244140625,0.98828125,0.01171875,0.98828125,2.5826381237912773e-05,0.0005638759903610956
subsample_repeat,compustat_kor_direction,binclass,cover_cross_union64_independent,1.00390625,1.0,0.0,1.0,0.0,2.98662579187336e-06
subsample_repeat,compustat_kor_direction,binclass,iid_u_union64_independent,1.03515625,1.0,0.0,1.0,0.0,2.687963212686024e-05
subsample_repeat,credit_card_default,binclass,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,iid_u_union64_independent,1.212890625,0.990234375,0.009765625,0.990234375,1.463836406791967e-06,3.3375470074856846e-05
subsample_repeat,credit_card_fraud,binclass,cover_cross_union64_independent,1.0,1.0,0.0,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,iid_u_union64_independent,1.0,1.0,0.0,0.0,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
subsample_repeat,kdd17_stock_return,regression,cover_cross_union64_independent,1.0,1.0,0.0,0.0,0.0,0.0
subsample_repeat,kdd17_stock_return,regression,iid_u_union64_independent,1.0,1.0,0.0,0.0,0.0,0.0
subsample_repeat,polish_bankruptcy_3year,binclass,cover_cross_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
subsample_repeat,polish_bankruptcy_3year,binclass,iid_u_union64_independent,1.0,1.0,0.0,1.0,0.0,0.0
