dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
openml-kr-vs-kp-3,onehot_linear,binclass,validation,3456,27648,4.285981479653067e-14,0.20358851982323134,0.7121177393391964,0.049885026507204056,0.04988502650716121,2.6787384247831667e-15,2.5017657014303575e-15,1.0714953699132667e-14,1.3709533750142895e-15,9.466330862652142e-30,1.9721522630525295e-31,0.04988502650716258,0.48820931438079374,0.45200568773068484,0.8720523285951984,False,1.214493990353191e-17
openml-kr-vs-kp-3,onehot_linear,binclass,test,3456,27648,3.710029668793491e-14,0.19258116934383318,0.6840567924995851,0.053898453852336395,0.0538984538522993,2.318768542995932e-15,2.170690215875128e-15,9.275074171983726e-15,1.3023985260892413e-15,9.466330862652142e-30,1.9721522630525295e-31,0.053898453852300604,0.4383231866659292,0.40000718823705084,0.8595807966664823,False,4.969877646867148e-18
openml-kr-vs-kp-3,ordinal_forest,binclass,validation,3456,27648,0.000849859876457978,0.2746439219908245,0.6497842636816206,0.053091764832966626,0.052241904956508656,5.311624227862363e-05,4.3103299392599644e-05,7.058961572147623e-05,3.307047804457531e-05,1.0842021724855044e-19,6.776263578034403e-21,0.05227497543455323,0.3773942465451031,0.23276225925634952,0.5315107228369012,True,7.914675859144182e-18
openml-kr-vs-kp-3,ordinal_forest,binclass,test,3456,27648,0.0009709527213857475,0.3297417024087768,0.6830768430646585,0.05484801728960907,0.05387706456822332,6.068454508660922e-05,4.568472090378327e-05,9.356944011389299e-05,3.4190822410725813e-05,8.131516293641283e-20,1.3552527156068805e-20,0.053911255390634044,0.4365810543371704,0.2515917415204263,0.6345941327733857,True,6.288372600415926e-18
openml-kr-vs-kp-3,onehot_adam_mlp,binclass,validation,3456,27648,0.0037885323249373594,0.14291289372040292,0.5126283736699144,0.02353510275558811,0.019746570430650756,0.00023678327030858496,0.00022469137877443272,0.00018399050237374745,0.00016204564579951986,8.673617379884035e-19,8.131516293641283e-20,0.019908616076450277,0.3156372678342697,0.2788079067234832,0.11927168136999866,True,3.903127820947816e-18
openml-kr-vs-kp-3,onehot_adam_mlp,binclass,test,3456,27648,0.0038338346416142604,0.1865170410320404,0.5587960633694524,0.025267485779039034,0.02143365113742477,0.00023961466510089127,0.00021800979087136728,0.00019267282297215005,0.00014714966796846625,5.421010862427522e-19,8.131516293641283e-20,0.02158080080539324,0.38589039236597666,0.32503183742197506,0.2362718016036126,True,2.6020852139652106e-18
openml-credit-approval-29,onehot_linear,binclass,validation,3456,27648,2.8157830334696e-18,0.3214285714285714,0.8214285714285715,0.1825890069009073,0.18258900690090732,1.7598643959185e-19,1.4525864855200324e-19,7.039457583674e-19,5.586871098153969e-20,5.7777898331617076e-34,0.0,0.18258900690090732,0.6825396825396826,0.6153846153846155,0.9206349206349206,False,3.0571358649098514e-17
openml-credit-approval-29,onehot_linear,binclass,test,3456,27648,6.874470296556641e-20,0.17714285714285713,0.6285714285714286,0.20594729043601134,0.2059472904360114,4.2965439353479005e-21,4.0046517441845846e-21,1.7186175741391602e-20,2.8370829795313125e-21,2.407412430484045e-35,3.76158192263132e-37,0.2059472904360114,0.3396825396825396,0.2915531335149866,0.8349206349206348,False,5.55798959342234e-17
openml-credit-approval-29,ordinal_forest,binclass,validation,3456,27648,0.001596526451771276,0.4353039823099063,0.7563291811244983,0.20818119985726227,0.20658467340549097,9.978290323570475e-05,6.432304112491394e-05,0.00017476747538717606,4.3225211984389576e-05,2.710505431213761e-19,4.0657581468206416e-20,0.20662789861747535,0.566807433110219,0.32799800462718853,0.7526701585141664,True,2.5804011705155006e-17
openml-credit-approval-29,ordinal_forest,binclass,test,3456,27648,0.0017861762538809703,0.4501747489493735,0.7502338679498155,0.2076352879661728,0.2058491117122918,0.00011163601586756064,6.944800243168282e-05,0.00020437075007200242,4.9569592676859805e-05,4.336808689942018e-19,6.776263578034403e-20,0.20589868130496866,0.555971320799672,0.28623443524351533,0.757452606797226,True,2.970713952610282e-17
