panel,dataset,task,model,method,predicted_variance,residual_aligned_variance,covariance_self_interaction_variance,observed_variance,predicted_standard_error,observed_standard_error,predicted_over_observed,standardized_discrepancy,nondegenerate
confirmation,compustat_kor_direction,binclass,onehot_linear,strength2_mean16,6.638082059709609e-18,6.6380820594113116e-18,2.9829637570164515e-28,6.226415664690693e-18,1.3371747556547964e-19,2.3054775819390173e-19,1.0661161119315292,1.5446015365228045,True
confirmation,compustat_kor_direction,binclass,onehot_linear,iid_mean16,2.2787564348073722e-17,2.2787564347506368e-17,5.673503282431988e-28,2.363127196928314e-17,7.529905856505824e-19,1.0651462822476207e-18,0.9642969865394422,-0.6468029395271436,True
confirmation,compustat_kor_direction,binclass,ordinal_forest,strength2_mean16,6.335040575832206e-08,6.302757829449631e-08,3.22827463825745e-10,6.353350049251513e-08,1.6198341955576469e-09,2.7199414944301753e-09,0.997118138733523,-0.057836214043184946,True
confirmation,compustat_kor_direction,binclass,ordinal_forest,iid_mean16,7.318072102401105e-08,7.281736269967331e-08,3.633583243377311e-10,7.20768506598531e-08,2.312933195172215e-09,3.238121300683526e-09,1.0153151858613714,0.2774008659196658,True
confirmation,compustat_kor_direction,binclass,native_histgb,strength2_mean16,2.4477729847222152e-08,2.4442240952041652e-08,3.5488895180502494e-11,2.4644708921994234e-08,8.316734158342832e-10,1.1327014740254182e-09,0.9932245466846208,-0.1188262041497382,True
confirmation,compustat_kor_direction,binclass,native_histgb,iid_mean16,1.2769318410273023e-07,1.2711306717811794e-07,5.801169246122704e-10,1.2674066233809558e-07,4.023147157275483e-09,5.4844446793090654e-09,1.0075155182801057,0.14003911100799016,True
confirmation,compustat_kor_direction,binclass,catboost_native,strength2_mean16,1.191223295323946e-08,1.1842723464648006e-08,6.950948859145149e-11,1.1123312112984893e-08,4.5458196952991407e-10,5.973398640954517e-10,1.0709249935847447,1.050998282589436,True
confirmation,compustat_kor_direction,binclass,catboost_native,iid_mean16,3.337562970658585e-08,3.327134857838258e-08,1.0428112820326999e-10,3.487602641918398e-08,1.065948240292114e-09,1.6529033098512636e-09,0.9569791382032897,-0.7628586327087359,True
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,strength2_mean16,1.662082957850868e-07,1.6332876850495755e-07,2.879527280129248e-09,1.5721183611005743e-07,5.698639268348195e-09,7.667390672424009e-09,1.0572250785795245,0.9417234580647688,True
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,iid_mean16,2.6048739529777803e-07,2.5477867859795913e-07,5.7087166998188895e-09,2.673497342054518e-07,7.634284473471633e-09,1.2568105330733662e-08,0.9743319778189858,-0.46666429844427343,True
