dataset,model,task,split,persistent_schema_risk,same_seed_conditional_schema_risk,persistent_fraction_of_member_loss,conditional_fraction_of_member_loss,mean_member_proper_loss,quotient_centroid_proper_loss,joint_schema_seed_risk,ambiguity_identity_error,hard_flip_fraction,maximum_probability_deviation,anova_total,anova_feature,anova_category,anova_class,anova_feature:category,anova_feature:class,anova_category:class,anova_feature:category:class
australian_credit_approval,onehot_linear,binclass,validation,0.0,0.0,0.0,0.0,0.2062938536044672,0.2062938536044672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
australian_credit_approval,onehot_linear,binclass,test,2.5601193192031267e-36,2.5601193192031267e-36,1.1281299226947224e-35,1.1281299226947224e-35,0.22693479427332838,0.2269347942733283,2.5601193192031267e-36,8.326672684688674e-17,0.0,3.2634485391813683e-17,2.5601193192031267e-36,0.0,0.0,2.5601193192031267e-36,0.0,0.0,0.0,0.0
australian_credit_approval,ordinal_forest,binclass,validation,0.001115420531684431,0.0019036528900552468,0.004797571425732092,0.008187863187393079,0.23249690993693167,0.23045050122206584,0.0020464087148658206,1.214306433183765e-17,0.08653846153846154,0.2598259449005127,0.0019036528900552468,0.00030619794807771315,0.0010408365477628917,0.0,0.0005566183942146419,0.0,0.0,0.0
australian_credit_approval,ordinal_forest,binclass,test,0.0009465717525956321,0.0016699583118040232,0.00451925234872928,0.007972943416286708,0.20945317489557502,0.2076558056920749,0.0017973692035001669,4.0332320816460765e-17,0.028846153846153848,0.2675146460533142,0.0016699583118040232,0.00030108407755442574,0.000850210174647358,0.0,0.0005186640596022394,0.0,0.0,0.0
australian_credit_approval,native_histgb,binclass,validation,0.0021206088289506147,0.0021206088289506147,0.008332605978305093,0.008332605978305093,0.25449527248400633,0.2523746636550558,0.0021206088289506147,7.155734338404329e-17,0.057692307692307696,0.2976865768432617,0.0021206088289506147,0.0,0.0,0.0021206088289506147,0.0,0.0,0.0,0.0
australian_credit_approval,native_histgb,binclass,test,0.0010245061031887075,0.0010245061031887075,0.004163180747271015,0.004163180747271015,0.2460873465223138,0.24506284041912504,0.0010245061031887075,3.621235256101585e-17,0.019230769230769232,0.22838802635669708,0.0010245061031887075,0.0,0.0,0.0010245061031887075,0.0,0.0,0.0,0.0
australian_credit_approval,catboost_native,binclass,validation,0.0002076124342008947,0.0007517083634769935,0.0009612347260047518,0.0034803704584625227,0.2159851580308683,0.2148467166366409,0.0011384413942273812,9.540979117872439e-18,0.057692307692307696,0.22379550337791443,0.0007517083634769935,0.00037224006114235585,0.0,0.0001139413577131309,0.0,0.0002655269446215067,0.0,0.0
australian_credit_approval,catboost_native,binclass,test,0.00015806449088691797,0.0005931480364009447,0.0008085307246367038,0.003034067987042026,0.19549596084668383,0.1946600688770113,0.0008358919696725482,6.179952383167375e-18,0.0,0.21605926752090454,0.0005931480364009447,0.0003030923658708919,0.0,7.490352526116293e-05,0.0,0.0002151521452688898,0.0,0.0
australian_credit_approval,onehot_adam_mlp,binclass,validation,0.0060790476888723435,0.02355535534877456,0.02315355406335437,0.0897163867537523,0.2625535445762853,0.2349666198026178,0.02758692477366755,1.734723475976807e-17,0.1346153846153846,0.652029499411583,0.02355535534877456,0.004320731711845057,0.001629245711600362,0.001992501589392616,0.006234893735015007,0.002241646986660629,0.002332736990290094,0.004803598623970795
australian_credit_approval,onehot_adam_mlp,binclass,test,0.006701458264652437,0.025823014929329,0.02599181078115659,0.10015535295986977,0.2578296033730295,0.22714147995969913,0.030688123413330423,4.163336342344337e-17,0.07692307692307693,0.7389573091641068,0.025823014929329,0.004833139684282163,0.0016788640615799072,0.002026127758927141,0.006873787634472621,0.002495492965989569,0.0025842323318538704,0.0053313704922237325
