comparison,omitted_source,leave_one_source_out_mean_percent_reduction
pack64,compustat_kor_direction,19.651664496046628
pack64,kdd17_stock_direction,19.60414937732171
pack64,openml-colic-25,19.447172921736115
pack64,openml-credit-approval-29,20.041921440134097
pack64,openml-credit-g-31,19.276040113180017
pack64,openml-hepatitis-55,19.696851425268157
pack64,openml-kr-vs-kp-3,19.925490040633747
pack64,openml-mushroom-24,19.857892032017254
pack64,openml-sick-38,19.758402402412276
pack64,openml-tic-tac-toe-50,19.963740635091728
pack64,openml-vote-56,19.712348824042227
pair32,compustat_kor_direction,7.562171551702147
pair32,kdd17_stock_direction,7.745504372559502
pair32,openml-colic-25,7.845364020484427
pair32,openml-credit-approval-29,7.615852124256536
pair32,openml-credit-g-31,7.515778000971497
pair32,openml-hepatitis-55,8.145764829008828
pair32,openml-kr-vs-kp-3,7.62931274653963
pair32,openml-mushroom-24,7.705341686019869
pair32,openml-sick-38,7.815971285009043
pair32,openml-tic-tac-toe-50,7.993267778821408
pair32,openml-vote-56,7.489759199334779
unbiased_pair_cross64,compustat_kor_direction,7.328167017732811
unbiased_pair_cross64,kdd17_stock_direction,7.458404960051931
unbiased_pair_cross64,openml-colic-25,7.132873139965236
unbiased_pair_cross64,openml-credit-approval-29,7.785904610821769
unbiased_pair_cross64,openml-credit-g-31,7.4890798445895
unbiased_pair_cross64,openml-hepatitis-55,7.187148553259351
unbiased_pair_cross64,openml-kr-vs-kp-3,7.584865041575708
unbiased_pair_cross64,openml-mushroom-24,7.129945355627285
unbiased_pair_cross64,openml-sick-38,7.191729308966407
unbiased_pair_cross64,openml-tic-tac-toe-50,7.506058990532182
unbiased_pair_cross64,openml-vote-56,7.164247420965808
