dataset,model,fits,exact_artifact_match,tensor_bytes,setup_seconds,fit_loop_seconds,end_to_end_seconds,fits_per_fit_loop_second
openml-kr-vs-kp-3,onehot_linear,128,True,1319928,0.091738095972687,4.411117756040767,4.513402885058895,29.01758852950854
openml-kr-vs-kp-3,ordinal_forest,128,True,1319928,0.09246515389531851,16.351698460057378,16.46824367204681,7.827933001129404
openml-kr-vs-kp-3,onehot_adam_mlp,128,True,1319928,0.09163059503771365,38.26512719108723,38.42497341707349,3.3450823085154657
openml-credit-approval-29,onehot_linear,128,True,284832,0.022131169913336635,1.0994234669487923,1.1229678669478744,116.42465696610589
openml-credit-approval-29,ordinal_forest,128,True,284832,0.021656463854014874,11.458816135069355,11.485736517002806,11.170438419747388
openml-credit-approval-29,onehot_adam_mlp,128,True,284832,0.023169055115431547,6.126014973036945,6.159140711184591,20.894496759048007
openml-sick-38,onehot_linear,128,True,1558320,0.10426904680207372,4.3995847220066935,4.516495569841936,29.093654989695924
openml-sick-38,ordinal_forest,128,True,1558320,0.10355334798805416,22.98871625191532,23.124850563937798,5.5679490145229655
openml-sick-38,onehot_adam_mlp,128,True,1558320,0.10239648283459246,35.32524237502366,35.517842097906396,3.623471245890192
openml-tic-tac-toe-50,onehot_linear,128,True,396288,0.023212620057165623,0.6038914520759135,0.6291517289355397,211.95862196756093
openml-tic-tac-toe-50,ordinal_forest,128,True,396288,0.02201804891228676,11.461035281186923,11.490324852988124,11.16827554052727
openml-tic-tac-toe-50,onehot_adam_mlp,128,True,396288,0.02221650700084865,10.695980230113491,10.731497842120007,11.9671126204617
