panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error
confirmation,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32,128,-1.754230094519471e-11,2.296266646077406e-09,1.33562221946271e-14,6.115281614427204e-09
confirmation,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32,128,-3.4689251471320404e-11,2.5624446291045884e-09,1.5323481017232215e-14,6.115281614427204e-09
confirmation,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32,128,3.6578594017289134e-05,0.0002346640539231151,4.176774726623719e-05,0.0007291350374889483
confirmation,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32,128,5.492996996725452e-05,0.00026652253113411157,4.991510251282563e-05,0.000980752847593691
confirmation,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32,128,1.4525705393952926e-05,0.00014831532477846502,6.75258858735968e-06,0.0004729255512553321
confirmation,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32,128,1.5986448664961905e-05,0.0001600767267736179,8.127732388466499e-06,0.00047309536614448255
confirmation,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32,128,4.799896400065062e-06,0.0001010708040847964,1.0367180188691005e-05,0.00040108418014217495
confirmation,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32,128,5.2084986635891894e-06,0.00010937348521670514,1.2601379819043387e-05,0.00040108418014217495
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32,128,3.9345650344913e-05,0.0003871423558908798,5.283461121723089e-05,0.0018325187876070959
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32,128,6.078635605155647e-05,0.0004319838858581088,6.219387780712058e-05,0.00210954106598249
confirmation,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,credit_card_default,binclass,onehot_linear,independent_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,independent_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,independent_pair_mean32,32,7.9082191462021e-07,9.244737688523383e-06,4.659460895151022e-07,1.665552123281122e-05
confirmation,credit_card_default,binclass,catboost_native,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,credit_card_default,binclass,catboost_native,independent_pair_mean32,32,1.4545518924324874e-06,1.5644976244586853e-05,1.4112512370816618e-06,4.024546573361265e-05
confirmation,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
confirmation,credit_card_default,binclass,onehot_adam_mlp,independent_pair_mean32,32,2.670559277495599e-05,0.00015844886221333518,3.534009293831553e-05,0.0006136489764997366
confirmation,credit_card_fraud,binclass,onehot_linear,disjoint_pair_mean32,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_linear,independent_pair_mean32,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_mean32,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_pair_mean32,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,disjoint_pair_mean32,32,-4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,independent_pair_mean32,32,3.942819285255791e-09,5.409918896128555e-07,8.948594923551584e-09,1.447749051236959e-06
confirmation,credit_card_fraud,binclass,catboost_native,disjoint_pair_mean32,32,-6.505213034913027e-19,9.202008456273099e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,catboost_native,independent_pair_mean32,32,1.4620869490849023e-07,4.10009033838418e-06,4.110157288477666e-08,1.2555806088593259e-05
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,0.0,0.0,1.3156370486997908e-91,0.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair_mean32,32,3.086318479134792e-07,5.133558018002886e-06,2.8868989477554703e-07,1.4179581823346677e-05
confirmation,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
