dataset,optimizer,seeds,mean_chart_risk,max_chart_risk,mean_member_mse,mean_mse_change_vs_raw_adam_member,mean_mse_change_vs_raw_adam_quotient,maximum_curve_range
black-friday,field_vector_adam,3,3.418682059833045e-06,8.048976973909624e-06,0.4955562697308357,-0.001793536466158152,0.004522980729775972,0.00013671159744260697
black-friday,sgd,3,0.0008930937785762426,0.0020239895045343855,0.5042019076576566,0.0068521014606627295,0.012278943560080358,0.004461699132919272
diamond,field_vector_adam,3,4.994663367229134e-13,5.814358261841406e-13,0.022903528587297956,0.0001442435688118598,0.0012947244714360366,3.547788379396066e-08
diamond,sgd,3,5.394254647048858e-15,5.600640455669212e-15,0.026446588857969827,0.0036873038394837298,0.00483778474260198,5.359428095763619e-09
