dataset,model,split,method,categorical_fields,binary_factors,full_joint_cell_count,maximum_grand_method_mean_squared_difference,unbiased_between_repetition_risk,mean_repetition_brier,repetition_brier_std,grand_mean_brier,hard_flip_fraction
bank_marketing_subscription,ordinal_forest,validation,oa32,9,11,32768,7.431556001465845e-06,1.7434162807260606e-05,0.166297096666736,0.00012102036791917047,0.16628184177427965,0.0
bank_marketing_subscription,ordinal_forest,validation,marginal32,9,11,32768,7.431556001465845e-06,1.851160058462092e-05,0.16624964313922994,0.0001476298138210496,0.16623344548871838,0.0
bank_marketing_subscription,ordinal_forest,validation,iid32,9,11,32768,7.431556001465845e-06,3.368264129789657e-05,0.16652014787690114,0.00030928454463439607,0.1664906755657655,0.001
bank_marketing_subscription,ordinal_forest,test,oa32,9,11,32768,6.6970937564766e-06,1.8395696365316508e-05,0.17255637441916705,0.0001282735844737123,0.1725402781848474,0.004
bank_marketing_subscription,ordinal_forest,test,marginal32,9,11,32768,6.6970937564766e-06,1.936755502706342e-05,0.1726196096977822,0.00014568138989501072,0.1726026630871335,0.003
bank_marketing_subscription,ordinal_forest,test,iid32,9,11,32768,6.6970937564766e-06,3.441128682632373e-05,0.17260942073936497,0.00026477768468979456,0.17257931086339195,0.005
bank_marketing_subscription,catboost_native,validation,oa32,9,11,32768,3.005141744093694e-06,1.5443113835036945e-05,0.16554745840751875,0.00044280702949217615,0.1655339456829131,0.004
bank_marketing_subscription,catboost_native,validation,marginal32,9,11,32768,3.005141744093694e-06,7.030097553528485e-06,0.16556635119330593,0.00012679253719180263,0.1655601998579466,0.003
bank_marketing_subscription,catboost_native,validation,iid32,9,11,32768,3.005141744093694e-06,9.203102114046238e-06,0.16529339754103844,0.00022005292751211324,0.1652853448266887,0.004
bank_marketing_subscription,catboost_native,test,oa32,9,11,32768,3.4567735990249825e-06,1.762317468475804e-05,0.1747493889714244,0.00026989910980597853,0.17473396869357524,0.001
bank_marketing_subscription,catboost_native,test,marginal32,9,11,32768,3.4567735990249825e-06,8.469640373427741e-06,0.17479019559825648,0.00012422084552598354,0.17478278466292976,0.001
bank_marketing_subscription,catboost_native,test,iid32,9,11,32768,3.4567735990249825e-06,1.0075758161367179e-05,0.1746150328208923,0.00011792005553875587,0.17460621653250105,0.001
