panel,method,validation_rank_spearman,validation_pairwise_order_accuracy,draws
confirmation,four_seed_blocks,0.9817560369318182,0.9841974431818182,11264
confirmation,four_strength1,0.9827592329545454,0.9847922585227273,11264
confirmation,iid16,0.9793856534090909,0.9819247159090909,11264
confirmation,lhs16,0.9843306107954546,0.9861949573863636,11264
confirmation,sobol16,0.9802734375,0.9819691051136363,11264
confirmation,srswor16,0.9817205255681819,0.9842418323863636,11264
confirmation,strength2,0.9912730823863637,0.9932528409090909,11264
menu_repeat,four_seed_blocks,0.9908203125,0.9908203125,6144
menu_repeat,four_strength1,0.9914713541666668,0.9914713541666668,6144
menu_repeat,iid16,0.9879557291666666,0.9879557291666666,6144
menu_repeat,lhs16,0.9916829427083332,0.9916829427083332,6144
menu_repeat,sobol16,0.9914225260416667,0.9914225260416667,6144
menu_repeat,srswor16,0.9914876302083333,0.9914876302083333,6144
menu_repeat,strength2,1.0,1.0,6144
openml_external,four_seed_blocks,0.9709228515625,0.9771931966145834,8192
openml_external,four_strength1,0.9646484375,0.9712727864583334,8192
openml_external,iid16,0.960595703125,0.96856689453125,8192
openml_external,lhs16,0.969677734375,0.9753011067708334,8192
openml_external,sobol16,0.9765869140625,0.9804890950520834,8192
openml_external,srswor16,0.9743896484375,0.9787801106770834,8192
openml_external,strength2,0.9916015625,0.9930013020833334,8192
openml_taskbalanced,four_seed_blocks,0.9698486328125,0.9798990885416666,8192
openml_taskbalanced,four_strength1,0.9654541015625,0.97705078125,8192
openml_taskbalanced,iid16,0.96112060546875,0.9746500651041666,8192
openml_taskbalanced,lhs16,0.97052001953125,0.9803466796875,8192
openml_taskbalanced,sobol16,0.969970703125,0.97998046875,8192
openml_taskbalanced,srswor16,0.97406005859375,0.9827473958333334,8192
openml_taskbalanced,strength2,0.9864501953125,0.990966796875,8192
subsample_repeat,four_seed_blocks,0.9831705729166668,0.983251953125,6144
subsample_repeat,four_strength1,0.9851399739583333,0.9851562500000001,6144
subsample_repeat,iid16,0.9784505208333334,0.9785970052083334,6144
subsample_repeat,lhs16,0.9870442708333332,0.9870442708333332,6144
subsample_repeat,sobol16,0.9843587239583332,0.9843587239583332,6144
subsample_repeat,srswor16,0.9845052083333333,0.9845703124999999,6144
subsample_repeat,strength2,0.9977864583333332,0.9977864583333332,6144
