panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,credit_card_default,binclass,catboost_native,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_default,binclass,catboost_native,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_default,binclass,onehot_adam_mlp,independent_pair32,32,0.00010269212084740298,0.00010269212084740298,0.00040783968148971043,0.0015396877958341881,1e-12
confirmation,credit_card_default,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_default,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_linear,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_linear,independent_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_linear,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_linear,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,ordinal_forest,disjoint_pair32,32,-3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_pair32,32,-3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,ordinal_forest,mutually_disjoint_pack64,32,-3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,ordinal_forest,two_disjoint_pairs64,32,-3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,native_histgb,disjoint_pair32,32,8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
