panel,dataset,task,model,method,score_bias,score_rmse,mc_standard_error
confirmation,polish_bankruptcy_2year,binclass,catboost_native,strength2_jackknife32,1.3877787807814457e-17,1.963095137338261e-17,4.338927824537059e-19
confirmation,polish_bankruptcy_2year,binclass,catboost_native,iid_jackknife32,-4.8716987720853755e-06,0.00022271842301171935,6.958285479650126e-06
confirmation,polish_bankruptcy_2year,binclass,catboost_native,strength2_mean32,1.3877787807814457e-17,1.963095137338261e-17,4.338927824537059e-19
confirmation,polish_bankruptcy_2year,binclass,catboost_native,iid_mean32,4.289825104003553e-05,0.0002248028546660137,6.8959951808900195e-06
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,strength2_jackknife32,1.0477121925589472e-07,0.0005397510011557746,1.6867218468349656e-05
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,iid_jackknife32,2.0749075800297057e-05,0.005209502753862281,0.00016279566977056545
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,strength2_mean32,3.989610576393687e-05,0.0005445401250660689,1.6971145334844342e-05
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,iid_mean32,0.00016014893770710525,0.0052114273764839745,0.0001627801899865837
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,strength2_jackknife32,2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,iid_jackknife32,-1.6361037524781352e-10,3.048863106717789e-09,9.513968907927794e-11
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,strength2_mean32,2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,iid_mean32,-1.6360260368664115e-10,3.0488629817528484e-09,9.5139698219588e-11
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,strength2_jackknife32,0.0,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,iid_jackknife32,-1.2218860968776779e-05,0.00048084142469119446,1.5021442198352351e-05
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,strength2_mean32,0.0,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,iid_mean32,0.00012679486347069724,0.0004983793550870349,1.5061885496231146e-05
confirmation,polish_bankruptcy_3year,binclass,native_histgb,strength2_jackknife32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_3year,binclass,native_histgb,iid_jackknife32,3.0333792110370794e-06,9.883642810043562e-05,3.0871833925178016e-06
confirmation,polish_bankruptcy_3year,binclass,native_histgb,strength2_mean32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_3year,binclass,native_histgb,iid_mean32,3.52010317218876e-05,0.0001021312270984397,2.996038222977588e-06
confirmation,polish_bankruptcy_3year,binclass,catboost_native,strength2_jackknife32,4.163336342344337e-17,5.889285412014783e-17,1.3016783473611178e-18
confirmation,polish_bankruptcy_3year,binclass,catboost_native,iid_jackknife32,5.616742466255098e-06,0.0004129485406548081,1.290344814596732e-05
confirmation,polish_bankruptcy_3year,binclass,catboost_native,strength2_mean32,4.163336342344337e-17,5.889285412014783e-17,1.3016783473611178e-18
confirmation,polish_bankruptcy_3year,binclass,catboost_native,iid_mean32,7.207616197846267e-05,0.0004190361345203827,1.2899714935540314e-05
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,strength2_jackknife32,-7.636871348914998e-06,0.000585436530733462,1.8293334940233778e-05
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,iid_jackknife32,0.00017101791261325827,0.004419214736716338,0.0001379970128284891
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,strength2_mean32,6.558852582549957e-06,0.0005850988074501313,1.8283188891101614e-05
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,iid_mean32,0.0002722020401276226,0.004428176786391531,0.00013811883364660174
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,strength2_jackknife32,-5.551115123125783e-17,7.852380549353044e-17,1.7355711298148236e-18
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,iid_jackknife32,2.5487002508484125e-09,5.271335201491483e-08,1.6453656531299234e-09
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,strength2_mean32,-5.551115123125783e-17,7.852380549353044e-17,1.7355711298148236e-18
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,iid_mean32,2.5507924106271673e-09,5.271353418501378e-08,1.6453681864841806e-09
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,strength2_jackknife32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,iid_jackknife32,6.269948782416934e-06,0.0002946843625814473,9.206801647396966e-06
