task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,relative_val_log_loss_gain_pct,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,relative_test_log_loss_gain_pct
classification,openml-credit-g-31,mlp,qple,20261234,20261335,20261436,62451,62451,62451,62451,0.45268325790347186,0.8301190476190476,0.775,0.45299557958737635,0.830595238095238,0.775,0.06894585686442675,0.508415075015614,0.7852380952380951,0.685,0.5040496092610147,0.7863095238095238,0.705,-0.8660785911528586
classification,openml-credit-g-31,resnet,qple,20261234,20261335,20261436,179191,179191,179191,179191,0.45945403145430513,0.8307738095238095,0.805,0.4638703235702255,0.8267261904761904,0.805,0.9520531690688742,0.5030159785128056,0.7873214285714285,0.745,0.502269937709371,0.7865476190476192,0.74,-0.14853383557791724
classification,openml-credit-g-31,ft_transformer,qple,20261234,20261335,20261436,11251,11251,11251,11251,0.4563654742271945,0.8556547619047619,0.795,0.45214087053777857,0.8475595238095238,0.8,-0.9343556322150534,0.498211317640916,0.8149404761904763,0.73,0.5016612778333761,0.8064880952380952,0.75,0.6877070933918119
classification,openml-spambase-44,mlp,qple,20261234,20261335,20261436,182581,182581,182581,182581,0.14976237388431715,0.9862249747519752,0.9434782608695652,0.1540991583356926,0.9854601081209529,0.9402173913043478,2.8142817249709515,0.16116538381232406,0.9845127719028012,0.9467969598262758,0.16764663700706053,0.9837672916851803,0.9467969598262758,3.8660204048492233
classification,openml-spambase-44,resnet,qple,20261234,20261335,20261436,298787,298787,298787,298787,0.14465227667199432,0.9862373512346779,0.9467391304347826,0.1558102134048924,0.9848982158062537,0.9423913043478261,7.161235768224503,0.15825158356706523,0.9853767390424283,0.9457111834961998,0.16776022374565824,0.9831995418505681,0.9435396308360477,5.667994454400043
classification,openml-spambase-44,ft_transformer,qple,20261234,20261335,20261436,34801,34801,34801,34801,0.15550897773774766,0.9873165805263471,0.9489130434782609,0.16971855224727078,0.9792966197350443,0.9478260869565217,8.372434434168715,0.16792556487517757,0.9825799539875786,0.9554831704668838,0.17888857598941527,0.9770135371308392,0.9511400651465798,6.128402025452074
classification,openml-banknote-1462,mlp,qple,20261234,20261335,20261436,26049,26049,26049,26049,0.0221938546510398,0.9998928533161898,0.9927272727272727,0.025930803772583645,0.9998928533161898,0.9890909090909091,14.411235202415437,0.02107731559818745,0.9998928533161899,0.9927272727272727,0.02622341229613292,0.9998392799742847,0.9890909090909091,19.624054413026737
classification,openml-banknote-1462,resnet,qple,20261234,20261335,20261436,142145,142145,142145,142145,0.0008483501980390154,1.0,1.0,0.0008940717241505729,1.0,1.0,5.113854389590049,0.0008186086731139605,1.0,1.0,0.0008664050061947207,1.0,1.0,5.51662706690527
classification,openml-banknote-1462,ft_transformer,qple,20261234,20261335,20261436,7713,7713,7713,7713,0.0532378694261435,1.0,1.0,0.05335741829397954,1.0,1.0,0.22405294644760815,0.05471688487025999,1.0,1.0,0.05478897023204933,1.0,1.0,0.13156911233052165
classification,openml-qsar-biodeg-1494,mlp,qple,20261234,20261335,20261436,117415,117415,117415,117415,0.2832263971304319,0.9420523138832998,0.8815165876777251,0.29428121890110165,0.938128772635815,0.8767772511848341,3.7565502181724035,0.435158406608841,0.8876760563380282,0.8151658767772512,0.4314998365101133,0.8890845070422535,0.8151658767772512,-0.8478728817877355
classification,openml-qsar-biodeg-1494,resnet,qple,20261234,20261335,20261436,233453,233453,233453,233453,0.29345994536526776,0.9429074446680081,0.8862559241706162,0.29727056534004714,0.9407444668008048,0.8625592417061612,1.2818692528203806,0.4061870119035282,0.8777162977867202,0.8388625592417062,0.39194095714819815,0.8840040241448693,0.8341232227488151,-3.6347451052285416
classification,openml-qsar-biodeg-1494,ft_transformer,qple,20261234,20261335,20261436,23321,23321,23321,23321,0.32539710760039886,0.9348591549295774,0.8720379146919431,0.32477986373679685,0.9339034205231387,0.8862559241706162,-0.1900499176581434,0.41465535056750713,0.8597585513078471,0.8341232227488151,0.4058527200329091,0.8721327967806841,0.8293838862559242,-2.168922394775188
