dataset,model,task,method,brier,logloss,accuracy,roc_auc,mse,r2
compustat_kor_direction,onehot_adam_mlp,binclass,strength2,0.49512830372036254,0.6882421733338164,0.5425494791666666,0.5229975994638472,,
compustat_kor_direction,onehot_adam_mlp,binclass,iid16,0.4952306726483343,0.6883465455889084,0.5423359375000001,0.5229550761193638,,
compustat_kor_direction,onehot_adam_mlp,binclass,four_strength1,0.49523886813398676,0.6883538404601,0.5423489583333334,0.5228835289048362,,
compustat_kor_direction,onehot_adam_mlp,binclass,four_seed_blocks,0.49518091628110095,0.6882948333527099,0.5426197916666666,0.5231978440055993,,
credit_card_default,onehot_adam_mlp,binclass,strength2,0.27816458880782907,0.4399838543243828,0.8146223958333334,0.7693503998403284,,
credit_card_default,onehot_adam_mlp,binclass,iid16,0.27826534909153267,0.44019722409891066,0.8140651041666667,0.7690406187819916,,
credit_card_default,onehot_adam_mlp,binclass,four_strength1,0.2782551432965368,0.44016588094104164,0.8140625000000001,0.7691897057694081,,
credit_card_default,onehot_adam_mlp,binclass,four_seed_blocks,0.27828891679694123,0.4401853215507787,0.8142526041666667,0.7691868039985323,,
credit_card_fraud,native_histgb,binclass,strength2,0.0015076151617358503,0.006101337771337032,0.9991822916666665,0.9260246243739565,,
credit_card_fraud,native_histgb,binclass,iid16,0.0015154281496981502,0.006118237015257948,0.9991588541666665,0.9256849958263773,,
credit_card_fraud,native_histgb,binclass,four_strength1,0.0015043395005775789,0.006096835715597544,0.9991953124999999,0.9258683743739566,,
credit_card_fraud,native_histgb,binclass,four_seed_blocks,0.0015190956452283797,0.0061240163998269575,0.9991328124999999,0.9260084515859766,,
credit_card_fraud,catboost_native,binclass,strength2,0.0014389726984360264,0.005869479772851887,0.999333333333333,0.9598946160267112,,
credit_card_fraud,catboost_native,binclass,iid16,0.0014379542061072445,0.005893067347551069,0.999333333333333,0.9584380217028381,,
credit_card_fraud,catboost_native,binclass,four_strength1,0.001439488392206204,0.005875395308401537,0.999333333333333,0.9595335976627712,,
credit_card_fraud,catboost_native,binclass,four_seed_blocks,0.0014405655691672222,0.005894531646061759,0.999333333333333,0.9589466819699499,,
credit_card_fraud,onehot_adam_mlp,binclass,strength2,0.0015610966568481376,0.005929135466321917,0.9993229166666663,0.856521285475793,,
credit_card_fraud,onehot_adam_mlp,binclass,iid16,0.001566873263719795,0.005954187315136708,0.9993203124999996,0.8557423831385643,,
credit_card_fraud,onehot_adam_mlp,binclass,four_strength1,0.001565864064610443,0.00595316852140519,0.9993281249999997,0.8565087646076796,,
credit_card_fraud,onehot_adam_mlp,binclass,four_seed_blocks,0.001559888867346773,0.005947431966010242,0.9993229166666664,0.8569396911519198,,
