dataset,model,task,method,brier,logloss,accuracy,roc_auc,mse,r2
heloc_credit_risk,ordinal_forest,binclass,strength2,0.3622599235286093,0.5424697882234211,0.7360621030345803,0.8043712123928711,,
heloc_credit_risk,ordinal_forest,binclass,iid16,0.3623790021323431,0.5426177626688043,0.7352957392378263,0.8043578430859858,,
heloc_credit_risk,ordinal_forest,binclass,four_strength1,0.36237679267779493,0.542603717825798,0.7350255822159493,0.8043661385930521,,
heloc_credit_risk,ordinal_forest,binclass,four_seed_blocks,0.36236083462150603,0.5425894847238963,0.7348546665490474,0.8043487693887633,,
heloc_credit_risk,onehot_adam_mlp,binclass,strength2,0.3659423944180602,0.5473062788314655,0.7338016055045872,0.7982175492214614,,
heloc_credit_risk,onehot_adam_mlp,binclass,iid16,0.366039699670267,0.5474611105101879,0.7344301340860974,0.7981229524260607,,
heloc_credit_risk,onehot_adam_mlp,binclass,four_strength1,0.3658938626938212,0.5472680108237724,0.7343308927311221,0.7982715400545057,,
heloc_credit_risk,onehot_adam_mlp,binclass,four_seed_blocks,0.3659712441856363,0.5473542744046418,0.7345128352152435,0.7981850053091245,,
kdd17_stock_direction,ordinal_forest,binclass,strength2,0.5002242988704915,0.6934002157857863,0.5162994791666666,0.5224347331701948,,
kdd17_stock_direction,ordinal_forest,binclass,iid16,0.5002810832144855,0.6934580768526637,0.5165677083333333,0.5221803470604623,,
kdd17_stock_direction,ordinal_forest,binclass,four_strength1,0.5002559759074118,0.6934328783864048,0.5160755208333334,0.522314540675429,,
kdd17_stock_direction,ordinal_forest,binclass,four_seed_blocks,0.500297741223402,0.6934759765721763,0.5166015625,0.5223161996170906,,
kdd17_stock_direction,onehot_adam_mlp,binclass,strength2,0.5126903441981001,0.7070990470951826,0.5128880208333333,0.5184135350156134,,
kdd17_stock_direction,onehot_adam_mlp,binclass,iid16,0.5126688220814088,0.7070645544870668,0.5129791666666667,0.5181972819816436,,
kdd17_stock_direction,onehot_adam_mlp,binclass,four_strength1,0.5128607301802742,0.7072780073006284,0.5130234375,0.518045447997491,,
kdd17_stock_direction,onehot_adam_mlp,binclass,four_seed_blocks,0.5130194399028143,0.7074759294734191,0.5126666666666667,0.5183274489717188,,
kdd17_stock_return,ordinal_forest,regression,strength2,,,,,0.5548218035406738,-0.007564650347487057
kdd17_stock_return,ordinal_forest,regression,iid16,,,,,0.5550709297479492,-0.008017067246613914
kdd17_stock_return,ordinal_forest,regression,four_strength1,,,,,0.5549050670649118,-0.0077158581463696654
kdd17_stock_return,ordinal_forest,regression,four_seed_blocks,,,,,0.5549145582007056,-0.007733094190188595
kdd17_stock_return,onehot_adam_mlp,regression,strength2,,,,,0.5725100291289016,-0.039686731196394834
kdd17_stock_return,onehot_adam_mlp,regression,iid16,,,,,0.5727684460555913,-0.04015602018021318
kdd17_stock_return,onehot_adam_mlp,regression,four_strength1,,,,,0.5733164393195552,-0.04115118410108824
kdd17_stock_return,onehot_adam_mlp,regression,four_seed_blocks,,,,,0.5732752872455732,-0.041076451322440935
polish_bankruptcy_1year,ordinal_forest,binclass,strength2,0.056917207524330264,0.1155835898100903,0.9647954329210275,0.8699589471142238,,
polish_bankruptcy_1year,ordinal_forest,binclass,iid16,0.056933031510193466,0.11563592088211812,0.9646095980019029,0.8693246649360058,,
polish_bankruptcy_1year,ordinal_forest,binclass,four_strength1,0.056911122460206194,0.11554183624327548,0.9646318981921979,0.869756040962328,,
polish_bankruptcy_1year,ordinal_forest,binclass,four_seed_blocks,0.05694760958676834,0.11570338630741037,0.9645575642245481,0.8688986657812123,,
polish_bankruptcy_1year,catboost_native,binclass,strength2,0.03960661055115998,0.08332579544924015,0.9790675547098003,0.9296063752716733,,
polish_bankruptcy_1year,catboost_native,binclass,iid16,0.03966098972499729,0.08348040600886784,0.9789857873453855,0.9289171924052162,,
polish_bankruptcy_1year,catboost_native,binclass,four_strength1,0.039628882876647085,0.08342070720882047,0.9789932207421506,0.9289413411615552,,
polish_bankruptcy_1year,catboost_native,binclass,four_seed_blocks,0.039612715737373294,0.08336369160338408,0.9790452545195054,0.929029257727602,,
polish_bankruptcy_1year,onehot_adam_mlp,binclass,strength2,0.13484110198737287,0.28748324469212494,0.9609895337773545,0.47298716342670855,,
polish_bankruptcy_1year,onehot_adam_mlp,binclass,iid16,0.13269297338431235,0.2830669998494937,0.9609895337773545,0.47800086029944455,,
polish_bankruptcy_1year,onehot_adam_mlp,binclass,four_strength1,0.13580781180016652,0.28808744341893355,0.9609895337773545,0.4753980771552765,,
polish_bankruptcy_1year,onehot_adam_mlp,binclass,four_seed_blocks,0.13415784216967858,0.2856422221159025,0.9609895337773545,0.47226892658778075,,
polish_bankruptcy_2year,ordinal_forest,binclass,strength2,0.06165258474343413,0.12567089278698676,0.9612860892388452,0.8451161202185792,,
polish_bankruptcy_2year,ordinal_forest,binclass,iid16,0.06168392268216677,0.12576668189476226,0.9610707841207349,0.8450198870104735,,
polish_bankruptcy_2year,ordinal_forest,binclass,four_strength1,0.061650076193128615,0.12573045336543398,0.9611630577427821,0.8450859695184426,,
polish_bankruptcy_2year,ordinal_forest,binclass,four_seed_blocks,0.061686080262596074,0.12570478191257878,0.9610912893700787,0.8452960016080373,,
polish_bankruptcy_2year,catboost_native,binclass,strength2,0.040836763562133074,0.08427773717812849,0.975721784776903,0.9346994535519126,,
polish_bankruptcy_2year,catboost_native,binclass,iid16,0.0408620818215488,0.08437412624426405,0.975609005905512,0.9339076196778233,,
polish_bankruptcy_2year,catboost_native,binclass,four_strength1,0.04087504851266603,0.08437188854074054,0.9755628690944883,0.934091636782787,,
polish_bankruptcy_2year,catboost_native,binclass,four_seed_blocks,0.040874250388666905,0.08435736840403894,0.9756397637795278,0.9343883410177596,,
polish_bankruptcy_2year,onehot_adam_mlp,binclass,strength2,0.1170260823271,0.2755152829358508,0.9606299212598425,0.500057544256603,,
polish_bankruptcy_2year,onehot_adam_mlp,binclass,iid16,0.11629323948682321,0.27420910489074146,0.9606299212598425,0.5019429858265028,,
polish_bankruptcy_2year,onehot_adam_mlp,binclass,four_strength1,0.11722069865875503,0.2757723271050157,0.9606299212598425,0.4993118703039618,,
polish_bankruptcy_2year,onehot_adam_mlp,binclass,four_seed_blocks,0.11729626010113625,0.27572254110134864,0.9606299212598425,0.4995397793573543,,
polish_bankruptcy_3year,ordinal_forest,binclass,strength2,0.07261948712228092,0.14231656743342264,0.9556681443951868,0.8630959863518002,,
polish_bankruptcy_3year,ordinal_forest,binclass,iid16,0.07263222786921916,0.14245969038645429,0.9554405478150729,0.8627305799362486,,
polish_bankruptcy_3year,ordinal_forest,binclass,four_strength1,0.07261652743982223,0.14244518961486427,0.9554949730842305,0.8627841387379904,,
polish_bankruptcy_3year,ordinal_forest,binclass,four_seed_blocks,0.07263972465505746,0.14243128222111043,0.9556533011399619,0.8627533783783783,,
polish_bankruptcy_3year,catboost_native,binclass,strength2,0.04914749616173631,0.09784905011902102,0.9708676377454085,0.9301517464308162,,
polish_bankruptcy_3year,catboost_native,binclass,iid16,0.049186091253753644,0.09794254912281447,0.9709962792906903,0.9299164665080363,,
polish_bankruptcy_3year,catboost_native,binclass,four_strength1,0.04917868353914577,0.09794235556381953,0.9710309135528816,0.9299434738933285,,
polish_bankruptcy_3year,catboost_native,binclass,four_seed_blocks,0.0491431026303915,0.09787836009012454,0.9711447118429386,0.9298277981054144,,
polish_bankruptcy_3year,onehot_adam_mlp,binclass,strength2,0.12102668914645787,0.27674127413236527,0.9531348955034832,0.49942428672443206,,
polish_bankruptcy_3year,onehot_adam_mlp,binclass,iid16,0.12109290889300027,0.2767974177550144,0.9531348955034832,0.49899423795681064,,
polish_bankruptcy_3year,onehot_adam_mlp,binclass,four_strength1,0.12124147620344419,0.2771112747840801,0.9531348955034832,0.49791622238933286,,
polish_bankruptcy_3year,onehot_adam_mlp,binclass,four_seed_blocks,0.12051478091012455,0.27574395908133836,0.9531348955034832,0.4987346163127413,,
polish_bankruptcy_4year,ordinal_forest,binclass,strength2,0.07939113629625338,0.14959779734831075,0.948509485094851,0.879186383478229,,
polish_bankruptcy_4year,ordinal_forest,binclass,iid16,0.07942858266906688,0.1497178725844925,0.9485518292682928,0.878702347217637,,
polish_bankruptcy_4year,ordinal_forest,binclass,four_strength1,0.07940510288231471,0.14967203775820628,0.9485941734417345,0.8787584455586737,,
polish_bankruptcy_4year,ordinal_forest,binclass,four_seed_blocks,0.07942081932337126,0.14965325398303586,0.948509485094851,0.8789450101564507,,
polish_bankruptcy_4year,catboost_native,binclass,strength2,0.04673440446582666,0.09525728430185133,0.974254742547426,0.9390704669674629,,
polish_bankruptcy_4year,catboost_native,binclass,iid16,0.04677886708862487,0.09531943807274998,0.9737836636178862,0.9390021172645904,,
polish_bankruptcy_4year,catboost_native,binclass,four_strength1,0.04682908726586897,0.09545571443208128,0.9736989752710026,0.9387818793331133,,
polish_bankruptcy_4year,catboost_native,binclass,four_seed_blocks,0.04677984755666123,0.09532633010628563,0.973852472899729,0.9389222326537912,,
polish_bankruptcy_4year,onehot_adam_mlp,binclass,strength2,0.125980680002595,0.2659288009529197,0.9471544715447154,0.5157631323135614,,
polish_bankruptcy_4year,onehot_adam_mlp,binclass,iid16,0.12729285442561775,0.2682721284372368,0.9471544715447154,0.513583679523862,,
polish_bankruptcy_4year,onehot_adam_mlp,binclass,four_strength1,0.12582249361565345,0.26528031910476874,0.9471544715447154,0.5161685735803896,,
polish_bankruptcy_4year,onehot_adam_mlp,binclass,four_seed_blocks,0.12564309542141183,0.2646087697108622,0.9471544715447154,0.5175484638081875,,
polish_bankruptcy_5year,catboost_native,binclass,strength2,0.059455180921651585,0.10816002790785323,0.9615384615384616,0.9595442503436048,,
polish_bankruptcy_5year,catboost_native,binclass,iid16,0.059487955126004494,0.10826025943512396,0.9616003252262442,0.9594558592116009,,
polish_bankruptcy_5year,catboost_native,binclass,four_strength1,0.059504567886277546,0.10833354794993666,0.9613793834841627,0.9592796994203534,,
polish_bankruptcy_5year,catboost_native,binclass,four_seed_blocks,0.05953998963093171,0.10826639309590584,0.9619449943438914,0.9594916513953349,,
polish_bankruptcy_5year,onehot_adam_mlp,binclass,strength2,0.1271492306282585,0.2570414538810387,0.9307480203619908,0.737273855646077,,
polish_bankruptcy_5year,onehot_adam_mlp,binclass,iid16,0.127256576019675,0.2558287527858327,0.9304917279411764,0.7401333398900465,,
polish_bankruptcy_5year,onehot_adam_mlp,binclass,four_strength1,0.12740275291329445,0.2569460639658298,0.9305977799773754,0.738526270840388,,
polish_bankruptcy_5year,onehot_adam_mlp,binclass,four_seed_blocks,0.1265396540908289,0.25556289235119395,0.9304387019230768,0.7385927198075812,,
