dataset,model,task,split,checked_orbit_views,unique_canonical_input_digests,canonical_mean_member_loss,canonical_seed_ensemble_loss,raw_identity_mean_member_loss,raw_identity_seed_ensemble_loss,raw_full_quotient_loss,raw_full_mean_member_loss,raw_joint_schema_seed_risk,raw_ambiguity_identity_error,canonical_vs_raw_identity_member_relative_loss,canonical_vs_raw_identity_seed_ensemble_relative_loss,canonical_vs_raw_full_quotient_relative_loss
australian_credit_approval,ordinal_forest,binclass,validation,32,1,0.23118156858325836,0.23023584894397905,0.2338657268566764,0.23282823310379042,0.23045050122206584,0.23249690993693167,0.0020464087148658206,1.214306433183765e-17,-0.01147734774776556,-0.011134320461280682,-0.0009314463494264351
australian_credit_approval,ordinal_forest,binclass,test,32,1,0.2053517004577855,0.20443766085327666,0.20404796228423744,0.20316085067924522,0.2076558056920749,0.20945317489557502,0.0017973692035001669,4.0332320816460765e-17,0.0063893711995612334,0.006284725476205556,-0.015497495136592999
australian_credit_approval,native_histgb,binclass,validation,32,1,0.25481146780724856,0.25481146780724856,0.25481146780724856,0.25481146780724856,0.2523746636550558,0.25449527248400633,0.0021206088289506147,7.155734338404329e-17,0.0,0.0,0.009655502326982326
australian_credit_approval,native_histgb,binclass,test,32,1,0.24311123330709555,0.24311123330709555,0.24311123330709555,0.24311123330709555,0.24506284041912504,0.2460873465223138,0.0010245061031887075,3.621235256101585e-17,0.0,0.0,-0.007963700692817011
australian_credit_approval,catboost_native,binclass,validation,32,1,0.21764431995617325,0.2168746421481715,0.21670798272912115,0.215763265905966,0.2148467166366409,0.2159851580308683,0.0011384413942273812,9.540979117872439e-18,0.004320732514143255,0.005150905727807546,0.009438941135695057
australian_credit_approval,catboost_native,binclass,test,32,1,0.1911272419014981,0.19046294567393382,0.19238800078496204,0.19168939958340195,0.1946600688770113,0.19549596084668383,0.0008358919696725482,6.179952383167375e-18,-0.006553209546956779,-0.006398131102364435,-0.021561295171066978
australian_credit_approval,onehot_adam_mlp,binclass,validation,32,1,0.27949177397155855,0.24091844946575433,0.25156347975868354,0.24097783667337536,0.2349666198026178,0.2625535445762853,0.02758692477366755,1.734723475976807e-17,0.11101887380340619,-0.0002464426124860594,0.02533053277157553
australian_credit_approval,onehot_adam_mlp,binclass,test,32,1,0.2784297361705266,0.2343694790126009,0.23877199984236136,0.22673528612282243,0.22714147995969913,0.2578296033730295,0.030688123413330423,4.163336342344337e-17,0.1660903973428521,0.03367006971135073,0.03182157241462113
bank_marketing_subscription,ordinal_forest,binclass,validation,32,1,0.1600106098667896,0.15956204833964416,0.15880645027113732,0.15836144922624465,0.15799694447699794,0.15945960004287799,0.0014626555658800741,2.970713952610282e-17,0.007582560995453096,0.007581384985207232,0.009905912217650975
bank_marketing_subscription,ordinal_forest,binclass,test,32,1,0.16214132338122283,0.16169163658350724,0.16257344375733981,0.16211787168597172,0.16094588373429145,0.16236993595810995,0.0014240522238184866,1.3877787807814457e-17,-0.0026580010002246737,-0.002629167888967303,0.004633562734956145
bank_marketing_subscription,native_histgb,binclass,validation,32,1,0.15533290444079856,0.1546724579733656,0.15488289347933137,0.15414810962155623,0.15428401715051712,0.155107898960065,0.0008238818095478578,1.3877787807814457e-17,0.0029054916999419105,0.0034015879474401404,0.002517699694515452
bank_marketing_subscription,native_histgb,binclass,test,32,1,0.15959115755434006,0.15897238607601502,0.1596629365879819,0.15891389372857884,0.15883689911646043,0.159627047071161,0.0007901479547005421,1.7564075194265172e-17,-0.00044956603690099163,0.0003680757299678768,0.0008529942369074619
bank_marketing_subscription,catboost_native,binclass,validation,32,1,0.16075880484983396,0.16054663633456756,0.16009502922530444,0.15987072047696102,0.15975771130594651,0.16000959845485468,0.00025188714890818186,1.2088854223213374e-17,0.004146135128251697,0.004227890232745569,0.004938259456598014
bank_marketing_subscription,catboost_native,binclass,test,32,1,0.1615600558808738,0.16134357849843617,0.1618461702202346,0.1616378606250365,0.16122347692457326,0.16147682535405233,0.00025334842947908134,3.577867169202165e-18,-0.0017678165567431043,-0.0018206262162983509,0.0007449384925441179
bank_marketing_subscription,onehot_adam_mlp,binclass,validation,32,1,0.16052302819950667,0.15757545995775069,0.16027556267469353,0.1586626046991026,0.15742297307210804,0.1607381935344399,0.003315220462331878,3.0357660829594124e-18,0.0015440003496691068,-0.006851927985259261,0.0009686444276008099
bank_marketing_subscription,onehot_adam_mlp,binclass,test,32,1,0.16655769457860697,0.16360103914120808,0.16641907205092984,0.16471121103358674,0.16309928407166283,0.1664152648808938,0.0033159808092309943,1.0408340855860843e-17,0.0008329726032525043,-0.006740111285759934,0.003076378123921066
german_credit_risk,ordinal_forest,binclass,validation,32,1,0.34143456638513847,0.34033602583373956,0.32252452081246447,0.32119169234072054,0.3262237268921305,0.3310952153186707,0.004871488426540316,8.933825901280557e-17,0.05863134227759838,0.059604074294395806,0.04325957242918594
german_credit_risk,ordinal_forest,binclass,test,32,1,0.3292037232656589,0.3279616717779906,0.33580717097631696,0.3343828183580203,0.3312898943207847,0.33609873284109937,0.004808838520314675,1.3010426069826053e-17,-0.01966440350710612,-0.019202980020207327,-0.010046254352604533
german_credit_risk,native_histgb,binclass,validation,32,1,0.3857694644617972,0.3857694644617972,0.38258055629780985,0.38258055629780985,0.3804030469254828,0.38374195901377073,0.003338912088287927,2.2985086056692694e-17,0.008335259363011244,0.008335259363011244,0.014107188624505477
german_credit_risk,native_histgb,binclass,test,32,1,0.36900676207996963,0.36900676207996963,0.3658078637143777,0.3658078637143777,0.36364946531673026,0.36867926024304104,0.005029794926310743,3.903127820947816e-17,0.008744750134976997,0.008744750134976997,0.0147320353092594
german_credit_risk,catboost_native,binclass,validation,32,1,0.3339626230915298,0.3286248141241371,0.3212276321715888,0.3159834797595008,0.32070272705727043,0.326867902425233,0.0061651753679626605,8.847089727481716e-17,0.03964475544600229,0.040006314172683195,0.024702275342522846
german_credit_risk,catboost_native,binclass,test,32,1,0.3251745912353183,0.31977406709473644,0.3205586513664004,0.3141521374877547,0.3150226778622747,0.32186958575645336,0.006846907894178606,2.688821387764051e-17,0.014399673349142742,0.017895563760729937,0.015082689489862628
german_credit_risk,onehot_adam_mlp,binclass,validation,32,1,0.3574454123385377,0.33723524199042987,0.3306282188969828,0.32317591644887755,0.318560068797876,0.3350215570008147,0.016461488202938763,7.28583859910259e-17,0.08110981431355267,0.0435036301468223,0.058623710319459746
german_credit_risk,onehot_adam_mlp,binclass,test,32,1,0.3439241584000996,0.3227125168160071,0.3223111529135348,0.3153187208721409,0.3111351612200444,0.3278036675070552,0.016668506287010814,3.8163916471489756e-17,0.06705633761411553,0.023448642451090972,0.03721005221835026
lendingclub_loan_default,ordinal_forest,binclass,validation,32,1,0.2549176690724303,0.25400553966434275,0.2567539116095039,0.25584137392492556,0.25486994921633016,0.2562346913319685,0.001364742115638455,9.280770596475918e-17,-0.007151760709555734,-0.007175673865484804,-0.0033915710920227457
lendingclub_loan_default,ordinal_forest,binclass,test,32,1,0.2609685908783674,0.2600633008092531,0.26011229859844076,0.25924876989208606,0.25902198961440165,0.26036688758849647,0.0013448979740947943,2.211772431870429e-17,0.003292009968542684,0.0031418892267303647,0.004020165223816042
lendingclub_loan_default,native_histgb,binclass,validation,32,1,0.26196673583773317,0.26196673583773317,0.2595498875503116,0.2595498875503116,0.2596543854841913,0.2607583116940224,0.0011039262098311456,1.5829351718288365e-17,0.009311690751370762,0.009311690751370762,0.008905493158645939
lendingclub_loan_default,native_histgb,binclass,test,32,1,0.26638945070626724,0.26638945070626724,0.269120711877785,0.269120711877785,0.26670848113276685,0.2677550812920262,0.0010466001592592535,8.304988641238964e-17,-0.01014883303652275,-0.01014883303652275,-0.0011961765338118315
lendingclub_loan_default,catboost_native,binclass,validation,32,1,0.252802945891015,0.25245028317983786,0.2525647718647439,0.252183989279726,0.25240390917443495,0.2528644193970051,0.00046051022257016637,1.2305694657710475e-17,0.0009430215643796345,0.0010559508590232904,0.0001837293469605782
lendingclub_loan_default,catboost_native,binclass,test,32,1,0.2578353780198688,0.25749500825187216,0.2570686081368143,0.25671087255917635,0.2568986865453801,0.25735002725420697,0.0004513407088268931,4.027811070783649e-17,0.0029827441343844726,0.003054548040286263,0.002321232990759976
lendingclub_loan_default,onehot_adam_mlp,binclass,validation,32,1,0.26120850439671844,0.2562090729915178,0.25617907025850284,0.25250156706881555,0.2526734998811051,0.2569481802162632,0.004274680335158121,2.2551405187698492e-17,0.01963249430619195,0.014683100646626174,0.013992654995780517
lendingclub_loan_default,onehot_adam_mlp,binclass,test,32,1,0.2618168007798914,0.2565910754769338,0.25801924220506345,0.25423451056628676,0.25472082902397275,0.2593304758110044,0.0046096467870316475,1.8214596497756474e-17,0.0147181215725368,0.009269256582821923,0.007342338120236965
fremtpl_claim_count,ordinal_forest,regression,validation,16,1,0.9172415905890885,0.9143536238007695,0.9161710486521293,0.9133480347603563,0.9103540912349002,0.916026851205807,0.005672759970906701,7.025630077706069e-17,0.0011684957067069452,0.001100992176193812,0.004393381217679684
fremtpl_claim_count,ordinal_forest,regression,test,16,1,0.9600814540460685,0.9571260938904106,0.959692899152202,0.956743387359647,0.9529853130201138,0.9590122455872704,0.006026932567156688,1.0408340855860843e-16,0.00040487419903775237,0.0004000095906800267,0.004345062629742116
fremtpl_claim_count,native_histgb,regression,validation,16,1,0.9053119543615875,0.9019710136133426,0.9053119543615875,0.9019710136133426,0.9019710136133426,0.9053119543615875,0.0033409407482448946,2.5153490401663703e-17,0.0,0.0,0.0
fremtpl_claim_count,native_histgb,regression,test,16,1,0.9414461600799993,0.937569200486142,0.9414461600799993,0.937569200486142,0.937569200486142,0.9414461600799992,0.0038769595938573094,1.6609977282477928e-16,0.0,0.0,0.0
fremtpl_claim_count,catboost_native,regression,validation,16,1,0.903034608354,0.9025197389236661,0.9042557285167682,0.903745016580527,0.9031925000069271,0.903885845453106,0.0006933454461790602,1.212138028838794e-16,-0.0013504146274762182,-0.0013557780506463146,-0.0007448700949751195
fremtpl_claim_count,catboost_native,regression,test,16,1,0.9353137927352695,0.9346359744141608,0.9350709480674042,0.9344223076451175,0.934763885390106,0.9355656053815546,0.0008017199914486593,3.5344990823027445e-17,0.00025970721084554277,0.00022866188798703035,-0.0001368377383255892
fremtpl_claim_count,onehot_adam_mlp,regression,validation,16,1,0.9173292791257006,0.9119326135586097,0.9196596708420041,0.9149260977008161,0.912691805900056,0.9187444603486359,0.00605265444857983,8.673617379884035e-19,-0.0025339718487055476,-0.003271831626323702,-0.0008318167606399283
fremtpl_claim_count,onehot_adam_mlp,regression,test,16,1,0.9552364864946404,0.9496043135987746,0.9539428765015019,0.9489491289920159,0.9469685658662922,0.9533263112199096,0.0063577453536175586,1.196959198423997e-16,0.0013560665161448042,0.0006904317489122667,0.0027833529300639805
