comparison,source,action_rmse,control_rmse,percent_reduction
pair32,compustat_kor_direction,0.0001426884589824369,0.00015756647149022532,9.44237207768619
pair32,kdd17_stock_direction,0.00037045089884159857,0.0004009601311158556,7.609043869112641
pair32,openml-colic-25,0.002587268574300959,0.0027704047208596803,6.610447389863405
pair32,openml-credit-approval-29,0.0020009366247901866,0.002196552022624319,8.905566352142301
pair32,openml-credit-g-31,0.0006350085071542836,0.0007048312596948323,9.90630758499269
pair32,openml-hepatitis-55,0.0045029129641415335,0.004671383577551901,3.606439304619391
pair32,openml-kr-vs-kp-3,0.00029974064384235785,0.00032855836723396536,8.770960129311367
pair32,openml-mushroom-24,2.736056298795696e-05,2.9743192179379252e-05,8.010670734508963
pair32,openml-sick-38,0.00022265475384936135,0.0002391677946612078,6.904374744617236
pair32,openml-tic-tac-toe-50,0.007212204057232705,0.007602309723926274,5.131409806493592
pair32,openml-vote-56,0.004801226220226774,0.005344583017624607,10.166495601359882
pack64,compustat_kor_direction,8.011581974729514e-05,0.00010067208088352584,20.419028747417666
pack64,kdd17_stock_direction,0.00020793432940592526,0.00026285591785053645,20.894179934666855
pack64,openml-colic-25,0.0015047764813716942,0.0019407441757051539,22.46394449052278
pack64,openml-credit-approval-29,0.001179822006103487,0.0014132390604223073,16.516459306542952
pack64,openml-credit-g-31,0.0003315881460374638,0.00043730872144602816,24.175272576083795
pack64,openml-hepatitis-55,0.0024587682362143667,0.0030721991366008,19.9671594552024
pack64,openml-kr-vs-kp-3,0.00017862307326700408,0.00021698827896103135,17.680773301546505
pack64,openml-mushroom-24,1.5437462573614427e-05,1.8908437885774677e-05,18.35675338771141
pack64,openml-sick-38,0.00012064373205174178,0.0001495923122775269,19.351649683761217
pack64,openml-tic-tac-toe-50,0.0042480078062836065,0.005136540276150373,17.29826735696668
pack64,openml-vote-56,0.002817838235406507,0.003514047928395773,19.812185467461706
unbiased_pair_cross64,compustat_kor_direction,9.948368488266802e-05,0.00010775583535549181,7.676754066759872
unbiased_pair_cross64,kdd17_stock_direction,0.00026395715246882245,0.0002819283197991379,6.37437464356867
unbiased_pair_cross64,openml-colic-25,0.0018585404855049935,0.0020565831233766672,9.629692844435633
unbiased_pair_cross64,openml-credit-approval-29,0.0014481808861111433,0.0014945011272907273,3.099378135870301
unbiased_pair_cross64,openml-credit-g-31,0.0004400654458708724,0.0004684917735874781,6.067625798192989
unbiased_pair_cross64,openml-hepatitis-55,0.0032077709837758004,0.0035283939824621996,9.086938711494474
unbiased_pair_cross64,openml-kr-vs-kp-3,0.00022354179230523082,0.00023557936504526176,5.109773828330921
unbiased_pair_cross64,openml-mushroom-24,1.8954346646893405e-05,2.098088409131831e-05,9.658970687815138
unbiased_pair_cross64,openml-sick-38,0.0001583438860054084,0.00017408295421333142,9.04113115442392
unbiased_pair_cross64,openml-tic-tac-toe-50,0.005048134812285307,0.0053645256480690405,5.897834338766161
unbiased_pair_cross64,openml-vote-56,0.003434549365063973,0.0037873797722620065,9.31595003442991
