source_group,material_cells,strength3_residual,iid64_residual,four_strength2_residual,sixteen_strength1_residual,sixteen_seed_blocks_residual,beats_all
credit_card_default,1,5.238898778767848e-19,5.4981154639576556e-05,1.752299174912272e-05,4.4783820539207294e-05,4.8580911559365445e-05,True
credit_card_fraud,2,6.406348408100689e-20,1.170375473363512e-06,2.116096572225391e-07,9.152894481053361e-07,1.176978222058658e-06,True
heloc,2,2.8010320774515644e-19,4.6760225614233126e-05,1.3888964083306961e-05,3.723510381568151e-05,3.447709641565904e-05,True
kdd17_stock,2,0.0,0.00024489255741597327,8.80467057370257e-05,0.00018935950461543172,0.00020610763912731105,True
polish_bankruptcy,3,7.735572507099234e-20,2.5031685938704032e-05,1.1287137917870544e-06,2.3591109217266346e-05,1.3025547770778028e-05,True
