task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_loss,heterobag_val_rmse,ttt_val_loss,ttt_val_rmse,relative_val_rmse_gain_pct,heterobag_test_loss,heterobag_test_rmse,ttt_test_loss,ttt_test_rmse,relative_test_rmse_gain_pct
regression,openml-abalone-183,mlp,midrank,20260931,20261032,20261133,37479,37479,37479,37289,0.4057433307170868,2.069672254050949,0.40700745582580566,2.0728938596726962,0.15541585048913303,0.44407182931900024,2.165222315325466,0.44891539216041565,2.176998505174347,0.5409369745036982
regression,openml-abalone-183,resnet,midrank,20260931,20261032,20261133,153415,153415,153415,153623,0.4062298536300659,2.0709127443125044,0.4079354703426361,2.0752557086695798,0.2092736976427639,0.44577354192733765,2.1693669859886913,0.4536495804786682,2.1884475345651526,0.8718759885761979
regression,openml-abalone-183,ft_transformer,midrank,20260931,20261032,20261133,11167,11167,11167,11177,0.4230641722679138,2.1133868783381535,0.42147862911224365,2.109422927030179,-0.18791638495913732,0.45758071541786194,2.1979091604399557,0.45359575748443604,2.1883177071630646,-0.43830259406552985
regression,openml-kin8nm-189,mlp,midrank,20260931,20261032,20261133,35329,35329,35329,35329,0.11030515283346176,0.08728119161507564,0.1190623864531517,0.09067969654445501,3.7478124198544105,0.11213494837284088,0.08800214546408708,0.1211187019944191,0.09145940474432748,3.780102538284704
regression,openml-kin8nm-189,resnet,midrank,20260931,20261032,20261133,151425,151425,151425,151425,0.07672569900751114,0.07279359924492297,0.07778587937355042,0.07329479751939473,0.6838115274677384,0.08044526726007462,0.07453718996947808,0.08338416367769241,0.0758865056220187,1.77807060883971
regression,openml-kin8nm-189,ft_transformer,midrank,20260931,20261032,20261133,8801,8801,8801,8801,0.12578512728214264,0.09320461423768656,0.13168030977249146,0.09536372051862675,2.2640751317147614,0.12853319942951202,0.0942172503459846,0.13657636940479279,0.09712041922436773,2.9892466502602537
regression,openml-pol-201,mlp,midrank,20260931,20261032,20261133,159839,159839,159839,159839,0.00871363840997219,3.901798230588611,0.010213775560259819,4.224333483546693,7.635174974095217,0.009528748691082,4.080214331817503,0.01119490060955286,4.422574540828616,7.741197030157186
regression,openml-pol-201,resnet,midrank,20260931,20261032,20261133,276323,276323,276323,276323,0.005507901310920715,3.1021165839180633,0.006354751065373421,3.3320714980552077,6.901259900075961,0.005614271387457848,3.131927797960939,0.0061299726366996765,3.27261041639638,4.298789056301822
regression,openml-pol-201,ft_transformer,midrank,20260931,20261032,20261133,32353,32353,32353,32353,0.007401918992400169,3.5961450806770148,0.00820318702608347,3.7857884946535596,5.009350475980546,0.007402853574603796,3.5963721020153874,0.008591574616730213,3.874372946776685,7.175376469438308
regression,openml-puma32h-308,mlp,midrank,20260931,20261032,20261133,91009,91009,91009,91009,0.06608548015356064,0.007746642348354023,0.0663871169090271,0.007764301384675075,0.22743883121160943,0.06633741408586502,0.007761394345069837,0.06708908081054688,0.0078052425170284274,0.5617784695725794
regression,openml-puma32h-308,resnet,midrank,20260931,20261032,20261133,207105,207105,207105,207105,0.06711118668317795,0.00780652832601595,0.06896700710058212,0.007913728937090565,1.3546156549813062,0.06781814247369766,0.007847537974686326,0.06957056373357773,0.007948281538978958,1.267488623780854
regression,openml-puma32h-308,ft_transformer,midrank,20260931,20261032,20261133,15329,15329,15329,15329,0.06401632726192474,0.007624403251400024,0.06470143795013428,0.007665093329017502,0.5308490825994088,0.06339332461357117,0.007587212452360055,0.06512608379125595,0.007690205806208551,1.3392795517298874
