panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error
multiclass,openml-vehicle-54,multiclass,onehot_linear,disjoint_pair_mean32,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
multiclass,openml-vehicle-54,multiclass,onehot_linear,independent_pair_mean32,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
multiclass,openml-vehicle-54,multiclass,ordinal_forest,disjoint_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
multiclass,openml-vehicle-54,multiclass,ordinal_forest,independent_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
multiclass,openml-vehicle-54,multiclass,onehot_adam_mlp,disjoint_pair_mean32,64,0.00044500991810697554,0.006505362297623841,0.00032663455616755566,0.02092015732299851
multiclass,openml-vehicle-54,multiclass,onehot_adam_mlp,independent_pair_mean32,64,0.0006044792120180609,0.00805520552663633,0.000496281632241025,0.026430057986430944
multiclass,openml-segment-36,multiclass,onehot_linear,disjoint_pair_mean32,64,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
multiclass,openml-segment-36,multiclass,onehot_linear,independent_pair_mean32,64,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
multiclass,openml-segment-36,multiclass,ordinal_forest,disjoint_pair_mean32,64,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0
multiclass,openml-segment-36,multiclass,ordinal_forest,independent_pair_mean32,64,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0
multiclass,openml-segment-36,multiclass,onehot_adam_mlp,disjoint_pair_mean32,64,0.0001119326880252014,0.0013789237068008993,6.715590268290968e-05,0.003957571786317254
multiclass,openml-segment-36,multiclass,onehot_adam_mlp,independent_pair_mean32,64,7.437279300320787e-05,0.0016914226820563337,0.00010025450519603922,0.006049243373079272
