dataset,model,method,metric,exact_metric,bias,rmse
openml-kr-vs-kp-3,native_histgb,disjoint_pair32,brier,0.011222930053694041,0.0,0.0
openml-kr-vs-kp-3,native_histgb,disjoint_pair32,log_loss,0.031104666146258658,-2.7755575615628914e-17,2.7755575615628914e-17
openml-kr-vs-kp-3,native_histgb,disjoint_pair32,roc_auc,0.9984882693629136,0.0,0.0
openml-kr-vs-kp-3,native_histgb,disjoint_pair32,accuracy,0.9937402190923318,0.0,0.0
openml-kr-vs-kp-3,native_histgb,independent_pair32,brier,0.011222930053694041,0.0,0.0
openml-kr-vs-kp-3,native_histgb,independent_pair32,log_loss,0.031104666146258658,-2.7755575615628914e-17,2.7755575615628914e-17
openml-kr-vs-kp-3,native_histgb,independent_pair32,roc_auc,0.9984882693629136,0.0,0.0
openml-kr-vs-kp-3,native_histgb,independent_pair32,accuracy,0.9937402190923318,0.0,0.0
openml-kr-vs-kp-3,native_histgb,mutually_disjoint_pack64,brier,0.011222930053694041,0.0,0.0
openml-kr-vs-kp-3,native_histgb,mutually_disjoint_pack64,log_loss,0.031104666146258658,-2.7755575615628914e-17,2.7755575615628914e-17
openml-kr-vs-kp-3,native_histgb,mutually_disjoint_pack64,roc_auc,0.9984882693629136,0.0,0.0
openml-kr-vs-kp-3,native_histgb,mutually_disjoint_pack64,accuracy,0.9937402190923318,0.0,0.0
openml-kr-vs-kp-3,native_histgb,two_disjoint_pairs64,brier,0.011222930053694041,0.0,0.0
openml-kr-vs-kp-3,native_histgb,two_disjoint_pairs64,log_loss,0.031104666146258658,-2.7755575615628914e-17,2.7755575615628914e-17
openml-kr-vs-kp-3,native_histgb,two_disjoint_pairs64,roc_auc,0.9984882693629136,0.0,0.0
openml-kr-vs-kp-3,native_histgb,two_disjoint_pairs64,accuracy,0.9937402190923318,0.0,0.0
openml-kr-vs-kp-3,catboost_native,disjoint_pair32,brier,0.019926234985481454,5.49192593900664e-07,7.614639730852207e-05
openml-kr-vs-kp-3,catboost_native,disjoint_pair32,log_loss,0.04932561644052545,-2.9163610001771228e-06,0.00012899125058046
