panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_cover_u128,128,5.006904481741348e-06,0.00010946880933092251,0.00031608919733189245
confirmation,kdd17_stock_direction,binclass,native_histgb,disjoint_pack_cross128,128,-1.572575403230303e-12,2.6547775296842614e-10,8.051313504786606e-10
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_cover_u128,128,2.2539470290183772e-11,3.7712456991010793e-10,1.073509947602247e-09
confirmation,kdd17_stock_direction,binclass,catboost_native,disjoint_pack_cross128,128,2.7159902508122613e-06,3.943462697674056e-05,0.0001597977410848217
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_cover_u128,128,-1.3296782736538226e-06,5.9890510114442716e-05,0.00017261243382354907
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,disjoint_pack_cross128,128,-4.822136816862166e-05,0.0006173159678283586,0.0019093623089313505
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_cover_u128,128,-1.7281197408736126e-05,0.0007998950131477011,0.003028166614767014
confirmation,kdd17_stock_return,regression,onehot_linear,disjoint_pack_cross128,64,5.551115123125783e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_linear,independent_cover_u128,64,5.551115123125783e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,disjoint_pack_cross128,64,0.0,0.0,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,independent_cover_u128,64,2.288784029802482e-06,0.00010328893436504133,0.0003313271014000474
confirmation,kdd17_stock_return,regression,native_histgb,disjoint_pack_cross128,64,-1.1102230246251565e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,native_histgb,independent_cover_u128,64,-1.1102230246251565e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,disjoint_pack_cross128,64,-5.551115123125783e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,independent_cover_u128,64,-5.551115123125783e-17,0.0,0.0
