panel,method,mean_budget,stop_at_4,stop_at_16,stop_at_64,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss
confirmation,adaptive_nested,12.893465909090908,0.8263494318181818,0.031782670454545456,0.14186789772727273,0.9671519886363636,8.03589558904491e-06,0.21928292751778747,0.21940663297298502
confirmation,conservative_adaptive_postfailure,20.056818181818183,0.0,0.9154829545454546,0.08451704545454546,0.9760298295454546,5.1034864224227385e-06,0.21924442459655638,0.21925449494851115
confirmation,fixed_nested_b16,16.0,0.0,1.0,0.0,0.9591619318181818,8.622069046819362e-06,0.2192174774828116,0.2192356713585595
confirmation,fixed_nested_b4,4.0,1.0,0.0,0.0,0.8979048295454546,4.2474434325721594e-05,0.21933200535983366,0.21950254925173576
confirmation,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.21928345339354285,0.21928465911626585
menu_repeat,adaptive_nested,8.05078125,0.8733723958333334,0.07389322916666667,0.052734375,0.9954427083333334,1.5821814794882653e-06,0.2893615411376093,0.28949988039241215
menu_repeat,conservative_adaptive_postfailure,17.078125,0.0,0.9775390625,0.0224609375,1.0,0.0,0.2893473848332571,0.28936420390085343
menu_repeat,fixed_nested_b16,16.0,0.0,1.0,0.0,1.0,0.0,0.2893473848332571,0.2893642172614434
menu_repeat,fixed_nested_b4,4.0,1.0,0.0,0.0,0.9775390625,1.733661153073769e-05,0.28931182154080576,0.2894909666908554
menu_repeat,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.2893473848332571,0.28934927399361415
subsample_repeat,adaptive_nested,14.54296875,0.7659505208333334,0.07291666666666667,0.1611328125,0.9671223958333334,1.6533523510456392e-05,0.29433852028707125,0.2945477609912026
subsample_repeat,conservative_adaptive_postfailure,20.921875,0.0,0.8974609375,0.1025390625,0.99609375,2.98662579187336e-06,0.29429901597927044,0.2943385383415738
subsample_repeat,fixed_nested_b16,16.0,0.0,1.0,0.0,0.9947916666666666,3.982167722497813e-06,0.2943004979494216,0.2943498859585351
subsample_repeat,fixed_nested_b4,4.0,1.0,0.0,0.0,0.8948567708333334,4.97760977261783e-05,0.2944374754889054,0.2946983119885777
subsample_repeat,fixed_nested_b64,64.0,0.0,0.0,1.0,1.0,0.0,0.29429457006881693,0.2942969865758521
