panel,dataset,task,model,method,product_cells,score_rmse,prediction_residual,max_absolute_score_error
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_pair_mean32_independent,128,4.264640587002387e-09,9.88544487232715e-15,1.3079320959619167e-08
confirmation,kdd17_stock_direction,binclass,ordinal_forest,disjoint_pair_mean32_independent,128,0.00021010100756661378,5.6854889968387974e-05,0.0006649870923965961
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_pair_mean32_independent,128,0.00022761659666784543,6.66215059615005e-05,0.0007447509598906832
confirmation,kdd17_stock_direction,binclass,native_histgb,disjoint_pair_mean32_independent,128,6.812628497861158e-10,1.8800209451917997e-15,1.073509947602247e-09
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_pair_mean32_independent,128,7.489978662841388e-10,2.2724525017124183e-15,1.073509947602247e-09
confirmation,kdd17_stock_direction,binclass,catboost_native,disjoint_pair_mean32_independent,128,0.00010694778507052456,1.0990673675329132e-05,0.00038978474319945056
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_pair_mean32_independent,128,0.00011571768935776136,1.3061279398835845e-05,0.00038978474319945056
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,128,0.0015541156163152608,0.00030050503708466364,0.007727141664972903
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_pair_mean32_independent,128,0.0017205118496897518,0.0003570426671208539,0.007541599661484044
confirmation,kdd17_stock_return,regression,onehot_linear,disjoint_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_linear,independent_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_mean32_independent,64,0.00016508423033811555,3.8563378952486026e-05,0.0005123484454582772
confirmation,kdd17_stock_return,regression,ordinal_forest,independent_pair_mean32_independent,64,0.00020917143466093083,5.833628099231174e-05,0.0007273371711774002
confirmation,kdd17_stock_return,regression,native_histgb,disjoint_pair_mean32_independent,64,1.5704761098706087e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,native_histgb,independent_pair_mean32_independent,64,1.5704761098706087e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,disjoint_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,independent_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_mean32_independent,64,0.00048122237918284973,0.00011523452402127253,0.00151658496661089
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,independent_pair_mean32_independent,64,0.0006120056606709307,0.00017203294054751522,0.0017865638908106107
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,2.9446427060073916e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_pair_mean32_independent,32,2.9446427060073916e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,disjoint_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,disjoint_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,3.926190274676522e-17,3.6106377616735478e-37,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.004044316295677294,8.315241342047124e-05,0.012943057129085805
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,0.0,7.42142918846818e-52,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.00023187156174183995,6.8709629572454305e-06,0.0005386638009722694
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,0.0,3.6644885000314075e-60,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.0002882670891357658,6.216342079388788e-06,0.0009781949579159566
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,7.852380549353044e-17,2.899416537132864e-38,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.003521909605241357,0.00011242798378355153,0.009878496115350521
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,0.0,1.0900980436909828e-35,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.0017943439199930426,0.00012438268053449028,0.005130064034356119
menu_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32_independent,128,3.481791069708393e-09,1.5375693688618e-14,8.809577844992589e-09
menu_repeat,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32_independent,128,3.890635989077546e-09,1.8350880620770065e-14,8.809577844992589e-09
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32_independent,128,0.00018846703186755465,4.22494721528768e-05,0.0006306847400695537
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32_independent,128,0.0001979209736988634,5.0024447545311914e-05,0.0006505496461089999
menu_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32_independent,128,0.00013224766898023996,5.918944820065957e-06,0.00040613824660318265
menu_repeat,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32_independent,128,0.00014380821488736272,7.017293657146496e-06,0.00040613824660318265
menu_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32_independent,128,0.00011199145812902742,1.1442768730172606e-05,0.0004527539446779194
menu_repeat,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32_independent,128,0.00012400714667109645,1.350420047286746e-05,0.0004527539446779194
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,128,0.00019616271120670493,3.1303189431879974e-05,0.0007069739234568106
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32_independent,128,0.0002114713680655832,3.634367997556712e-05,0.0006418845713674348
menu_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_linear,independent_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,independent_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,independent_pair_mean32_independent,32,6.848702312976423e-07,8.703044459163525e-10,1.921849218211591e-06
menu_repeat,credit_card_default,binclass,catboost_native,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,catboost_native,independent_pair_mean32_independent,32,5.0549948714035195e-05,4.2703895649156855e-06,0.00017378498956505117
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.00014977227140124837,3.53849455308361e-05,0.00047519808751844694
menu_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pair_mean32_independent,32,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,onehot_linear,independent_pair_mean32_independent,32,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,independent_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pair_mean32_independent,32,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,independent_pair_mean32_independent,32,1.5428130318423531e-06,7.618233787748232e-09,3.1573247378405105e-06
menu_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.226934460836413e-18,0.0,0.0
menu_repeat,credit_card_fraud,binclass,catboost_native,independent_pair_mean32_independent,32,3.052969258258071e-06,3.2137414901923427e-08,7.993745716442565e-06
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,3.0673361520910326e-19,9.450594011913961e-89,0.0
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,5.459670677841223e-06,2.767298656999995e-07,1.3476854020301422e-05
menu_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_linear,independent_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,independent_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,independent_pair_mean32_independent,32,0.0001140243256258466,1.0900357179818781e-05,0.0003110775347242023
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.00015151729465811412,5.517648863574918e-05,0.00047304857840524406
menu_repeat,kdd17_stock_return,regression,onehot_linear,disjoint_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_linear,independent_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_mean32_independent,64,0.00013491335100419957,3.834453912805264e-05,0.0004232523280053302
menu_repeat,kdd17_stock_return,regression,ordinal_forest,independent_pair_mean32_independent,64,0.00017381667141093702,5.724502974531872e-05,0.0005421544139228018
menu_repeat,kdd17_stock_return,regression,native_histgb,disjoint_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,native_histgb,independent_pair_mean32_independent,64,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,disjoint_pair_mean32_independent,64,1.5704761098706087e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,independent_pair_mean32_independent,64,1.5704761098706087e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_mean32_independent,64,0.0004837067114502243,0.000134806411544583,0.0014590202758394955
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,independent_pair_mean32_independent,64,0.0005964449454713451,0.00020217635084778652,0.001818069869631067
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,independent_pair_mean32_independent,32,3.926190274676522e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,independent_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,independent_pair_mean32_independent,32,9.815475686691304e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,independent_pair_mean32_independent,32,1.619009008272056e-05,4.996315462383067e-07,2.4539169198520283e-05
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,3.926190274676522e-17,2.120182037193531e-54,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.0003152212630013196,6.6012117367422395e-06,0.0009118354472112539
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32_independent,128,4.997399677656587e-09,1.1275523567012511e-14,1.3363753548212287e-08
