optimizer,seeds,mean_schema_risk,max_schema_risk,mean_member_brier,mean_quotient_brier,mean_hard_flip_fraction,max_curve_range
adamw,5,0.00010147992850883144,0.00016492905560438586,0.20494961999018613,0.2048481400616773,0.006670351943983785,0.0011477254386030311
field_vector_adam,5,2.4606712486875513e-12,4.463728061245542e-12,0.20482072524568556,0.20482072524322487,0.0,1.434465591310108e-07
sgd,5,6.639462845062908e-16,7.829163489060802e-16,0.19931965636103494,0.19931965636103427,0.0,9.226271802109665e-09
