component,covers,fits,single_cover_risk,independent_cover_risk,packed_coset_risk,packed_to_independent_ratio,predicted_ratio
0:1:2,1,16,0.10993554687500001,0.10993554687500001,0.10993554687500001,1.0,1.0
0:1:2,2,32,0.10993554687500001,0.054967773437500006,0.051303255208333336,0.9333333333333332,0.9333333333333333
0:1:2,4,64,0.10993554687500001,0.027483886718750003,0.021987109375,0.7999999999999999,0.8
0:1:2,8,128,0.10993554687500001,0.013741943359375001,0.0073290364583333345,0.5333333333333333,0.5333333333333333
0:1:2,16,256,0.10993554687500001,0.006870971679687501,0.0,0.0,0.0
0:1:3,1,16,0.11252441406250002,0.11252441406250002,0.11252441406250004,1.0000000000000002,1.0
0:1:3,2,32,0.11252441406250002,0.05626220703125001,0.052511393229166675,0.9333333333333333,0.9333333333333333
0:1:3,4,64,0.11252441406250002,0.028131103515625006,0.022504882812500005,0.8,0.8
0:1:3,8,128,0.11252441406250002,0.014065551757812503,0.007501627604166668,0.5333333333333333,0.5333333333333333
0:1:3,16,256,0.11252441406250002,0.007032775878906251,0.0,0.0,0.0
0:2:3,1,16,0.10968359375000002,0.10968359375000002,0.10968359375000002,1.0,1.0
0:2:3,2,32,0.10968359375000002,0.05484179687500001,0.05118567708333334,0.9333333333333333,0.9333333333333333
0:2:3,4,64,0.10968359375000002,0.027420898437500004,0.021936718750000004,0.8,0.8
0:2:3,8,128,0.10968359375000002,0.013710449218750002,0.007312239583333335,0.5333333333333333,0.5333333333333333
0:2:3,16,256,0.10968359375000002,0.006855224609375001,0.0,0.0,0.0
1:2:3,1,16,0.11406152343750002,0.11406152343750002,0.11406152343750002,1.0,1.0
1:2:3,2,32,0.11406152343750002,0.05703076171875001,0.053228710937500014,0.9333333333333335,0.9333333333333333
1:2:3,4,64,0.11406152343750002,0.028515380859375005,0.022812304687500003,0.7999999999999999,0.8
1:2:3,8,128,0.11406152343750002,0.014257690429687503,0.007604101562500002,0.5333333333333333,0.5333333333333333
1:2:3,16,256,0.11406152343750002,0.007128845214843751,0.0,0.0,0.0
0:1:2:3,1,16,0.0374296875,0.0374296875,0.0374296875,1.0,1.0
0:1:2:3,2,32,0.0374296875,0.01871484375,0.017467187500000002,0.9333333333333333,0.9333333333333333
0:1:2:3,4,64,0.0374296875,0.009357421875,0.0074859375,0.7999999999999999,0.8
0:1:2:3,8,128,0.0374296875,0.0046787109375,0.0024953125,0.5333333333333333,0.5333333333333333
0:1:2:3,16,256,0.0374296875,0.00233935546875,0.0,0.0,0.0
